County,"Kaylee Peterson
Democratic","Total Votes Cast"
Totals,"13,982","13,982"
Ada,"4,365","4,365"
Adams,86,86
Benewah,189,189
Boise,108,108
Bonner,"1,005","1,005"
Boundary,124,124
Canyon,"2,238","2,238"
Clearwater,111,111
Gem,151,151
Idaho,289,289
Kootenai,"2,600","2,600"
Latah,846,846
Lewis,58,58
"Nez Perce",677,677
Owyhee,59,59
Payette,177,177
Shoshone,315,315
Valley,440,440
Washington,144,144
Totals,"13,982","13,982"

