County,"Brendan J. Gomez
Constitutional","Total Votes Cast"
Totals,325,325
Ada,57,57
Adams,1,1
Benewah,4,4
Boise,8,8
Bonner,46,46
Boundary,7,7
Canyon,54,54
Clearwater,4,4
Gem,7,7
Idaho,12,12
Kootenai,81,81
Latah,9,9
Lewis,3,3
"Nez Perce",5,5
Owyhee,8,8
Payette,4,4
Shoshone,6,6
Valley,8,8
Washington,1,1
Totals,325,325

