County,"Matt Loesby
Libertarian","Total Votes Cast"
Totals,516,516
Ada,148,148
Adams,1,1
Benewah,1,1
Boise,6,6
Bonner,45,45
Boundary,9,9
Canyon,84,84
Clearwater,4,4
Gem,10,10
Idaho,26,26
Kootenai,104,104
Latah,16,16
Lewis,2,2
"Nez Perce",10,10
Owyhee,10,10
Payette,12,12
Shoshone,12,12
Valley,10,10
Washington,6,6
Totals,516,516

