County,"Todd Corsetti
Libertarian","Total Votes Cast"
Totals,315,315
Ada,86,86
Bannock,37,37
"Bear Lake",5,5
Bingham,12,12
Blaine,17,17
Bonneville,40,40
Butte,2,2
Camas,1,1
Caribou,2,2
Cassia,11,11
Clark,0,0
Custer,4,4
Elmore,3,3
Franklin,8,8
Fremont,3,3
Gooding,3,3
Jefferson,11,11
Jerome,5,5
Lemhi,10,10
Lincoln,3,3
Madison,15,15
Minidoka,6,6
Oneida,2,2
Power,3,3
Teton,3,3
"Twin Falls",23,23
Totals,315,315

