,,Steve Jones,Louie Sanchez,Total Votes Cast,Total Ballots Cast
,,Republican,Republican,,
Precinct,329,10,11,21,21
Precinct,330,5,5,10,10
Precinct,331,*,7,7,7
Precinct,332,19,19,38,38
Precinct,333,23,23,46,46
Precinct,334,46,33,79,79
Precinct,335,7,8,15,15
Precinct,336,6,7,13,13
Precinct,337,*,*,*,5
Precinct,338,11,13,24,24
Precinct,339,37,34,71,71
Precinct,341,10,8,18,18
Precinct,342,*,*,0,0
Precinct,343,6,6,12,12
Precinct,344,12,18,30,30
Precinct,345,*,*,0,0
Precinct,346,13,9,22,22
Precinct,347,14,8,22,22
Precinct,348,14,22,36,36
Precinct,349,22,22,44,44
Precinct,350,27,25,52,52
Precinct,351,5,5,10,10
Precinct,352,7,7,14,14
Precinct,353,*,*,0,0
Precinct,354,7,5,12,12
Precinct,355,*,*,0,0
Precinct,356,*,*,*,5
Precinct,357,5,9,14,14
Precinct,358,*,*,0,0
Precinct,359,6,14,20,20
Precinct,360,46,36,82,82
Precinct,361,36,32,68,68
Precinct,362,26,23,49,49
Precinct,363,*,*,0,0
Precinct,364,24,24,48,48
Precinct,365,40,46,86,86
Precinct,366,7,8,15,15
Precinct,368,20,22,42,42
Precinct,369,21,20,41,41
Precinct,370,11,5,16,16
Precinct,371,14,19,33,33
Precinct,372,7,9,16,16
Precinct,373,9,6,15,15
Precinct,374,10,6,16,16
Precinct,375,5,8,13,13
Precinct,376,7,10,17,17
Precinct,377,21,14,35,35
Precinct,378,*,*,0,0
Precinct,379,*,*,0,0
Precinct,380,12,21,33,33
Precinct,381,*,*,0,0
Precinct,382,5,10,15,15
Precinct,383,*,8,8,8
Precinct,384,14,16,30,30
Precinct,385,8,12,20,20
Precinct,386,*,*,*,5
Precinct,387,*,8,8,8
Precinct,388,36,35,71,71
Precinct,389,8,9,17,17
Precinct,390,30,47,77,77
Precinct,391,20,19,39,39
Precinct,392,36,23,59,59
Precinct,393,18,23,41,41
Precinct,395,25,19,44,44
Precinct,396,16,31,47,47
Precinct,397,30,13,43,43
Precinct,398,28,28,56,56
Precinct,400,18,11,29,29
Precinct,401,15,10,25,25
Precinct,402,30,27,57,57
Precinct,403,8,8,16,16
Precinct,404,25,19,44,44
Precinct,405,10,12,22,22
Precinct,406,12,10,22,22
Precinct,407,21,21,42,42
Precinct,408,29,43,72,72
Precinct,409,6,5,11,11
Precinct,410,36,24,60,60
Precinct,411,8,*,8,8
Precinct,412,8,9,17,17
Precinct,413,16,10,26,26
Precinct,414,13,13,26,26
Precinct,415,8,9,17,17
Precinct,416,15,12,27,27
Precinct,417,8,11,19,19
Precinct,418,32,29,61,61
Precinct,419,27,24,51,51
Precinct,420,25,22,47,47
Precinct,421,35,32,67,67
Precinct,422,30,26,56,56
Precinct,423,21,27,48,48
Precinct,424,23,15,38,38
Precinct,425,24,46,70,70
Precinct,426,34,34,68,68
Precinct,427,50,46,96,96
Precinct,428,30,26,56,56
Precinct,429,24,38,62,62
Precinct,430,42,30,72,72
Precinct,431,19,12,31,31
Precinct,432,10,10,20,20
Precinct,433,6,7,13,13
Precinct,434,10,8,18,18
Precinct,435,23,14,37,37
Precinct,436,11,13,24,24
Precinct,437,7,12,19,19
Precinct,438,*,*,0,0
Precinct,439,15,19,34,34
Precinct,440,9,8,17,17
Precinct,441,9,15,24,24
Precinct,442,13,*,13,13
Precinct,443,12,14,26,26
Precinct,444,10,16,26,26
Precinct,445,16,14,30,30
Precinct,446,17,14,31,31
Precinct,447,35,55,90,90
Precinct,448,14,13,27,27
Precinct,449,13,5,18,18
Precinct,450,37,26,63,63
Precinct,451,10,11,21,21
Precinct,452,17,11,28,28
Precinct,453,11,16,27,27
Precinct,454,16,14,30,30
Precinct,455,9,8,17,17
Precinct,456,26,26,52,52
Precinct,457,44,39,83,83
Precinct,458,26,25,51,51
Precinct,459,28,16,44,44
Precinct,460,40,49,89,89
Precinct,461,8,17,25,25
Precinct,462,7,10,17,17
Precinct,463,21,12,33,33
Precinct,464,12,16,28,28
Precinct,465,6,*,6,6
Precinct,466,30,15,45,45
Precinct,467,21,19,40,40
Precinct,468,35,41,76,76
Precinct,469,51,70,121,121
Precinct,470,31,29,60,60
Precinct,471,19,20,39,39
Precinct,472,16,15,31,31
Precinct,473,9,12,21,21
Precinct,474,14,11,25,25
Precinct,475,13,17,30,30
Precinct,476,30,23,53,53
Precinct,477,*,*,*,5
Precinct,478,15,19,34,34
Precinct,479,41,41,82,82
Precinct,480,25,25,50,50
Precinct,481,9,8,17,17
Precinct,482,33,45,78,78
Precinct,483,21,25,46,46
Precinct,484,21,13,34,34
Precinct,485,42,44,86,86
Precinct,486,21,23,44,44
Precinct,487,33,42,75,75
Precinct,488,29,40,69,69
Precinct,489,13,13,26,26
Precinct,490,57,39,96,96
Precinct,491,21,16,37,37
Precinct,492,19,16,35,35
Precinct,493,22,24,46,46
Precinct,494,38,8,46,46
Precinct,495,25,16,41,41
Precinct,496,21,17,38,38
Precinct,497,16,31,47,47
Precinct,498,21,22,43,43
Precinct,499,21,25,46,46
Precinct,500,38,34,72,72
Precinct,501,43,47,90,90
Precinct,502,19,16,35,35
Precinct,503,10,10,20,20
Precinct,504,11,9,20,20
Precinct,505,12,14,26,26
Precinct,506,23,16,39,39
Precinct,507,19,12,31,31
Precinct,508,18,20,38,38
Precinct,509,16,13,29,29
Precinct,510,23,20,43,43
Precinct,511,32,27,59,59
Precinct,512,15,11,26,26
Precinct,513,17,15,32,32
Precinct,514,36,23,59,59
Precinct,515,21,22,43,43
Precinct,516,23,24,47,47
Precinct,517,34,22,56,56
Precinct,518,11,14,25,25
Precinct,519,15,12,27,27
Precinct,520,18,15,33,33
Precinct,521,45,31,76,76
Precinct,522,16,15,31,31
Precinct,523,33,30,63,63
Precinct,524,16,12,28,28
Precinct,525,24,17,41,41
Precinct,526,34,37,71,71
Precinct,527,8,17,25,25
Precinct,528,14,14,28,28
Precinct,529,17,10,27,27
Precinct,530,28,26,54,54
Precinct,531,8,9,17,17
Precinct,532,21,22,43,43
Precinct,533,11,15,26,26
Precinct,534,27,22,49,49
Precinct,535,9,16,25,25
Precinct,536,14,6,20,20
Precinct,537,34,21,55,55
Precinct,538,16,12,28,28
Precinct,539,32,39,71,71
Precinct,540,8,12,20,20
Precinct,541,65,102,167,167
Precinct,542,13,22,35,35
Precinct,543,20,15,35,35
Precinct,544,22,24,46,46
Precinct,545,24,23,47,47
Precinct,546,29,33,62,62
Precinct,547,25,23,48,48
Precinct,548,22,15,37,37
Precinct,549,33,28,61,61
Precinct,550,30,17,47,47
Precinct,551,12,7,19,19
Precinct,552,33,27,60,60
Precinct,553,36,46,82,82
Precinct,554,17,20,37,37
Precinct,555,27,14,41,41
Precinct,556,27,37,64,64
Precinct,557,37,39,76,76
Precinct,558,24,26,50,50
Precinct,559,22,25,47,47
Precinct,560,50,45,95,95
Precinct,561,22,18,40,40
Precinct,562,27,22,49,49
Precinct,563,19,40,59,59
Precinct,564,27,30,57,57
Precinct,565,38,33,71,71
Precinct,566,45,59,104,104
Precinct,567,11,19,30,30
Precinct,568,41,39,80,80
Precinct,569,42,39,81,81
Precinct,570,14,15,29,29
Precinct,571,31,29,60,60
Precinct,572,19,27,46,46
Precinct,573,18,14,32,32
Precinct,574,23,23,46,46
Precinct,575,60,55,115,115
Precinct,576,25,38,63,63
Precinct,577,46,47,93,93
Precinct,578,28,23,51,51
Precinct,579,26,40,66,66
Precinct,580,29,29,58,58
Precinct,581,*,9,9,9
Precinct,582,13,21,34,34
Precinct,583,29,29,58,58
Precinct,584,30,35,65,65
Precinct,585,34,35,69,69
Precinct,586,21,36,57,57
Precinct,587,20,14,34,34
Precinct,588,40,56,96,96
Precinct,589,8,22,30,30
Precinct,590,35,32,67,67
Precinct,591,*,*,0,0
Precinct,592,32,41,73,73
Precinct,593,16,37,53,53
Precinct,594,40,59,99,99
Precinct,595,56,37,93,93
Precinct,596,30,28,58,58
Precinct,597,53,49,102,102
Precinct,598,35,30,65,65
Precinct,601,34,18,52,52
Precinct,602,32,32,64,64
Precinct,603,40,37,77,77
Precinct,605,7,12,19,19
Precinct,608,57,52,109,109
Precinct,610,7,26,33,33
Precinct,613,*,*,0,0
Precinct,614,15,19,34,34
Precinct,615,25,21,46,46
Precinct,616,6,14,20,20
Precinct,623,32,32,64,64
Precinct,624,11,15,26,26
Precinct,625,12,12,24,24
Precinct,627,*,*,*,5
Precinct,634,6,8,14,14
Precinct,637,20,20,40,40
Precinct,640,*,6,6,6
Precinct,641,5,6,11,11
Precinct,642,*,*,*,5
Precinct,643,17,12,29,29
Precinct,644,12,21,33,33
Precinct,645,7,10,17,17
Precinct,646,7,8,15,15
Precinct,647,12,12,24,24
Precinct,648,27,29,56,56
Precinct,649,18,24,42,42
Precinct,650,12,14,26,26
Precinct,651,20,28,48,48
Precinct,656,22,9,31,31
Precinct,657,14,12,26,26
Precinct,658,11,9,20,20
Precinct,659,10,25,35,35
Precinct,660,6,6,12,12
Precinct,661,16,16,32,32
Precinct,662,17,17,34,34
Precinct,663,8,8,16,16
Precinct,664,6,11,17,17
Precinct,665,14,26,40,40
Precinct,666,10,11,21,21
Precinct,667,24,32,56,56
Precinct,668,8,17,25,25
Precinct,669,6,9,15,15
Precinct,670,21,13,34,34
Precinct,671,5,8,13,13
Precinct,672,17,8,25,25
Precinct,673,14,8,22,22
Precinct,674,18,16,34,34
Precinct,675,16,21,37,37
Precinct,676,20,14,34,34
Precinct,677,7,6,13,13
Precinct,678,13,8,21,21
Precinct,679,8,19,27,27
Precinct,680,14,19,33,33
Precinct,681,16,17,33,33
Precinct,682,23,22,45,45
Precinct,683,17,12,29,29
Precinct,684,11,28,39,39
Precinct,685,12,7,19,19
Precinct,686,13,11,24,24
Precinct,Voter Privacy,128,113,241,241
County,Chaves,531,194,725,725
Precinct,1,103,28,131,131
Precinct,2,84,31,115,115
Precinct,10,187,79,266,266
Precinct,12,123,42,165,165
Precinct,44,13,6,19,19
Precinct,46,21,8,29,29
Precinct,Voter Privacy,0,0,0,0
County,De Baca,146,41,187,187
Precinct,1,17,*,17,17
Precinct,2,82,25,107,107
Precinct,3,41,8,49,49
