,,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Republican,,
Precinct,241,11,11,11
Precinct,242,*,0,0
Precinct,243,*,*,5
Precinct,244,9,9,9
Precinct,245,*,*,5
Precinct,246,*,0,0
Precinct,247,12,12,12
Precinct,248,15,15,15
Precinct,249,45,45,45
Precinct,250,26,26,26
Precinct,251,7,7,7
Precinct,252,10,10,10
Precinct,253,16,16,16
Precinct,254,15,15,15
Precinct,255,20,20,20
Precinct,256,7,7,7
Precinct,257,8,8,8
Precinct,258,*,*,5
Precinct,259,11,11,11
Precinct,260,27,27,27
Precinct,261,29,29,29
Precinct,262,12,12,12
Precinct,263,23,23,23
Precinct,264,36,36,36
Precinct,265,12,12,12
Precinct,266,*,0,0
Precinct,267,14,14,14
Precinct,268,6,6,6
Precinct,269,6,6,6
Precinct,270,18,18,18
Precinct,271,20,20,20
Precinct,272,15,15,15
Precinct,273,22,22,22
Precinct,274,7,7,7
Precinct,275,7,7,7
Precinct,276,27,27,27
Precinct,277,30,30,30
Precinct,278,29,29,29
Precinct,279,15,15,15
Precinct,280,7,7,7
Precinct,281,10,10,10
Precinct,282,29,29,29
Precinct,283,11,11,11
Precinct,284,25,25,25
Precinct,285,20,20,20
Precinct,286,*,0,0
Precinct,287,11,11,11
Precinct,288,33,33,33
Precinct,289,22,22,22
Precinct,290,43,43,43
Precinct,291,39,39,39
Precinct,292,20,20,20
Precinct,293,21,21,21
Precinct,294,95,95,95
Precinct,295,57,57,57
Precinct,296,21,21,21
Precinct,297,37,37,37
Precinct,298,27,27,27
Precinct,299,11,11,11
Precinct,300,28,28,28
Precinct,301,49,49,49
Precinct,302,55,55,55
Precinct,303,17,17,17
Precinct,304,37,37,37
Precinct,305,38,38,38
Precinct,306,27,27,27
Precinct,307,50,50,50
Precinct,308,57,57,57
Precinct,309,58,58,58
Precinct,310,42,42,42
Precinct,311,21,21,21
Precinct,312,20,20,20
Precinct,313,10,10,10
Precinct,314,25,25,25
Precinct,315,21,21,21
Precinct,316,42,42,42
Precinct,317,18,18,18
Precinct,318,14,14,14
Precinct,319,43,43,43
Precinct,320,71,71,71
Precinct,321,9,9,9
Precinct,322,10,10,10
Precinct,323,11,11,11
Precinct,324,42,42,42
Precinct,325,74,74,74
Precinct,326,13,13,13
Precinct,327,8,8,8
Precinct,328,31,31,31
Precinct,329,19,19,19
Precinct,330,9,9,9
Precinct,331,8,8,8
Precinct,332,37,37,37
Precinct,333,44,44,44
Precinct,334,76,76,76
Precinct,335,18,18,18
Precinct,336,12,12,12
Precinct,337,*,0,0
Precinct,338,21,21,21
Precinct,339,68,68,68
Precinct,340,31,31,31
Precinct,341,15,15,15
Precinct,342,*,0,0
Precinct,343,9,9,9
Precinct,344,29,29,29
Precinct,345,*,0,0
Precinct,346,21,21,21
Precinct,347,18,18,18
Precinct,348,38,38,38
Precinct,349,42,42,42
Precinct,350,54,54,54
Precinct,351,9,9,9
Precinct,352,13,13,13
Precinct,353,*,0,0
Precinct,354,15,15,15
Precinct,355,*,0,0
Precinct,356,8,8,8
Precinct,357,13,13,13
Precinct,358,*,0,0
Precinct,359,18,18,18
Precinct,360,77,77,77
Precinct,361,73,73,73
Precinct,362,50,50,50
Precinct,363,*,0,0
Precinct,364,44,44,44
Precinct,365,81,81,81
Precinct,366,15,15,15
Precinct,367,6,6,6
Precinct,368,42,42,42
Precinct,369,39,39,39
Precinct,370,16,16,16
Precinct,371,36,36,36
Precinct,372,14,14,14
Precinct,373,16,16,16
Precinct,374,17,17,17
Precinct,375,13,13,13
Precinct,376,15,15,15
Precinct,377,32,32,32
Precinct,378,*,0,0
Precinct,379,*,0,0
Precinct,380,33,33,33
Precinct,381,6,6,6
Precinct,382,15,15,15
Precinct,383,9,9,9
Precinct,384,33,33,33
Precinct,385,18,18,18
Precinct,386,6,6,6
Precinct,387,12,12,12
Precinct,388,69,69,69
Precinct,389,16,16,16
Precinct,390,80,80,80
Precinct,391,36,36,36
Precinct,392,63,63,63
Precinct,393,40,40,40
Precinct,394,40,40,40
Precinct,395,39,39,39
Precinct,396,48,48,48
Precinct,397,39,39,39
Precinct,398,56,56,56
Precinct,399,31,31,31
Precinct,400,24,24,24
Precinct,401,25,25,25
Precinct,402,55,55,55
Precinct,403,15,15,15
Precinct,404,42,42,42
Precinct,405,16,16,16
Precinct,406,22,22,22
Precinct,407,43,43,43
Precinct,408,66,66,66
Precinct,409,12,12,12
Precinct,410,59,59,59
Precinct,411,8,8,8
Precinct,412,17,17,17
Precinct,413,25,25,25
Precinct,414,26,26,26
Precinct,415,18,18,18
Precinct,416,26,26,26
Precinct,417,18,18,18
Precinct,418,61,61,61
Precinct,419,51,51,51
Precinct,420,42,42,42
Precinct,421,69,69,69
Precinct,422,52,52,52
Precinct,423,46,46,46
Precinct,424,32,32,32
Precinct,425,73,73,73
Precinct,426,69,69,69
Precinct,427,92,92,92
Precinct,428,52,52,52
Precinct,429,58,58,58
Precinct,430,68,68,68
Precinct,431,28,28,28
Precinct,432,17,17,17
Precinct,433,14,14,14
Precinct,434,17,17,17
Precinct,435,36,36,36
Precinct,436,24,24,24
Precinct,437,18,18,18
Precinct,438,*,0,0
Precinct,439,34,34,34
Precinct,440,14,14,14
Precinct,441,19,19,19
Precinct,442,12,12,12
Precinct,443,25,25,25
Precinct,444,23,23,23
Precinct,445,27,27,27
Precinct,446,28,28,28
Precinct,447,90,90,90
Precinct,448,26,26,26
Precinct,449,19,19,19
Precinct,450,59,59,59
Precinct,451,22,22,22
Precinct,452,30,30,30
Precinct,453,25,25,25
Precinct,454,30,30,30
Precinct,455,16,16,16
Precinct,456,53,53,53
Precinct,457,77,77,77
Precinct,458,50,50,50
Precinct,459,35,35,35
Precinct,460,81,81,81
Precinct,461,21,21,21
Precinct,462,17,17,17
Precinct,463,31,31,31
Precinct,464,28,28,28
Precinct,465,9,9,9
Precinct,466,42,42,42
Precinct,467,41,41,41
Precinct,468,75,75,75
Precinct,469,126,126,126
Precinct,470,59,59,59
Precinct,471,37,37,37
Precinct,472,26,26,26
Precinct,473,20,20,20
Precinct,474,26,26,26
Precinct,475,28,28,28
Precinct,476,52,52,52
Precinct,477,9,9,9
Precinct,478,33,33,33
Precinct,479,82,82,82
Precinct,480,46,46,46
Precinct,481,16,16,16
Precinct,482,79,79,79
Precinct,483,46,46,46
Precinct,484,30,30,30
Precinct,485,80,80,80
Precinct,486,44,44,44
Precinct,487,70,70,70
Precinct,488,70,70,70
Precinct,489,27,27,27
Precinct,490,93,93,93
Precinct,491,38,38,38
Precinct,492,32,32,32
Precinct,493,45,45,45
Precinct,494,45,45,45
Precinct,495,41,41,41
Precinct,496,39,39,39
Precinct,497,49,49,49
Precinct,498,40,40,40
Precinct,499,45,45,45
Precinct,500,71,71,71
Precinct,501,88,88,88
Precinct,502,31,31,31
Precinct,503,21,21,21
Precinct,504,18,18,18
Precinct,505,29,29,29
Precinct,506,36,36,36
Precinct,507,32,32,32
Precinct,508,36,36,36
Precinct,509,27,27,27
Precinct,510,41,41,41
Precinct,511,59,59,59
Precinct,512,27,27,27
Precinct,513,32,32,32
Precinct,514,61,61,61
Precinct,515,40,40,40
Precinct,516,46,46,46
Precinct,517,58,58,58
Precinct,518,25,25,25
Precinct,519,27,27,27
Precinct,520,29,29,29
Precinct,521,71,71,71
Precinct,522,30,30,30
Precinct,523,64,64,64
Precinct,524,29,29,29
Precinct,525,39,39,39
Precinct,526,70,70,70
Precinct,527,26,26,26
Precinct,528,28,28,28
Precinct,529,26,26,26
Precinct,530,53,53,53
Precinct,531,16,16,16
Precinct,532,39,39,39
Precinct,533,30,30,30
Precinct,534,53,53,53
Precinct,535,26,26,26
Precinct,536,20,20,20
Precinct,537,60,60,60
Precinct,538,27,27,27
Precinct,539,69,69,69
Precinct,540,22,22,22
Precinct,541,157,157,157
Precinct,542,34,34,34
Precinct,543,34,34,34
Precinct,544,43,43,43
Precinct,545,45,45,45
Precinct,546,63,63,63
Precinct,547,45,45,45
Precinct,548,39,39,39
Precinct,549,59,59,59
Precinct,550,45,45,45
Precinct,551,16,16,16
Precinct,552,56,56,56
Precinct,553,80,80,80
Precinct,554,38,38,38
Precinct,555,38,38,38
Precinct,556,60,60,60
Precinct,557,72,72,72
Precinct,558,47,47,47
Precinct,559,39,39,39
Precinct,560,93,93,93
Precinct,561,40,40,40
Precinct,562,49,49,49
Precinct,563,59,59,59
Precinct,564,54,54,54
Precinct,565,68,68,68
Precinct,566,97,97,97
Precinct,567,32,32,32
Precinct,568,78,78,78
Precinct,569,77,77,77
Precinct,570,31,31,31
Precinct,571,57,57,57
Precinct,572,47,47,47
Precinct,573,31,31,31
Precinct,574,47,47,47
Precinct,575,117,117,117
Precinct,576,65,65,65
