,,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Republican,,
Precinct,185,33,33,33
Precinct,186,7,7,7
Precinct,187,19,19,19
Precinct,188,17,17,17
Precinct,189,7,7,7
Precinct,190,16,16,16
Precinct,Voter Privacy,47,47,47
County,Eddy,4406,4406,4406
Precinct,1,97,97,97
Precinct,2,67,67,67
Precinct,3,61,61,61
Precinct,4,95,95,95
Precinct,5,118,118,118
Precinct,6,87,87,87
Precinct,7,175,175,175
Precinct,8,153,153,153
Precinct,9,78,78,78
Precinct,10,28,28,28
Precinct,11,7,7,7
Precinct,12,9,9,9
Precinct,13,39,39,39
Precinct,14,25,25,25
Precinct,15,45,45,45
Precinct,16,60,60,60
Precinct,17,96,96,96
Precinct,18,91,91,91
Precinct,19,113,113,113
Precinct,20,45,45,45
Precinct,21,23,23,23
Precinct,22,33,33,33
Precinct,23,56,56,56
Precinct,24,142,142,142
Precinct,25,44,44,44
Precinct,26,69,69,69
Precinct,27,102,102,102
Precinct,28,115,115,115
Precinct,29,6,6,6
Precinct,30,16,16,16
Precinct,31,89,89,89
Precinct,32,46,46,46
Precinct,33,94,94,94
Precinct,34,92,92,92
Precinct,35,157,157,157
Precinct,36,180,180,180
Precinct,37,133,133,133
Precinct,38,33,33,33
Precinct,39,82,82,82
Precinct,40,32,32,32
Precinct,41,131,131,131
Precinct,42,7,7,7
Precinct,43,79,79,79
Precinct,44,41,41,41
Precinct,45,136,136,136
Precinct,46,126,126,126
Precinct,47,96,96,96
Precinct,48,84,84,84
Precinct,49,59,59,59
Precinct,50,115,115,115
Precinct,51,140,140,140
Precinct,52,182,182,182
Precinct,53,56,56,56
Precinct,54,121,121,121
Precinct,Voter Privacy,0,0,0
County,Grant,1150,1150,1150
Precinct,1,76,76,76
Precinct,2,42,42,42
Precinct,3,*,0,0
Precinct,4,10,10,10
Precinct,5,77,77,77
Precinct,6,7,7,7
Precinct,7,27,27,27
Precinct,8,57,57,57
Precinct,9,12,12,12
Precinct,10,17,17,17
Precinct,11,59,59,59
Precinct,12,47,47,47
Precinct,13,46,46,46
Precinct,14,45,45,45
Precinct,15,39,39,39
Precinct,16,41,41,41
Precinct,17,25,25,25
Precinct,18,17,17,17
Precinct,19,14,14,14
Precinct,20,25,25,25
Precinct,21,*,0,0
Precinct,22,13,13,13
Precinct,23,15,15,15
Precinct,24,14,14,14
Precinct,25,6,6,6
Precinct,26,13,13,13
Precinct,27,9,9,9
Precinct,28,20,20,20
Precinct,29,28,28,28
Precinct,30,54,54,54
Precinct,31,14,14,14
Precinct,32,*,0,0
Precinct,33,39,39,39
Precinct,34,11,11,11
Precinct,35,12,12,12
Precinct,36,49,49,49
Precinct,37,63,63,63
Precinct,38,46,46,46
Precinct,39,54,54,54
Precinct,Voter Privacy,7,7,7
County,Guadalupe,131,131,131
Precinct,1,53,53,53
Precinct,2,14,14,14
Precinct,3,36,36,36
Precinct,4,11,11,11
Precinct,5,17,17,17
Precinct,Voter Privacy,0,0,0
County,Harding,140,140,140
Precinct,1,55,55,55
Precinct,2,70,70,70
Precinct,3,15,15,15
Precinct,Voter Privacy,0,0,0
County,Hidalgo,214,214,214
Precinct,1 - Lordsburg/west,19,19,19
Precinct,2 - Lordsburge/central,10,10,10
Precinct,3 - Lordsburg/east,*,0,0
Precinct,4 - Virden,29,29,29
Precinct,5 - Rodeo,24,24,24
Precinct,6 - Animas,43,43,43
Precinct,7- Lordsburg North/west,13,13,13
Precinct,8 - South Animas/South Lordsburg,16,16,16
Precinct,9- Animas/ Central,23,23,23
Precinct,10- Lordsburg Northeast,*,0,0
Precinct,11- Lordsburg Southwest,18,18,18
Precinct,12- Lordsburg,18,18,18
Precinct,Voter Privacy,*,*,1
County,Lea,3997,3997,3997
Precinct,2,8,8,8
Precinct,3,150,150,150
Precinct,8,55,55,55
Precinct,9,104,104,104
Precinct,10,199,199,199
Precinct,11,45,45,45
Precinct,12,38,38,38
Precinct,13,110,110,110
Precinct,14,62,62,62
Precinct,15,129,129,129
Precinct,16,16,16,16
Precinct,17,36,36,36
Precinct,18,72,72,72
Precinct,19,140,140,140
Precinct,20,98,98,98
Precinct,21,78,78,78
Precinct,22,160,160,160
Precinct,23,131,131,131
Precinct,24,134,134,134
Precinct,25,134,134,134
Precinct,26,119,119,119
Precinct,27,191,191,191
Precinct,28,54,54,54
Precinct,29,125,125,125
Precinct,30,68,68,68
Precinct,31,56,56,56
Precinct,32,94,94,94
Precinct,33,80,80,80
Precinct,34,14,14,14
Precinct,35,17,17,17
Precinct,36,28,28,28
Precinct,37,77,77,77
Precinct,38,81,81,81
Precinct,39,55,55,55
Precinct,40,76,76,76
Precinct,41,79,79,79
Precinct,42,79,79,79
Precinct,43,74,74,74
Precinct,44,44,44,44
Precinct,50,25,25,25
Precinct,51,7,7,7
Precinct,52,23,23,23
Precinct,53,8,8,8
Precinct,54,11,11,11
Precinct,55,13,13,13
Precinct,56,85,85,85
Precinct,57,154,154,154
Precinct,58,*,0,0
Precinct,59,*,0,0
Precinct,61,16,16,16
Precinct,62,44,44,44
Precinct,71,60,60,60
Precinct,72,102,102,102
Precinct,73,90,90,90
Precinct,74,46,46,46
Precinct,Voter Privacy,*,*,3
County,Lincoln,2459,2459,2459
Precinct,1,71,71,71
Precinct,2,81,81,81
Precinct,3,146,146,146
Precinct,4,98,98,98
Precinct,5,123,123,123
Precinct,6,164,164,164
Precinct,7,103,103,103
Precinct,8,59,59,59
Precinct,9,85,85,85
Precinct,10,43,43,43
Precinct,11,89,89,89
Precinct,12,93,93,93
Precinct,13,109,109,109
Precinct,14,152,152,152
Precinct,15,69,69,69
Precinct,16,34,34,34
Precinct,17,113,113,113
Precinct,18,29,29,29
Precinct,19,71,71,71
Precinct,20,42,42,42
Precinct,21,117,117,117
Precinct,22,27,27,27
Precinct,23,37,37,37
Precinct,24,56,56,56
Precinct,25,86,86,86
Precinct,26,160,160,160
Precinct,27,73,73,73
Precinct,28,37,37,37
Precinct,29,92,92,92
Precinct,Voter Privacy,0,0,0
County,Los Alamos,862,862,862
Precinct,1,53,53,53
Precinct,2,68,68,68
Precinct,3,41,41,41
Precinct,4,38,38,38
Precinct,5,29,29,29
Precinct,6,30,30,30
Precinct,7,57,57,57
Precinct,8,47,47,47
Precinct,9,27,27,27
Precinct,10,26,26,26
Precinct,11,30,30,30
Precinct,12,11,11,11
Precinct,13,66,66,66
Precinct,14,50,50,50
Precinct,15,41,41,41
Precinct,16,33,33,33
Precinct,17,36,36,36
Precinct,18,17,17,17
Precinct,19,26,26,26
Precinct,20,15,15,15
Precinct,21,32,32,32
Precinct,22,36,36,36
Precinct,23,53,53,53
Precinct,Voter Privacy,0,0,0
County,Luna,784,784,784
Precinct,1,24,24,24
Precinct,2,71,71,71
Precinct,3,75,75,75
Precinct,4,23,23,23
Precinct,5,59,59,59
Precinct,6,53,53,53
Precinct,7,27,27,27
Precinct,8,9,9,9
Precinct,9,34,34,34
Precinct,10,36,36,36
Precinct,11,32,32,32
Precinct,12,22,22,22
Precinct,13,96,96,96
Precinct,14,66,66,66
Precinct,15,*,0,0
Precinct,16,78,78,78
Precinct,17,29,29,29
Precinct,18,50,50,50
Precinct,Voter Privacy,0,0,0
County,McKinley,1224,1224,1224
Precinct,1,21,21,21
Precinct,2,10,10,10
Precinct,3,8,8,8
Precinct,4,7,7,7
Precinct,5,33,33,33
Precinct,6,18,18,18
Precinct,7,23,23,23
Precinct,8,19,19,19
Precinct,9,19,19,19
Precinct,10,14,14,14
Precinct,11,14,14,14
Precinct,12,*,0,0
Precinct,13,7,7,7
Precinct,14,31,31,31
Precinct,15,19,19,19
Precinct,16,27,27,27
Precinct,17,49,49,49
Precinct,18,7,7,7
Precinct,19,22,22,22
Precinct,20,24,24,24
Precinct,21,21,21,21
Precinct,22,14,14,14
Precinct,23,27,27,27
Precinct,24,25,25,25
Precinct,25,25,25,25
Precinct,26,61,61,61
Precinct,27,*,0,0
Precinct,28,12,12,12
Precinct,29,*,0,0
Precinct,30,6,6,6
Precinct,31,27,27,27
Precinct,32,7,7,7
Precinct,33,20,20,20
Precinct,34,10,10,10
Precinct,35,10,10,10
Precinct,36,6,6,6
Precinct,37,*,0,0
Precinct,38,*,*,5
Precinct,39,21,21,21
Precinct,40,15,15,15
Precinct,41,14,14,14
Precinct,42,17,17,17
Precinct,43,48,48,48
Precinct,44,24,24,24
Precinct,45,37,37,37
Precinct,46,44,44,44
Precinct,47,12,12,12
Precinct,48,14,14,14
Precinct,49,14,14,14
Precinct,50,9,9,9
Precinct,51,9,9,9
Precinct,52,22,22,22
Precinct,53,13,13,13
Precinct,54,39,39,39
Precinct,55,13,13,13
Precinct,56,38,38,38
Precinct,57,10,10,10
Precinct,58,23,23,23
Precinct,59,13,13,13
Precinct,60,7,7,7
Precinct,61,*,0,0
Precinct,62,9,9,9
Precinct,63,13,13,13
Precinct,64,*,0,0
Precinct,65,19,19,19
Precinct,66,*,0,0
Precinct,67,*,0,0
Precinct,68,6,6,6
Precinct,69,*,0,0
Precinct,70,44,44,44
Precinct,71,*,*,5
Precinct,Voter Privacy,24,24,24
County,Mora,148,148,148
Precinct,1,25,25,25
Precinct,2,13,13,13
Precinct,3,31,31,31
Precinct,4,10,10,10
Precinct,5,7,7,7
Precinct,6,*,*,5
Precinct,7,7,7,7
Precinct,8,13,13,13
Precinct,9,6,6,6
Precinct,10,11,11,11
Precinct,11,20,20,20
Precinct,Voter Privacy,0,0,0
County,Otero,3507,3507,3507
Precinct,1,*,*,5
Precinct,2,*,0,0
Precinct,3,14,14,14
Precinct,4,17,17,17
Precinct,5,33,33,33
Precinct,6,32,32,32
Precinct,7,60,60,60
Precinct,8,96,96,96
Precinct,9,110,110,110
Precinct,10,140,140,140
Precinct,11,*,0,0
Precinct,12,129,129,129
Precinct,13,83,83,83
Precinct,14,60,60,60
Precinct,15,110,110,110
Precinct,16,*,0,0
Precinct,17,69,69,69
Precinct,18,91,91,91
Precinct,19,13,13,13
Precinct,20,20,20,20
Precinct,21,146,146,146
Precinct,22,23,23,23
Precinct,23,43,43,43
Precinct,24,123,123,123
Precinct,25,119,119,119
Precinct,26,47,47,47
Precinct,27,85,85,85
Precinct,28,68,68,68
Precinct,29,58,58,58
Precinct,30,49,49,49
Precinct,31,42,42,42
Precinct,32,33,33,33
Precinct,33,41,41,41
Precinct,34,45,45,45
Precinct,35,63,63,63
Precinct,36,87,87,87
Precinct,37,46,46,46
Precinct,38,15,15,15
Precinct,39,88,88,88
Precinct,40,97,97,97
Precinct,41,*,0,0
Precinct,42,9,9,9
Precinct,43,*,0,0
Precinct,44,*,0,0
Precinct,45,*,0,0
Precinct,46,6,6,6
Precinct,47,22,22,22
Precinct,48,40,40,40
Precinct,49,106,106,106
Precinct,50,18,18,18
Precinct,51,77,77,77
Precinct,52,82,82,82
Precinct,53,65,65,65
Precinct,54,88,88,88
Precinct,55,112,112,112
Precinct,56,*,*,5
Precinct,57,104,104,104
Precinct,58,11,11,11
Precinct,59,*,0,0
Precinct,60,55,55,55
Precinct,61,49,49,49
Precinct,62,73,73,73
Precinct,63,34,34,34
Precinct,64,41,41,41
Precinct,65,85,85,85
Precinct,66,*,0,0
Precinct,Voter Privacy,25,25,25
County,Quay,694,694,694
Precinct,1,28,28,28
Precinct,2,16,16,16
Precinct,3,54,54,54
Precinct,4,21,21,21
Precinct,5,181,181,181
Precinct,6,91,91,91
Precinct,7,22,22,22
Precinct,8,30,30,30
Precinct,9,78,78,78
Precinct,10,15,15,15
Precinct,11,93,93,93
Precinct,12,65,65,65
Precinct,Voter Privacy,0,0,0
County,Rio Arriba,638,638,638
Precinct,1,22,22,22
Precinct,2,*,0,0
Precinct,3,7,7,7
Precinct,4,45,45,45
Precinct,5,*,0,0
Precinct,10,21,21,21
Precinct,11,37,37,37
Precinct,12,*,0,0
Precinct,13,*,0,0
Precinct,14,*,0,0
Precinct,21,*,0,0
Precinct,22,18,18,18
Precinct,23,17,17,17
Precinct,24,11,11,11
Precinct,25,*,0,0
Precinct,26,11,11,11
Precinct,27,11,11,11
Precinct,28,6,6,6
Precinct,35,*,0,0
Precinct,36,30,30,30
Precinct,37,22,22,22
Precinct,38,42,42,42
Precinct,39,20,20,20
Precinct,40,10,10,10
Precinct,45,15,15,15
Precinct,46,*,0,0
Precinct,47,9,9,9
Precinct,48,8,8,8
Precinct,49,*,0,0
Precinct,56,13,13,13
Precinct,57,14,14,14
Precinct,58,8,8,8
Precinct,59,6,6,6
Precinct,60,10,10,10
Precinct,61,16,16,16
Precinct,62,7,7,7
Precinct,63,20,20,20
Precinct,64,31,31,31
Precinct,65,19,19,19
Precinct,66,15,15,15
Precinct,67,21,21,21
Precinct,68,18,18,18
Precinct,69,30,30,30
Precinct,70,17,17,17
Precinct,71,10,10,10
Precinct,72,*,0,0
Precinct,73,*,0,0
Precinct,74,*,0,0
Precinct,Voter Privacy,21,21,21
County,Roosevelt,1514,1514,1514
Precinct,1,44,44,44
Precinct,2,146,146,146
Precinct,3,11,11,11
Precinct,4,89,89,89
Precinct,5,111,111,111
Precinct,6,101,101,101
Precinct,7,22,22,22
Precinct,8,22,22,22
Precinct,9,91,91,91
Precinct,10,55,55,55
Precinct,11,89,89,89
Precinct,12,72,72,72
Precinct,13,15,15,15
Precinct,14,50,50,50
Precinct,15,49,49,49
Precinct,16,28,28,28
Precinct,17,91,91,91
Precinct,18,141,141,141
Precinct,19,117,117,117
Precinct,20,86,86,86
Precinct,21,84,84,84
Precinct,Voter Privacy,0,0,0
County,San Juan,6338,6338,6338
Precinct,1,24,24,24
Precinct,2,21,21,21
Precinct,3,21,21,21
Precinct,4,23,23,23
Precinct,5,19,19,19
Precinct,6,15,15,15
Precinct,7,16,16,16
Precinct,8,14,14,14
Precinct,9,15,15,15
Precinct,10,31,31,31
Precinct,11,23,23,23
Precinct,12,6,6,6
Precinct,13,24,24,24
Precinct,14,10,10,10
Precinct,15,18,18,18
Precinct,16,31,31,31
Precinct,17,12,12,12
Precinct,18,47,47,47
Precinct,19,*,*,5
Precinct,20,25,25,25
Precinct,21,76,76,76
Precinct,22,53,53,53
Precinct,23,88,88,88
Precinct,24,74,74,74
Precinct,25,78,78,78
Precinct,26,31,31,31
Precinct,27,62,62,62
Precinct,28,47,47,47
Precinct,29,34,34,34
Precinct,30,121,121,121
Precinct,31,79,79,79
Precinct,32,21,21,21
Precinct,33,52,52,52
Precinct,34,25,25,25
Precinct,35,43,43,43
Precinct,36,62,62,62
Precinct,37,47,47,47
Precinct,38,91,91,91
Precinct,39,161,161,161
Precinct,40,71,71,71
Precinct,41,124,124,124
Precinct,42,133,133,133
Precinct,43,68,68,68
Precinct,44,87,87,87
Precinct,45,72,72,72
Precinct,46,109,109,109
Precinct,47,97,97,97
Precinct,48,77,77,77
Precinct,49,110,110,110
Precinct,50,71,71,71
Precinct,51,62,62,62
Precinct,52,48,48,48
Precinct,53,24,24,24
Precinct,54,47,47,47
Precinct,55,116,116,116
Precinct,56,51,51,51
Precinct,57,165,165,165
Precinct,58,103,103,103
Precinct,59,160,160,160
Precinct,60,122,122,122
Precinct,61,149,149,149
Precinct,62,70,70,70
Precinct,63,78,78,78
Precinct,64,114,114,114
Precinct,65,101,101,101
Precinct,66,81,81,81
Precinct,67,123,123,123
Precinct,68,88,88,88
Precinct,69,111,111,111
Precinct,70,72,72,72
Precinct,71,66,66,66
Precinct,72,101,101,101
Precinct,73,54,54,54
Precinct,74,77,77,77
Precinct,75,40,40,40
Precinct,76,105,105,105
Precinct,77,64,64,64
Precinct,78,84,84,84
Precinct,79,51,51,51
Precinct,80,69,69,69
Precinct,81,54,54,54
Precinct,82,46,46,46
Precinct,83,16,16,16
Precinct,90,93,93,93
Precinct,99,95,95,95
Precinct,100,17,17,17
Precinct,101,20,20,20
Precinct,102,43,43,43
Precinct,103,141,141,141
Precinct,104,59,59,59
Precinct,105,83,83,83
Precinct,106,73,73,73
Precinct,107,133,133,133
Precinct,108,62,62,62
Precinct,109,21,21,21
Precinct,110,9,9,9
Precinct,120,24,24,24
Precinct,121,21,21,21
Precinct,130,14,14,14
Precinct,131,16,16,16
Precinct,132,12,12,12
Precinct,133,14,14,14
Precinct,134,12,12,12
Precinct,Voter Privacy,0,0,0
County,San Miguel,579,579,579
Precinct,1,8,8,8
Precinct,2,18,18,18
Precinct,3,10,10,10
Precinct,4,21,21,21
Precinct,5,18,18,18
Precinct,6,14,14,14
Precinct,7,27,27,27
Precinct,8,21,21,21
Precinct,9,21,21,21
Precinct,10,22,22,22
Precinct,11,7,7,7
Precinct,12,22,22,22
Precinct,13,9,9,9
Precinct,14,*,*,5
Precinct,15,35,35,35
Precinct,16,38,38,38
Precinct,17,*,0,0
Precinct,18,11,11,11
Precinct,19,17,17,17
Precinct,20,*,0,0
Precinct,21,16,16,16
Precinct,22,10,10,10
Precinct,23,51,51,51
Precinct,24,19,19,19
Precinct,25,19,19,19
Precinct,26,16,16,16
Precinct,27,38,38,38
Precinct,28,18,18,18
Precinct,29,12,12,12
Precinct,30,6,6,6
Precinct,31,10,10,10
Precinct,32,6,6,6
Precinct,33,*,*,5
Precinct,34,24,24,24
Precinct,Voter Privacy,*,*,5
County,Sandoval,6742,6742,6742
Precinct,1,31,31,31
Precinct,2,26,26,26
Precinct,3,38,38,38
Precinct,4,18,18,18
Precinct,5,42,42,42
Precinct,6,28,28,28
Precinct,7,12,12,12
Precinct,8,*,0,0
Precinct,9,*,0,0
Precinct,10,6,6,6
Precinct,11,49,49,49
Precinct,12,43,43,43
Precinct,13,27,27,27
Precinct,14,*,0,0
Precinct,15,*,0,0
Precinct,16,35,35,35
Precinct,17,18,18,18
Precinct,18,33,33,33
Precinct,19,*,0,0
Precinct,20,*,0,0
Precinct,21,21,21,21
Precinct,22,30,30,30
Precinct,23,26,26,26
Precinct,24,11,11,11
Precinct,25,9,9,9
Precinct,26,*,*,5
Precinct,27,16,16,16
Precinct,28,99,99,99
Precinct,29,*,*,5
Precinct,30,68,68,68
Precinct,31,61,61,61
Precinct,32,59,59,59
Precinct,33,33,33,33
Precinct,34,58,58,58
Precinct,35,31,31,31
Precinct,36,43,43,43
Precinct,37,61,61,61
Precinct,38,48,48,48
Precinct,39,71,71,71
Precinct,40,63,63,63
Precinct,41,77,77,77
Precinct,42,73,73,73
Precinct,43,56,56,56
Precinct,44,60,60,60
Precinct,45,44,44,44
Precinct,46,56,56,56
Precinct,47,26,26,26
Precinct,48,65,65,65
Precinct,49,75,75,75
Precinct,50,53,53,53
Precinct,51,*,0,0
Precinct,52,32,32,32
Precinct,53,72,72,72
Precinct,54,33,33,33
Precinct,55,22,22,22
Precinct,56,61,61,61
Precinct,57,76,76,76
Precinct,58,79,79,79
Precinct,59,36,36,36
Precinct,60,40,40,40
Precinct,61,42,42,42
Precinct,62,53,53,53
Precinct,63,62,62,62
Precinct,64,80,80,80
Precinct,65,23,23,23
Precinct,66,59,59,59
Precinct,67,24,24,24
Precinct,68,63,63,63
Precinct,69,19,19,19
Precinct,70,50,50,50
Precinct,71,36,36,36
Precinct,72,62,62,62
Precinct,73,91,91,91
Precinct,74,39,39,39
Precinct,75,75,75,75
Precinct,76,65,65,65
Precinct,77,*,*,5
Precinct,78,37,37,37
Precinct,79,31,31,31
Precinct,80,55,55,55
Precinct,81,39,39,39
Precinct,82,55,55,55
Precinct,83,67,67,67
Precinct,84,26,26,26
Precinct,85,18,18,18
Precinct,86,50,50,50
Precinct,87,33,33,33
Precinct,88,23,23,23
Precinct,89,48,48,48
Precinct,90,30,30,30
Precinct,91,*,0,0
Precinct,92,28,28,28
Precinct,93,90,90,90
Precinct,94,50,50,50
Precinct,95,*,0,0
Precinct,96,69,69,69
Precinct,97,68,68,68
Precinct,98,56,56,56
Precinct,99,41,41,41
Precinct,100,24,24,24
Precinct,101,41,41,41
Precinct,102,55,55,55
Precinct,103,62,62,62
Precinct,104,58,58,58
Precinct,105,28,28,28
Precinct,106,58,58,58
Precinct,107,58,58,58
Precinct,108,36,36,36
Precinct,109,46,46,46
Precinct,110,57,57,57
Precinct,111,64,64,64
Precinct,112,58,58,58
Precinct,113,55,55,55
Precinct,114,91,91,91
Precinct,115,58,58,58
Precinct,116,49,49,49
Precinct,117,43,43,43
Precinct,118,60,60,60
Precinct,119,73,73,73
Precinct,120,22,22,22
Precinct,121,37,37,37
Precinct,122,51,51,51
Precinct,123,81,81,81
Precinct,124,32,32,32
Precinct,125,41,41,41
Precinct,126,19,19,19
Precinct,127,35,35,35
Precinct,128,45,45,45
Precinct,129,56,56,56
Precinct,130,36,36,36
Precinct,131,30,30,30
Precinct,132,71,71,71
Precinct,133,40,40,40
Precinct,134,62,62,62
Precinct,135,39,39,39
Precinct,136,55,55,55
Precinct,137,39,39,39
Precinct,138,78,78,78
Precinct,139,56,56,56
Precinct,140,33,33,33
Precinct,141,41,41,41
Precinct,142,30,30,30
Precinct,143,87,87,87
Precinct,144,21,21,21
Precinct,145,18,18,18
Precinct,146,13,13,13
Precinct,147,37,37,37
Precinct,148,57,57,57
Precinct,149,56,56,56
Precinct,150,33,33,33
Precinct,151,28,28,28
Precinct,152,10,10,10
Precinct,153,21,21,21
Precinct,154,44,44,44
Precinct,155,35,35,35
Precinct,156,111,111,111
Precinct,157,31,31,31
Precinct,Voter Privacy,15,15,15
County,Santa Fe,3002,3002,3002
Precinct,1,13,13,13
Precinct,2,10,10,10
Precinct,3,11,11,11
Precinct,4,*,0,0
Precinct,5,25,25,25
Precinct,6,*,0,0
Precinct,7,14,14,14
Precinct,8,13,13,13
Precinct,9,7,7,7
Precinct,10,22,22,22
Precinct,11,7,7,7
Precinct,12,20,20,20
Precinct,13,29,29,29
Precinct,14,*,*,5
Precinct,15,46,46,46
Precinct,16,31,31,31
Precinct,17,17,17,17
Precinct,18,50,50,50
Precinct,19,13,13,13
Precinct,20,7,7,7
Precinct,21,6,6,6
Precinct,22,10,10,10
Precinct,23,31,31,31
Precinct,24,11,11,11
Precinct,25,8,8,8
Precinct,26,*,*,5
Precinct,27,*,0,0
Precinct,28,11,11,11
Precinct,29,18,18,18
Precinct,30,18,18,18
Precinct,31,12,12,12
Precinct,32,16,16,16
Precinct,33,8,8,8
Precinct,34,10,10,10
Precinct,35,*,*,5
Precinct,36,9,9,9
Precinct,37,13,13,13
Precinct,38,19,19,19
Precinct,39,18,18,18
Precinct,40,7,7,7
Precinct,41,6,6,6
Precinct,42,6,6,6
Precinct,43,*,0,0
Precinct,44,8,8,8
Precinct,45,15,15,15
Precinct,46,9,9,9
Precinct,47,*,0,0
Precinct,48,11,11,11
Precinct,49,12,12,12
Precinct,50,11,11,11
Precinct,51,9,9,9
Precinct,52,*,0,0
Precinct,53,17,17,17
Precinct,54,8,8,8
Precinct,55,12,12,12
Precinct,56,31,31,31
Precinct,57,23,23,23
Precinct,58,23,23,23
Precinct,59,35,35,35
Precinct,60,19,19,19
Precinct,61,16,16,16
Precinct,62,15,15,15
Precinct,63,7,7,7
Precinct,64,*,0,0
Precinct,65,15,15,15
Precinct,66,10,10,10
Precinct,67,*,0,0
Precinct,68,7,7,7
Precinct,69,18,18,18
Precinct,70,31,31,31
Precinct,71,7,7,7
Precinct,72,10,10,10
Precinct,73,91,91,91
Precinct,74,22,22,22
Precinct,75,11,11,11
Precinct,76,20,20,20
Precinct,77,16,16,16
Precinct,78,21,21,21
Precinct,79,20,20,20
Precinct,80,10,10,10
Precinct,81,33,33,33
Precinct,82,37,37,37
Precinct,83,18,18,18
Precinct,84,75,75,75
Precinct,85,75,75,75
Precinct,86,14,14,14
Precinct,87,15,15,15
Precinct,88,25,25,25
Precinct,89,38,38,38
Precinct,90,28,28,28
Precinct,91,12,12,12
Precinct,92,14,14,14
Precinct,93,24,24,24
Precinct,94,15,15,15
Precinct,95,*,0,0
Precinct,96,7,7,7
Precinct,97,*,0,0
Precinct,98,20,20,20
Precinct,99,11,11,11
Precinct,100,*,0,0
Precinct,101,7,7,7
Precinct,102,15,15,15
Precinct,103,15,15,15
Precinct,104,8,8,8
Precinct,105,12,12,12
Precinct,106,8,8,8
Precinct,107,16,16,16
Precinct,108,9,9,9
Precinct,109,16,16,16
Precinct,110,28,28,28
Precinct,111,9,9,9
Precinct,112,20,20,20
Precinct,113,28,28,28
Precinct,114,16,16,16
Precinct,115,85,85,85
Precinct,116,8,8,8
Precinct,117,21,21,21
Precinct,118,21,21,21
Precinct,119,*,*,5
Precinct,120,13,13,13
Precinct,121,12,12,12
Precinct,122,*,0,0
Precinct,123,7,7,7
Precinct,124,15,15,15
Precinct,125,87,87,87
Precinct,126,10,10,10
Precinct,127,*,0,0
Precinct,128,15,15,15
Precinct,129,12,12,12
Precinct,130,7,7,7
Precinct,131,14,14,14
Precinct,132,16,16,16
Precinct,133,12,12,12
Precinct,134,25,25,25
Precinct,135,14,14,14
Precinct,136,*,*,5
Precinct,137,*,*,5
Precinct,138,12,12,12
Precinct,139,14,14,14
Precinct,140,12,12,12
Precinct,141,*,0,0
Precinct,142,16,16,16
Precinct,143,14,14,14
Precinct,144,22,22,22
Precinct,145,6,6,6
Precinct,146,31,31,31
Precinct,147,25,25,25
Precinct,148,72,72,72
Precinct,149,22,22,22
Precinct,150,24,24,24
Precinct,151,30,30,30
Precinct,152,12,12,12
Precinct,153,37,37,37
Precinct,154,10,10,10
Precinct,155,*,0,0
Precinct,156,56,56,56
Precinct,157,78,78,78
Precinct,158,6,6,6
Precinct,159,6,6,6
Precinct,160,12,12,12
Precinct,161,8,8,8
Precinct,162,*,*,5
Precinct,163,9,9,9
Precinct,164,6,6,6
Precinct,165,8,8,8
Precinct,166,14,14,14
Precinct,167,19,19,19
Precinct,168,11,11,11
Precinct,169,*,0,0
Precinct,170,14,14,14
Precinct,171,8,8,8
Precinct,172,7,7,7
Precinct,173,18,18,18
Precinct,174,18,18,18
Precinct,175,11,11,11
Precinct,176,9,9,9
Precinct,177,11,11,11
Precinct,178,*,0,0
Precinct,179,*,0,0
Precinct,Voter Privacy,55,55,55
County,Sierra,901,901,901
Precinct,1,95,95,95
Precinct,2,180,180,180
Precinct,3,70,70,70
Precinct,4,69,69,69
Precinct,5,55,55,55
Precinct,6,9,9,9
Precinct,7,53,53,53
Precinct,8,60,60,60
Precinct,9,23,23,23
Precinct,10,113,113,113
Precinct,11,69,69,69
Precinct,12,105,105,105
Precinct,Voter Privacy,0,0,0
County,Socorro,792,792,792
Precinct,1,44,44,44
Precinct,2,30,30,30
Precinct,3,43,43,43
Precinct,4,18,18,18
Precinct,5,22,22,22
Precinct,6,44,44,44
Precinct,7,*,*,5
Precinct,8,70,70,70
Precinct,9,19,19,19
Precinct,10,9,9,9
Precinct,11,93,93,93
Precinct,12,12,12,12
Precinct,13,67,67,67
Precinct,14,33,33,33
Precinct,15,21,21,21
Precinct,16,*,*,5
Precinct,17,10,10,10
Precinct,18,44,44,44
Precinct,19,50,50,50
Precinct,20,35,35,35
Precinct,21,*,0,0
Precinct,22,9,9,9
Precinct,23,14,14,14
Precinct,24,37,37,37
Precinct,25,7,7,7
Precinct,26,13,13,13
Precinct,27,36,36,36
Precinct,Voter Privacy,*,*,2
County,Taos,470,470,470
Precinct,1,16,16,16
Precinct,2,*,0,0
Precinct,3,13,13,13
Precinct,4,19,19,19
Precinct,5,9,9,9
Precinct,6,23,23,23
Precinct,7,26,26,26
Precinct,8,6,6,6
Precinct,9,22,22,22
Precinct,10,8,8,8
Precinct,11,7,7,7
Precinct,12,12,12,12
Precinct,13,*,0,0
Precinct,14,8,8,8
Precinct,15,13,13,13
Precinct,16,*,*,5
Precinct,17,17,17,17
Precinct,18,21,21,21
Precinct,19,10,10,10
Precinct,20,8,8,8
Precinct,21,9,9,9
Precinct,22,*,0,0
Precinct,23,*,0,0
