,,Yvette Herrell,Total Votes Cast,Total Ballots Cast
,,Republican,,
Precinct,35,6,6,6
Precinct,36,*,*,5
Precinct,37,15,15,15
Precinct,38,6,6,6
Precinct,39,19,19,19
Precinct,40,36,36,36
Precinct,41,*,*,5
Precinct,42,*,*,5
Precinct,43,8,8,8
Precinct,44,10,10,10
Precinct,45,15,15,15
Precinct,46,10,10,10
Precinct,47,14,14,14
Precinct,48,23,23,23
Precinct,49,22,22,22
Precinct,50,8,8,8
Precinct,51,16,16,16
Precinct,52,15,15,15
Precinct,53,*,0,0
Precinct,54,*,0,0
Precinct,55,30,30,30
Precinct,56,18,18,18
Precinct,57,32,32,32
Precinct,58,*,0,0
Precinct,59,45,45,45
Precinct,60,*,*,5
Precinct,61,33,33,33
Precinct,62,27,27,27
Precinct,63,70,70,70
Precinct,64,30,30,30
Precinct,65,8,8,8
Precinct,66,19,19,19
Precinct,67,38,38,38
Precinct,68,17,17,17
Precinct,69,21,21,21
Precinct,70,15,15,15
Precinct,71,23,23,23
Precinct,72,14,14,14
Precinct,73,30,30,30
Precinct,74,27,27,27
Precinct,75,16,16,16
Precinct,76,13,13,13
Precinct,77,31,31,31
Precinct,78,28,28,28
Precinct,79,15,15,15
Precinct,80,6,6,6
Precinct,81,8,8,8
Precinct,82,22,22,22
Precinct,83,21,21,21
Precinct,84,36,36,36
Precinct,85,37,37,37
Precinct,86,32,32,32
Precinct,87,26,26,26
Precinct,88,10,10,10
Precinct,89,39,39,39
Precinct,90,31,31,31
Precinct,91,26,26,26
Precinct,92,*,0,0
Precinct,93,*,0,0
Precinct,94,7,7,7
Precinct,95,6,6,6
Precinct,96,54,54,54
Precinct,97,*,*,5
Precinct,98,40,40,40
Precinct,99,40,40,40
Precinct,100,36,36,36
Precinct,101,35,35,35
Precinct,102,26,26,26
Precinct,103,25,25,25
Precinct,104,20,20,20
Precinct,105,41,41,41
Precinct,106,37,37,37
Precinct,107,69,69,69
Precinct,108,20,20,20
Precinct,109,31,31,31
Precinct,110,55,55,55
