contest_id,election_date,chamber,district,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_url,source_locator
nm-2024-cd3-dem,2024-06-04,House,03,Democratic,TERESA LEGER FERNANDEZ,reviewed-teresa-leger-fernandez,Democratic,false,46008,https://electionresults.sos.nm.gov/resultsSW.aspx?eid=2878&map=CTY&type=FED,statewide federal page
nm-2024-cd3-rep,2024-06-04,House,03,Republican,SHARON E CLAHCHISCHILLIAGE,reviewed-sharon-clahchischilliage,Republican,false,24959,https://electionresults.sos.nm.gov/resultsSW.aspx?eid=2878&map=CTY&type=FED,statewide federal page
