,,Martin Heinrich,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,241,50,50,50
Precinct,242,58,58,58
Precinct,243,67,67,67
Precinct,244,167,167,167
Precinct,245,103,103,103
Precinct,246,37,37,37
Precinct,247,31,31,31
Precinct,248,14,14,14
Precinct,249,68,68,68
Precinct,250,46,46,46
Precinct,251,132,132,132
Precinct,252,180,180,180
Precinct,253,200,200,200
Precinct,254,209,209,209
Precinct,255,148,148,148
Precinct,256,172,172,172
Precinct,257,54,54,54
Precinct,258,6,6,6
Precinct,259,40,40,40
Precinct,260,53,53,53
Precinct,261,34,34,34
Precinct,262,34,34,34
Precinct,263,116,116,116
Precinct,264,40,40,40
Precinct,265,45,45,45
Precinct,266,60,60,60
Precinct,267,50,50,50
Precinct,268,17,17,17
Precinct,269,24,24,24
Precinct,270,25,25,25
Precinct,271,130,130,130
Precinct,272,131,131,131
Precinct,273,173,173,173
Precinct,274,127,127,127
Precinct,275,26,26,26
Precinct,276,117,117,117
Precinct,277,135,135,135
Precinct,278,55,55,55
Precinct,279,49,49,49
Precinct,280,45,45,45
Precinct,281,66,66,66
Precinct,282,98,98,98
Precinct,283,34,34,34
Precinct,284,56,56,56
Precinct,285,50,50,50
Precinct,286,7,7,7
Precinct,287,35,35,35
Precinct,288,47,47,47
Precinct,289,69,69,69
Precinct,290,44,44,44
Precinct,291,66,66,66
Precinct,292,41,41,41
Precinct,293,50,50,50
Precinct,294,73,73,73
Precinct,295,77,77,77
Precinct,296,39,39,39
Precinct,297,43,43,43
Precinct,298,49,49,49
Precinct,299,39,39,39
Precinct,300,43,43,43
Precinct,301,73,73,73
Precinct,302,102,102,102
Precinct,303,60,60,60
Precinct,304,64,64,64
Precinct,305,78,78,78
Precinct,306,41,41,41
Precinct,307,85,85,85
Precinct,308,73,73,73
Precinct,309,39,39,39
Precinct,310,113,113,113
Precinct,311,84,84,84
Precinct,312,95,95,95
Precinct,313,49,49,49
Precinct,314,122,122,122
Precinct,315,69,69,69
Precinct,316,87,87,87
Precinct,317,61,61,61
Precinct,318,16,16,16
Precinct,319,82,82,82
Precinct,320,61,61,61
Precinct,321,56,56,56
Precinct,322,36,36,36
Precinct,323,40,40,40
Precinct,324,101,101,101
Precinct,325,95,95,95
Precinct,326,57,57,57
Precinct,327,7,7,7
Precinct,328,70,70,70
Precinct,329,50,50,50
Precinct,330,38,38,38
Precinct,331,26,26,26
Precinct,332,64,64,64
Precinct,333,82,82,82
Precinct,334,60,60,60
Precinct,335,53,53,53
Precinct,336,15,15,15
Precinct,337,18,18,18
Precinct,338,150,150,150
Precinct,339,66,66,66
Precinct,340,74,74,74
Precinct,341,140,140,140
Precinct,342,90,90,90
Precinct,343,182,182,182
Precinct,344,224,224,224
Precinct,345,8,8,8
Precinct,346,36,36,36
Precinct,347,68,68,68
