,,Martin Heinrich,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,183,18,18,18
Precinct,184,19,19,19
Precinct,185,53,53,53
Precinct,186,29,29,29
Precinct,187,58,58,58
Precinct,188,26,26,26
Precinct,189,13,13,13
Precinct,190,61,61,61
Precinct,Voter Privacy,*,*,5
County,Eddy,997,997,997
Precinct,1,6,6,6
Precinct,2,7,7,7
Precinct,3,19,19,19
Precinct,4,21,21,21
Precinct,5,9,9,9
Precinct,6,8,8,8
Precinct,7,10,10,10
Precinct,8,9,9,9
Precinct,9,25,25,25
Precinct,10,34,34,34
Precinct,11,19,19,19
Precinct,12,7,7,7
Precinct,13,42,42,42
Precinct,14,27,27,27
Precinct,15,30,30,30
Precinct,16,32,32,32
Precinct,17,41,41,41
Precinct,18,31,31,31
Precinct,19,36,36,36
Precinct,20,15,15,15
Precinct,21,16,16,16
Precinct,22,42,42,42
Precinct,23,26,26,26
Precinct,24,15,15,15
Precinct,25,16,16,16
Precinct,26,24,24,24
Precinct,27,15,15,15
Precinct,28,19,19,19
Precinct,29,*,0,0
Precinct,30,*,0,0
Precinct,31,25,25,25
Precinct,32,28,28,28
Precinct,33,24,24,24
Precinct,34,13,13,13
Precinct,35,24,24,24
Precinct,36,24,24,24
Precinct,37,10,10,10
Precinct,38,7,7,7
Precinct,39,6,6,6
Precinct,40,*,0,0
Precinct,41,13,13,13
Precinct,42,*,0,0
Precinct,43,*,0,0
Precinct,44,28,28,28
Precinct,45,19,19,19
Precinct,46,9,9,9
Precinct,47,24,24,24
Precinct,48,11,11,11
Precinct,49,13,13,13
Precinct,50,34,34,34
Precinct,51,24,24,24
Precinct,52,32,32,32
Precinct,53,11,11,11
Precinct,54,11,11,11
Precinct,Voter Privacy,6,6,6
County,Grant,2649,2649,2649
Precinct,1,26,26,26
Precinct,2,61,61,61
Precinct,3,*,*,5
Precinct,4,23,23,23
Precinct,5,103,103,103
Precinct,6,6,6,6
Precinct,7,69,69,69
Precinct,8,74,74,74
Precinct,9,43,43,43
Precinct,10,38,38,38
Precinct,11,65,65,65
Precinct,12,104,104,104
Precinct,13,106,106,106
Precinct,14,144,144,144
Precinct,15,134,134,134
Precinct,16,106,106,106
Precinct,17,42,42,42
Precinct,18,95,95,95
Precinct,19,56,56,56
Precinct,20,150,150,150
Precinct,21,46,46,46
Precinct,22,109,109,109
Precinct,23,26,26,26
Precinct,24,48,48,48
Precinct,25,87,87,87
Precinct,26,46,46,46
Precinct,27,61,61,61
Precinct,28,69,69,69
Precinct,29,51,51,51
Precinct,30,59,59,59
Precinct,31,*,*,5
Precinct,32,32,32,32
Precinct,33,46,46,46
Precinct,34,75,75,75
Precinct,35,*,*,5
Precinct,36,76,76,76
Precinct,37,69,69,69
Precinct,38,173,173,173
Precinct,39,116,116,116
Precinct,Voter Privacy,0,0,0
County,Guadalupe,645,645,645
Precinct,1,234,234,234
Precinct,2,118,118,118
Precinct,3,157,157,157
Precinct,4,44,44,44
Precinct,5,92,92,92
Precinct,Voter Privacy,0,0,0
County,Harding,55,55,55
Precinct,1,20,20,20
Precinct,2,35,35,35
Precinct,3,*,0,0
Precinct,Voter Privacy,0,0,0
County,Hidalgo,379,379,379
Precinct,1 - Lordsburg/west,77,77,77
Precinct,2 - Lordsburge/central,66,66,66
Precinct,3 - Lordsburg/east,*,0,0
Precinct,4 - Virden,12,12,12
Precinct,5 - Rodeo,33,33,33
Precinct,6 - Animas,8,8,8
Precinct,7- Lordsburg North/west,11,11,11
Precinct,8 - South Animas/South Lordsburg,10,10,10
Precinct,9- Animas/ Central,*,0,0
Precinct,10- Lordsburg Northeast,35,35,35
Precinct,11- Lordsburg Southwest,116,116,116
Precinct,12- Lordsburg,9,9,9
Precinct,Voter Privacy,*,*,2
County,Lea,486,486,486
Precinct,2,*,0,0
Precinct,3,13,13,13
Precinct,8,11,11,11
Precinct,9,12,12,12
Precinct,10,17,17,17
Precinct,11,9,9,9
Precinct,12,13,13,13
Precinct,13,9,9,9
Precinct,14,20,20,20
Precinct,15,12,12,12
Precinct,16,10,10,10
Precinct,17,7,7,7
Precinct,18,*,0,0
Precinct,19,11,11,11
Precinct,20,16,16,16
Precinct,21,*,0,0
Precinct,22,*,0,0
Precinct,23,6,6,6
Precinct,24,13,13,13
Precinct,25,15,15,15
Precinct,26,6,6,6
Precinct,27,9,9,9
Precinct,28,*,0,0
Precinct,29,10,10,10
Precinct,30,6,6,6
Precinct,31,16,16,16
Precinct,32,11,11,11
Precinct,33,19,19,19
Precinct,34,7,7,7
Precinct,35,*,*,5
Precinct,36,8,8,8
Precinct,37,8,8,8
Precinct,38,8,8,8
Precinct,39,*,0,0
Precinct,40,6,6,6
Precinct,41,10,10,10
Precinct,42,14,14,14
Precinct,43,10,10,10
Precinct,44,14,14,14
Precinct,50,*,0,0
Precinct,51,16,16,16
Precinct,52,10,10,10
Precinct,53,18,18,18
Precinct,54,*,0,0
Precinct,55,9,9,9
Precinct,56,*,*,5
Precinct,57,6,6,6
Precinct,58,*,0,0
Precinct,59,*,0,0
Precinct,61,9,9,9
Precinct,62,*,0,0
Precinct,71,*,*,5
Precinct,72,13,13,13
Precinct,73,6,6,6
Precinct,74,*,0,0
Precinct,Voter Privacy,28,28,28
County,Lincoln,571,571,571
Precinct,1,8,8,8
Precinct,2,14,14,14
Precinct,3,28,28,28
Precinct,4,33,33,33
Precinct,5,18,18,18
Precinct,6,45,45,45
Precinct,7,12,12,12
Precinct,8,17,17,17
Precinct,9,28,28,28
Precinct,10,11,11,11
Precinct,11,27,27,27
Precinct,12,12,12,12
Precinct,13,29,29,29
Precinct,14,34,34,34
Precinct,15,13,13,13
Precinct,16,10,10,10
Precinct,17,13,13,13
Precinct,18,*,0,0
Precinct,19,8,8,8
Precinct,20,14,14,14
Precinct,21,44,44,44
Precinct,22,8,8,8
Precinct,23,*,0,0
Precinct,24,32,32,32
Precinct,25,30,30,30
Precinct,26,35,35,35
Precinct,27,7,7,7
Precinct,28,*,0,0
Precinct,29,33,33,33
Precinct,Voter Privacy,8,8,8
County,Los Alamos,1665,1665,1665
Precinct,1,100,100,100
Precinct,2,66,66,66
Precinct,3,72,72,72
Precinct,4,66,66,66
Precinct,5,47,47,47
Precinct,6,28,28,28
Precinct,7,71,71,71
Precinct,8,66,66,66
Precinct,9,63,63,63
Precinct,10,84,84,84
Precinct,11,75,75,75
Precinct,12,30,30,30
Precinct,13,103,103,103
Precinct,14,125,125,125
Precinct,15,91,91,91
Precinct,16,75,75,75
Precinct,17,91,91,91
Precinct,18,49,49,49
Precinct,19,77,77,77
Precinct,20,48,48,48
Precinct,21,67,67,67
Precinct,22,92,92,92
Precinct,23,79,79,79
Precinct,Voter Privacy,0,0,0
County,Luna,793,793,793
Precinct,1,24,24,24
Precinct,2,35,35,35
Precinct,3,43,43,43
Precinct,4,50,50,50
Precinct,5,44,44,44
Precinct,6,73,73,73
Precinct,7,36,36,36
Precinct,8,59,59,59
Precinct,9,74,74,74
Precinct,10,31,31,31
Precinct,11,57,57,57
Precinct,12,74,74,74
Precinct,13,53,53,53
Precinct,14,57,57,57
Precinct,15,10,10,10
Precinct,16,28,28,28
Precinct,17,28,28,28
Precinct,18,17,17,17
Precinct,Voter Privacy,0,0,0
County,McKinley,5731,5731,5731
Precinct,1,83,83,83
Precinct,2,46,46,46
Precinct,3,35,35,35
Precinct,4,122,122,122
Precinct,5,203,203,203
Precinct,6,174,174,174
Precinct,7,221,221,221
Precinct,8,78,78,78
Precinct,9,97,97,97
Precinct,10,103,103,103
Precinct,11,40,40,40
Precinct,12,13,13,13
Precinct,13,26,26,26
Precinct,14,112,112,112
Precinct,15,104,104,104
Precinct,16,94,94,94
Precinct,17,109,109,109
Precinct,18,38,38,38
Precinct,19,182,182,182
Precinct,20,162,162,162
Precinct,21,107,107,107
Precinct,22,71,71,71
Precinct,23,134,134,134
Precinct,24,149,149,149
Precinct,25,141,141,141
Precinct,26,31,31,31
Precinct,27,57,57,57
Precinct,28,52,52,52
Precinct,29,90,90,90
Precinct,30,66,66,66
Precinct,31,89,89,89
Precinct,32,35,35,35
Precinct,33,114,114,114
Precinct,34,55,55,55
Precinct,35,44,44,44
Precinct,36,26,26,26
Precinct,37,36,36,36
Precinct,38,63,63,63
Precinct,39,78,78,78
Precinct,40,52,52,52
Precinct,41,89,89,89
Precinct,42,36,36,36
Precinct,43,130,130,130
Precinct,44,65,65,65
Precinct,45,73,73,73
Precinct,46,119,119,119
Precinct,47,33,33,33
Precinct,48,80,80,80
Precinct,49,54,54,54
Precinct,50,34,34,34
Precinct,51,77,77,77
Precinct,52,31,31,31
Precinct,53,138,138,138
Precinct,54,123,123,123
Precinct,55,97,97,97
Precinct,56,85,85,85
Precinct,57,94,94,94
Precinct,58,91,91,91
Precinct,59,36,36,36
Precinct,60,43,43,43
Precinct,61,45,45,45
Precinct,62,47,47,47
Precinct,63,67,67,67
Precinct,64,70,70,70
Precinct,65,73,73,73
Precinct,66,80,80,80
Precinct,67,25,25,25
Precinct,68,96,96,96
Precinct,69,36,36,36
Precinct,70,108,108,108
Precinct,71,24,24,24
Precinct,Voter Privacy,0,0,0
County,Mora,611,611,611
Precinct,1,112,112,112
Precinct,2,116,116,116
Precinct,3,54,54,54
Precinct,4,45,45,45
Precinct,5,61,61,61
Precinct,6,31,31,31
Precinct,7,32,32,32
Precinct,8,59,59,59
Precinct,9,21,21,21
Precinct,10,31,31,31
Precinct,11,49,49,49
Precinct,Voter Privacy,0,0,0
County,Otero,1299,1299,1299
Precinct,1,7,7,7
Precinct,2,*,0,0
Precinct,3,*,0,0
Precinct,4,*,0,0
Precinct,5,10,10,10
Precinct,6,*,*,5
Precinct,7,*,*,5
Precinct,8,41,41,41
Precinct,9,31,31,31
Precinct,10,32,32,32
Precinct,11,9,9,9
Precinct,12,48,48,48
Precinct,13,40,40,40
Precinct,14,28,28,28
Precinct,15,19,19,19
Precinct,16,*,0,0
Precinct,17,21,21,21
Precinct,18,21,21,21
Precinct,19,22,22,22
Precinct,20,26,26,26
Precinct,21,30,30,30
Precinct,22,19,19,19
Precinct,23,30,30,30
Precinct,24,44,44,44
Precinct,25,29,29,29
Precinct,26,28,28,28
Precinct,27,38,38,38
Precinct,28,12,12,12
Precinct,29,19,19,19
Precinct,30,16,16,16
Precinct,31,27,27,27
Precinct,32,35,35,35
Precinct,33,26,26,26
Precinct,34,20,20,20
Precinct,35,16,16,16
Precinct,36,36,36,36
Precinct,37,23,23,23
Precinct,38,*,0,0
Precinct,39,30,30,30
Precinct,40,22,22,22
Precinct,41,*,0,0
Precinct,42,23,23,23
Precinct,43,*,0,0
Precinct,44,17,17,17
Precinct,45,*,0,0
Precinct,46,9,9,9
Precinct,47,23,23,23
Precinct,48,34,34,34
Precinct,49,30,30,30
Precinct,50,15,15,15
Precinct,51,43,43,43
Precinct,52,18,18,18
Precinct,53,14,14,14
Precinct,54,32,32,32
Precinct,55,12,12,12
Precinct,56,12,12,12
Precinct,57,32,32,32
Precinct,58,*,0,0
Precinct,59,*,0,0
Precinct,60,16,16,16
Precinct,61,18,18,18
Precinct,62,20,20,20
Precinct,63,9,9,9
Precinct,64,18,18,18
Precinct,65,19,19,19
Precinct,66,*,0,0
Precinct,Voter Privacy,20,20,20
County,Quay,271,271,271
Precinct,1,*,0,0
Precinct,2,*,0,0
Precinct,3,19,19,19
Precinct,4,*,0,0
Precinct,5,35,35,35
Precinct,6,18,18,18
Precinct,7,42,42,42
Precinct,8,15,15,15
Precinct,9,44,44,44
Precinct,10,28,28,28
Precinct,11,34,34,34
Precinct,12,29,29,29
Precinct,Voter Privacy,7,7,7
County,Rio Arriba,3786,3786,3786
Precinct,1,81,81,81
Precinct,2,39,39,39
Precinct,3,18,18,18
Precinct,4,185,185,185
Precinct,5,*,0,0
Precinct,10,72,72,72
Precinct,11,111,111,111
Precinct,12,32,32,32
Precinct,13,19,19,19
Precinct,14,6,6,6
Precinct,21,*,0,0
Precinct,22,9,9,9
Precinct,23,25,25,25
Precinct,24,46,46,46
Precinct,25,101,101,101
Precinct,26,116,116,116
Precinct,27,192,192,192
Precinct,28,43,43,43
Precinct,35,8,8,8
Precinct,36,110,110,110
Precinct,37,139,139,139
Precinct,38,154,154,154
Precinct,39,62,62,62
Precinct,40,39,39,39
Precinct,45,110,110,110
Precinct,46,22,22,22
Precinct,47,66,66,66
Precinct,48,152,152,152
Precinct,49,43,43,43
Precinct,56,114,114,114
Precinct,57,148,148,148
Precinct,58,68,68,68
Precinct,59,147,147,147
Precinct,60,117,117,117
Precinct,61,42,42,42
Precinct,62,55,55,55
Precinct,63,155,155,155
Precinct,64,107,107,107
Precinct,65,139,139,139
Precinct,66,60,60,60
Precinct,67,103,103,103
Precinct,68,88,88,88
Precinct,69,134,134,134
Precinct,70,133,133,133
Precinct,71,78,78,78
Precinct,72,19,19,19
Precinct,73,46,46,46
Precinct,74,27,27,27
Precinct,Voter Privacy,6,6,6
County,Roosevelt,232,232,232
Precinct,1,6,6,6
Precinct,2,18,18,18
Precinct,3,*,0,0
Precinct,4,7,7,7
Precinct,5,6,6,6
Precinct,6,*,0,0
Precinct,7,9,9,9
Precinct,8,19,19,19
Precinct,9,18,18,18
Precinct,10,7,7,7
Precinct,11,*,0,0
Precinct,12,25,25,25
Precinct,13,7,7,7
Precinct,14,10,10,10
Precinct,15,9,9,9
Precinct,16,11,11,11
Precinct,17,*,0,0
Precinct,18,13,13,13
Precinct,19,20,20,20
Precinct,20,19,19,19
Precinct,21,19,19,19
Precinct,Voter Privacy,9,9,9
County,San Juan,3022,3022,3022
Precinct,1,86,86,86
Precinct,2,73,73,73
Precinct,3,70,70,70
Precinct,4,89,89,89
Precinct,5,67,67,67
Precinct,6,51,51,51
Precinct,7,51,51,51
Precinct,8,65,65,65
Precinct,9,52,52,52
Precinct,10,53,53,53
Precinct,11,64,64,64
Precinct,12,47,47,47
Precinct,13,92,92,92
Precinct,14,37,37,37
Precinct,15,40,40,40
Precinct,16,46,46,46
Precinct,17,21,21,21
Precinct,18,65,65,65
Precinct,19,16,16,16
Precinct,20,50,50,50
Precinct,21,41,41,41
Precinct,22,48,48,48
Precinct,23,24,24,24
Precinct,24,15,15,15
Precinct,25,26,26,26
Precinct,26,22,22,22
Precinct,27,33,33,33
Precinct,28,17,17,17
Precinct,29,15,15,15
Precinct,30,33,33,33
Precinct,31,10,10,10
Precinct,32,17,17,17
Precinct,33,21,21,21
Precinct,34,33,33,33
Precinct,35,12,12,12
Precinct,36,17,17,17
Precinct,37,31,31,31
Precinct,38,33,33,33
Precinct,39,33,33,33
Precinct,40,27,27,27
Precinct,41,17,17,17
Precinct,42,16,16,16
Precinct,43,20,20,20
Precinct,44,33,33,33
Precinct,45,22,22,22
Precinct,46,26,26,26
Precinct,47,19,19,19
Precinct,48,14,14,14
Precinct,49,21,21,21
Precinct,50,23,23,23
Precinct,51,23,23,23
Precinct,52,8,8,8
Precinct,53,17,17,17
Precinct,54,20,20,20
Precinct,55,24,24,24
Precinct,56,14,14,14
Precinct,57,26,26,26
Precinct,58,10,10,10
Precinct,59,22,22,22
Precinct,60,23,23,23
Precinct,61,19,19,19
Precinct,62,39,39,39
Precinct,63,30,30,30
Precinct,64,23,23,23
Precinct,65,34,34,34
Precinct,66,30,30,30
Precinct,67,20,20,20
Precinct,68,21,21,21
Precinct,69,27,27,27
Precinct,70,18,18,18
Precinct,71,6,6,6
Precinct,72,40,40,40
Precinct,73,17,17,17
Precinct,74,28,28,28
Precinct,75,17,17,17
Precinct,76,29,29,29
Precinct,77,23,23,23
Precinct,78,15,15,15
Precinct,79,9,9,9
Precinct,80,19,19,19
Precinct,81,28,28,28
Precinct,82,*,*,5
Precinct,83,11,11,11
Precinct,90,14,14,14
Precinct,99,14,14,14
Precinct,100,8,8,8
Precinct,101,11,11,11
Precinct,102,7,7,7
Precinct,103,21,21,21
Precinct,104,13,13,13
Precinct,105,19,19,19
Precinct,106,22,22,22
Precinct,107,47,47,47
Precinct,108,15,15,15
Precinct,109,9,9,9
Precinct,110,25,25,25
Precinct,120,38,38,38
Precinct,121,27,27,27
Precinct,130,22,22,22
Precinct,131,49,49,49
Precinct,132,30,30,30
Precinct,133,56,56,56
Precinct,134,26,26,26
Precinct,Voter Privacy,0,0,0
County,San Miguel,3884,3884,3884
Precinct,1,95,95,95
Precinct,2,154,154,154
Precinct,3,164,164,164
Precinct,4,162,162,162
Precinct,5,98,98,98
Precinct,6,67,67,67
Precinct,7,99,99,99
Precinct,8,234,234,234
Precinct,9,69,69,69
Precinct,10,92,92,92
Precinct,11,70,70,70
Precinct,12,122,122,122
Precinct,13,79,79,79
Precinct,14,*,0,0
Precinct,15,19,19,19
Precinct,16,166,166,166
Precinct,17,11,11,11
Precinct,18,108,108,108
Precinct,19,191,191,191
Precinct,20,26,26,26
Precinct,21,117,117,117
Precinct,22,55,55,55
Precinct,23,250,250,250
Precinct,24,118,118,118
Precinct,25,111,111,111
Precinct,26,295,295,295
Precinct,27,246,246,246
Precinct,28,162,162,162
Precinct,29,151,151,151
Precinct,30,80,80,80
Precinct,31,62,62,62
Precinct,32,40,40,40
Precinct,33,7,7,7
Precinct,34,160,160,160
Precinct,Voter Privacy,*,*,4
County,Sandoval,8885,8885,8885
Precinct,1,93,93,93
Precinct,2,93,93,93
Precinct,3,116,116,116
Precinct,4,92,92,92
Precinct,5,85,85,85
Precinct,6,74,74,74
Precinct,7,41,41,41
Precinct,8,44,44,44
Precinct,9,34,34,34
Precinct,10,100,100,100
Precinct,11,99,99,99
Precinct,12,90,90,90
Precinct,13,86,86,86
Precinct,14,28,28,28
Precinct,15,33,33,33
Precinct,16,40,40,40
Precinct,17,42,42,42
Precinct,18,47,47,47
Precinct,19,44,44,44
Precinct,20,37,37,37
Precinct,21,45,45,45
Precinct,22,51,51,51
Precinct,23,22,22,22
Precinct,24,46,46,46
Precinct,25,105,105,105
Precinct,26,30,30,30
Precinct,27,20,20,20
Precinct,28,66,66,66
Precinct,29,92,92,92
Precinct,30,45,45,45
Precinct,31,54,54,54
Precinct,32,35,35,35
Precinct,33,46,46,46
Precinct,34,65,65,65
Precinct,35,51,51,51
Precinct,36,31,31,31
Precinct,37,39,39,39
Precinct,38,55,55,55
Precinct,39,61,61,61
Precinct,40,41,41,41
Precinct,41,62,62,62
Precinct,42,36,36,36
Precinct,43,63,63,63
Precinct,44,48,48,48
Precinct,45,50,50,50
Precinct,46,57,57,57
Precinct,47,27,27,27
Precinct,48,58,58,58
Precinct,49,65,65,65
Precinct,50,55,55,55
Precinct,51,*,0,0
Precinct,52,43,43,43
Precinct,53,135,135,135
Precinct,54,71,71,71
Precinct,55,89,89,89
Precinct,56,148,148,148
Precinct,57,91,91,91
Precinct,58,66,66,66
Precinct,59,46,46,46
Precinct,60,33,33,33
Precinct,61,60,60,60
Precinct,62,39,39,39
Precinct,63,54,54,54
Precinct,64,72,72,72
Precinct,65,35,35,35
Precinct,66,52,52,52
Precinct,67,28,28,28
Precinct,68,27,27,27
Precinct,69,30,30,30
Precinct,70,60,60,60
Precinct,71,32,32,32
Precinct,72,51,51,51
Precinct,73,54,54,54
Precinct,74,60,60,60
Precinct,75,95,95,95
Precinct,76,212,212,212
Precinct,77,40,40,40
Precinct,78,30,30,30
Precinct,79,16,16,16
Precinct,80,87,87,87
Precinct,81,55,55,55
Precinct,82,74,74,74
Precinct,83,42,42,42
Precinct,84,39,39,39
Precinct,85,11,11,11
Precinct,86,36,36,36
Precinct,87,88,88,88
Precinct,88,76,76,76
Precinct,89,150,150,150
Precinct,90,92,92,92
Precinct,91,27,27,27
Precinct,92,110,110,110
Precinct,93,122,122,122
Precinct,94,130,130,130
Precinct,95,17,17,17
Precinct,96,34,34,34
Precinct,97,37,37,37
Precinct,98,69,69,69
Precinct,99,61,61,61
Precinct,100,29,29,29
Precinct,101,38,38,38
Precinct,102,43,43,43
Precinct,103,50,50,50
Precinct,104,45,45,45
Precinct,105,29,29,29
Precinct,106,44,44,44
Precinct,107,40,40,40
Precinct,108,44,44,44
Precinct,109,30,30,30
Precinct,110,49,49,49
Precinct,111,62,62,62
Precinct,112,110,110,110
Precinct,113,137,137,137
Precinct,114,160,160,160
Precinct,115,51,51,51
Precinct,116,64,64,64
Precinct,117,25,25,25
Precinct,118,62,62,62
Precinct,119,76,76,76
Precinct,120,38,38,38
Precinct,121,47,47,47
Precinct,122,37,37,37
Precinct,123,63,63,63
Precinct,124,39,39,39
Precinct,125,38,38,38
Precinct,126,18,18,18
Precinct,127,30,30,30
Precinct,128,47,47,47
Precinct,129,36,36,36
Precinct,130,61,61,61
Precinct,131,66,66,66
Precinct,132,110,110,110
Precinct,133,106,106,106
Precinct,134,40,40,40
Precinct,135,46,46,46
Precinct,136,36,36,36
Precinct,137,29,29,29
Precinct,138,54,54,54
Precinct,139,57,57,57
Precinct,140,46,46,46
Precinct,141,34,34,34
Precinct,142,31,31,31
Precinct,143,66,66,66
Precinct,144,10,10,10
Precinct,145,32,32,32
Precinct,146,20,20,20
Precinct,147,35,35,35
Precinct,148,37,37,37
Precinct,149,56,56,56
Precinct,150,46,46,46
Precinct,151,7,7,7
Precinct,152,11,11,11
Precinct,153,91,91,91
Precinct,154,54,54,54
Precinct,155,43,43,43
Precinct,156,89,89,89
Precinct,157,26,26,26
Precinct,Voter Privacy,0,0,0
County,Santa Fe,20134,20134,20134
Precinct,1,95,95,95
Precinct,2,36,36,36
Precinct,3,99,99,99
Precinct,4,71,71,71
Precinct,5,173,173,173
Precinct,6,35,35,35
Precinct,7,59,59,59
Precinct,8,134,134,134
Precinct,9,149,149,149
Precinct,10,160,160,160
Precinct,11,168,168,168
Precinct,12,116,116,116
Precinct,13,121,121,121
Precinct,14,47,47,47
Precinct,15,33,33,33
Precinct,16,36,36,36
Precinct,17,94,94,94
Precinct,18,14,14,14
Precinct,19,36,36,36
Precinct,20,179,179,179
Precinct,21,102,102,102
Precinct,22,171,171,171
Precinct,23,134,134,134
Precinct,24,103,103,103
Precinct,25,130,130,130
Precinct,26,106,106,106
Precinct,27,112,112,112
Precinct,28,188,188,188
Precinct,29,150,150,150
Precinct,30,162,162,162
Precinct,31,76,76,76
Precinct,32,194,194,194
Precinct,33,46,46,46
Precinct,34,171,171,171
Precinct,35,68,68,68
Precinct,36,139,139,139
Precinct,37,115,115,115
Precinct,38,185,185,185
Precinct,39,113,113,113
Precinct,40,28,28,28
Precinct,41,73,73,73
Precinct,42,166,166,166
Precinct,43,178,178,178
Precinct,44,134,134,134
Precinct,45,128,128,128
Precinct,46,104,104,104
Precinct,47,130,130,130
Precinct,48,139,139,139
Precinct,49,157,157,157
Precinct,50,205,205,205
Precinct,51,103,103,103
Precinct,52,98,98,98
Precinct,53,133,133,133
Precinct,54,166,166,166
Precinct,55,227,227,227
Precinct,56,216,216,216
Precinct,57,134,134,134
Precinct,58,129,129,129
Precinct,59,147,147,147
Precinct,60,46,46,46
Precinct,61,73,73,73
Precinct,62,57,57,57
Precinct,63,131,131,131
Precinct,64,35,35,35
Precinct,65,165,165,165
Precinct,66,72,72,72
Precinct,67,16,16,16
Precinct,68,146,146,146
Precinct,69,171,171,171
Precinct,70,137,137,137
Precinct,71,85,85,85
Precinct,72,104,104,104
Precinct,73,55,55,55
Precinct,74,190,190,190
Precinct,75,81,81,81
Precinct,76,236,236,236
Precinct,77,173,173,173
Precinct,78,189,189,189
Precinct,79,73,73,73
Precinct,80,40,40,40
Precinct,81,174,174,174
Precinct,82,127,127,127
Precinct,83,153,153,153
Precinct,84,56,56,56
Precinct,85,34,34,34
Precinct,86,117,117,117
Precinct,87,55,55,55
Precinct,88,98,98,98
Precinct,89,131,131,131
Precinct,90,136,136,136
Precinct,91,106,106,106
Precinct,92,189,189,189
Precinct,93,75,75,75
Precinct,94,113,113,113
Precinct,95,107,107,107
Precinct,96,68,68,68
Precinct,97,159,159,159
Precinct,98,160,160,160
Precinct,99,156,156,156
Precinct,100,104,104,104
Precinct,101,117,117,117
Precinct,102,167,167,167
Precinct,103,192,192,192
Precinct,104,267,267,267
Precinct,105,134,134,134
Precinct,106,81,81,81
Precinct,107,193,193,193
Precinct,108,70,70,70
Precinct,109,113,113,113
Precinct,110,209,209,209
Precinct,111,141,141,141
Precinct,112,49,49,49
Precinct,113,180,180,180
Precinct,114,121,121,121
Precinct,115,51,51,51
Precinct,116,59,59,59
Precinct,117,135,135,135
Precinct,118,75,75,75
Precinct,119,69,69,69
Precinct,120,89,89,89
Precinct,121,120,120,120
Precinct,122,73,73,73
Precinct,123,69,69,69
Precinct,124,106,106,106
Precinct,125,43,43,43
Precinct,126,55,55,55
Precinct,127,67,67,67
Precinct,128,113,113,113
Precinct,129,133,133,133
Precinct,130,125,125,125
Precinct,131,120,120,120
Precinct,132,109,109,109
Precinct,133,76,76,76
Precinct,134,219,219,219
Precinct,135,73,73,73
Precinct,136,59,59,59
Precinct,137,80,80,80
Precinct,138,61,61,61
Precinct,139,148,148,148
Precinct,140,49,49,49
Precinct,141,49,49,49
Precinct,142,177,177,177
Precinct,143,115,115,115
Precinct,144,115,115,115
Precinct,145,23,23,23
Precinct,146,141,141,141
Precinct,147,159,159,159
Precinct,148,42,42,42
Precinct,149,94,94,94
Precinct,150,103,103,103
Precinct,151,177,177,177
Precinct,152,112,112,112
Precinct,153,211,211,211
Precinct,154,71,71,71
Precinct,155,73,73,73
Precinct,156,30,30,30
Precinct,157,32,32,32
Precinct,158,118,118,118
Precinct,159,157,157,157
Precinct,160,123,123,123
Precinct,161,141,141,141
Precinct,162,145,145,145
Precinct,163,72,72,72
Precinct,164,62,62,62
Precinct,165,104,104,104
Precinct,166,128,128,128
Precinct,167,157,157,157
Precinct,168,162,162,162
Precinct,169,28,28,28
Precinct,170,85,85,85
Precinct,171,85,85,85
Precinct,172,95,95,95
Precinct,173,156,156,156
Precinct,174,73,73,73
Precinct,175,142,142,142
Precinct,176,72,72,72
Precinct,177,94,94,94
Precinct,178,77,77,77
Precinct,179,16,16,16
Precinct,Voter Privacy,0,0,0
County,Sierra,488,488,488
Precinct,1,57,57,57
Precinct,2,51,51,51
Precinct,3,15,15,15
Precinct,4,23,23,23
Precinct,5,14,14,14
Precinct,6,32,32,32
Precinct,7,59,59,59
Precinct,8,60,60,60
Precinct,9,6,6,6
Precinct,10,29,29,29
Precinct,11,41,41,41
Precinct,12,101,101,101
Precinct,Voter Privacy,0,0,0
County,Socorro,925,925,925
Precinct,1,60,60,60
Precinct,2,57,57,57
Precinct,3,68,68,68
Precinct,4,23,23,23
Precinct,5,29,29,29
Precinct,6,29,29,29
Precinct,7,17,17,17
Precinct,8,91,91,91
Precinct,9,*,*,5
Precinct,10,21,21,21
Precinct,11,53,53,53
Precinct,12,*,0,0
Precinct,13,44,44,44
Precinct,14,29,29,29
Precinct,15,126,126,126
Precinct,16,6,6,6
Precinct,17,8,8,8
Precinct,18,62,62,62
Precinct,19,57,57,57
Precinct,20,32,32,32
Precinct,21,*,0,0
Precinct,22,9,9,9
Precinct,23,14,14,14
Precinct,24,36,36,36
Precinct,25,10,10,10
Precinct,26,*,0,0
Precinct,27,34,34,34
Precinct,Voter Privacy,*,*,5
County,Taos,3246,3246,3246
Precinct,1,59,59,59
Precinct,2,26,26,26
Precinct,3,12,12,12
Precinct,4,64,64,64
Precinct,5,61,61,61
Precinct,6,77,77,77
Precinct,7,14,14,14
Precinct,8,50,50,50
Precinct,9,231,231,231
Precinct,10,87,87,87
Precinct,11,96,96,96
Precinct,12,150,150,150
Precinct,13,49,49,49
Precinct,14,74,74,74
Precinct,15,99,99,99
Precinct,16,100,100,100
Precinct,17,98,98,98
Precinct,18,108,108,108
Precinct,19,100,100,100
Precinct,20,102,102,102
Precinct,21,86,86,86
