,,Melanie Ann Stansbury,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,363,*,*,5
Precinct,364,50,50,50
Precinct,365,62,62,62
Precinct,366,41,41,41
Precinct,368,26,26,26
Precinct,369,58,58,58
Precinct,370,42,42,42
Precinct,371,175,175,175
Precinct,372,53,53,53
Precinct,373,62,62,62
Precinct,374,95,95,95
Precinct,375,27,27,27
Precinct,376,61,61,61
Precinct,377,160,160,160
Precinct,378,13,13,13
Precinct,379,15,15,15
Precinct,380,37,37,37
Precinct,381,125,125,125
Precinct,382,139,139,139
Precinct,383,101,101,101
Precinct,384,124,124,124
Precinct,385,102,102,102
Precinct,386,95,95,95
Precinct,387,123,123,123
Precinct,388,59,59,59
Precinct,389,35,35,35
Precinct,390,63,63,63
Precinct,391,84,84,84
Precinct,392,55,55,55
Precinct,393,49,49,49
Precinct,395,69,69,69
Precinct,396,140,140,140
Precinct,397,44,44,44
Precinct,398,48,48,48
Precinct,400,48,48,48
Precinct,401,66,66,66
Precinct,402,135,135,135
Precinct,403,73,73,73
Precinct,404,108,108,108
Precinct,405,92,92,92
Precinct,406,50,50,50
Precinct,407,70,70,70
Precinct,408,86,86,86
Precinct,409,29,29,29
Precinct,410,107,107,107
Precinct,411,26,26,26
Precinct,412,85,85,85
Precinct,413,63,63,63
Precinct,414,40,40,40
Precinct,415,44,44,44
Precinct,416,68,68,68
Precinct,417,77,77,77
Precinct,418,89,89,89
Precinct,419,63,63,63
Precinct,420,62,62,62
Precinct,421,104,104,104
Precinct,422,45,45,45
Precinct,423,60,60,60
Precinct,424,49,49,49
Precinct,425,60,60,60
Precinct,426,71,71,71
Precinct,427,54,54,54
Precinct,428,117,117,117
Precinct,429,38,38,38
Precinct,430,75,75,75
Precinct,431,57,57,57
Precinct,432,103,103,103
Precinct,433,54,54,54
Precinct,434,48,48,48
Precinct,435,88,88,88
Precinct,436,69,69,69
Precinct,437,60,60,60
Precinct,438,8,8,8
Precinct,439,74,74,74
Precinct,440,49,49,49
Precinct,441,74,74,74
Precinct,442,67,67,67
Precinct,443,70,70,70
Precinct,444,60,60,60
Precinct,445,65,65,65
Precinct,446,77,77,77
Precinct,447,55,55,55
Precinct,448,39,39,39
Precinct,449,24,24,24
Precinct,450,71,71,71
Precinct,451,61,61,61
Precinct,452,73,73,73
Precinct,453,83,83,83
Precinct,454,44,44,44
Precinct,455,62,62,62
Precinct,456,58,58,58
Precinct,457,73,73,73
Precinct,458,24,24,24
Precinct,459,76,76,76
Precinct,460,106,106,106
Precinct,461,64,64,64
Precinct,462,41,41,41
Precinct,463,51,51,51
Precinct,464,51,51,51
Precinct,465,24,24,24
Precinct,466,80,80,80
Precinct,467,57,57,57
Precinct,468,118,118,118
Precinct,469,77,77,77
Precinct,470,85,85,85
Precinct,471,58,58,58
Precinct,472,42,42,42
Precinct,473,52,52,52
Precinct,474,54,54,54
Precinct,475,64,64,64
Precinct,476,62,62,62
Precinct,477,30,30,30
Precinct,478,61,61,61
Precinct,479,48,48,48
Precinct,480,75,75,75
Precinct,481,32,32,32
Precinct,482,96,96,96
Precinct,483,59,59,59
Precinct,484,66,66,66
Precinct,485,108,108,108
Precinct,486,76,76,76
Precinct,487,85,85,85
Precinct,488,127,127,127
Precinct,489,62,62,62
Precinct,490,75,75,75
Precinct,491,63,63,63
Precinct,492,62,62,62
Precinct,493,75,75,75
Precinct,494,83,83,83
Precinct,495,70,70,70
Precinct,496,75,75,75
Precinct,497,97,97,97
Precinct,498,92,92,92
Precinct,499,91,91,91
Precinct,500,129,129,129
Precinct,501,55,55,55
Precinct,502,59,59,59
Precinct,503,50,50,50
Precinct,504,49,49,49
Precinct,505,56,56,56
Precinct,506,68,68,68
Precinct,507,63,63,63
Precinct,508,49,49,49
Precinct,509,49,49,49
Precinct,510,45,45,45
Precinct,511,100,100,100
Precinct,512,39,39,39
Precinct,513,50,50,50
Precinct,514,65,65,65
Precinct,515,47,47,47
Precinct,516,50,50,50
Precinct,517,39,39,39
Precinct,518,47,47,47
Precinct,519,42,42,42
Precinct,520,40,40,40
Precinct,521,86,86,86
Precinct,522,51,51,51
Precinct,523,60,60,60
Precinct,524,29,29,29
Precinct,525,86,86,86
Precinct,526,103,103,103
Precinct,527,25,25,25
Precinct,528,24,24,24
Precinct,529,48,48,48
Precinct,530,102,102,102
Precinct,531,54,54,54
Precinct,532,61,61,61
Precinct,533,52,52,52
Precinct,534,81,81,81
Precinct,535,58,58,58
Precinct,536,37,37,37
Precinct,537,80,80,80
Precinct,538,77,77,77
Precinct,539,101,101,101
Precinct,540,51,51,51
Precinct,541,45,45,45
Precinct,542,66,66,66
Precinct,543,37,37,37
Precinct,544,64,64,64
Precinct,545,78,78,78
Precinct,546,61,61,61
Precinct,547,62,62,62
Precinct,548,88,88,88
Precinct,549,75,75,75
Precinct,550,86,86,86
Precinct,551,21,21,21
Precinct,552,72,72,72
Precinct,553,60,60,60
Precinct,554,82,82,82
Precinct,555,72,72,72
Precinct,556,61,61,61
Precinct,557,52,52,52
Precinct,558,74,74,74
Precinct,559,80,80,80
Precinct,560,74,74,74
Precinct,561,36,36,36
Precinct,562,111,111,111
Precinct,563,51,51,51
Precinct,564,50,50,50
Precinct,565,74,74,74
Precinct,566,103,103,103
Precinct,567,11,11,11
Precinct,568,40,40,40
Precinct,569,84,84,84
Precinct,570,58,58,58
Precinct,571,33,33,33
Precinct,572,34,34,34
Precinct,573,39,39,39
Precinct,574,86,86,86
Precinct,575,80,80,80
Precinct,576,66,66,66
Precinct,577,46,46,46
Precinct,578,62,62,62
Precinct,579,85,85,85
Precinct,580,41,41,41
Precinct,581,29,29,29
Precinct,582,43,43,43
Precinct,583,48,48,48
Precinct,584,45,45,45
Precinct,585,66,66,66
Precinct,586,73,73,73
Precinct,587,62,62,62
Precinct,588,83,83,83
Precinct,589,34,34,34
Precinct,590,57,57,57
Precinct,591,6,6,6
Precinct,592,45,45,45
Precinct,593,86,86,86
Precinct,594,71,71,71
Precinct,595,72,72,72
Precinct,596,30,30,30
Precinct,597,33,33,33
Precinct,598,20,20,20
Precinct,601,62,62,62
Precinct,602,52,52,52
Precinct,603,87,87,87
Precinct,605,31,31,31
Precinct,608,36,36,36
Precinct,610,27,27,27
