"County","County Name","Office Name","Office District","Candidate Name","Party","Winner","Congressional District 1","Congressional District 2","Congressional District 3","Congressional District 4","Congressional District 5","Congressional District 6","Congressional District 7","Congressional District 8" 
"08","Cecil County","Board of Education","004","Brian Hampton","NON","Y","3801","0","0","0","0","0","0","0" 
"08","Cecil County","Board of Education","004","Stavros Plagianakos","NON","","1836","0","0","0","0","0","0","0" 
"08","Cecil County","Board of Education","004","Sheila A. Tome","NON","Y","4894","0","0","0","0","0","0","0" 
"08","Cecil County","Board of Education","004","Loucretia A. Wood","NON","","843","0","0","0","0","0","0","0" 
"11","Frederick County","Board of Education","","Maria A. Carrasco","NON","","0","0","0","0","0","8995","0","0" 
"11","Frederick County","Board of Education","","Chloe Celeste","NON","","0","0","0","0","0","5815","0","0" 
"11","Frederick County","Board of Education","","Casey Day","NON","Y","0","0","0","0","0","19282","0","0" 
"11","Frederick County","Board of Education","","Jess Douglass","NON","","0","0","0","0","0","8936","0","0" 
"11","Frederick County","Board of Education","","Heather Fletcher","NON","Y","0","0","0","0","0","15615","0","0" 
"11","Frederick County","Board of Education","","Nathan W. Foltz","NON","","0","0","0","0","0","3666","0","0" 
"11","Frederick County","Board of Education","","Rae Gallagher","NON","Y","0","0","0","0","0","18519","0","0" 
"11","Frederick County","Board of Education","","David A. Migdal","NON","","0","0","0","0","0","3588","0","0" 
"11","Frederick County","Board of Education","","Shelley L. Potter","NON","Y","0","0","0","0","0","14565","0","0" 
"11","Frederick County","Board of Education","","Dean Rose","NON","Y","0","0","0","0","0","17780","0","0" 
"11","Frederick County","Board of Education","","Samuel Rosenbloom","NON","","0","0","0","0","0","4320","0","0" 
"11","Frederick County","Board of Education","","Geoffrey Seidel","NON","Y","0","0","0","0","0","12233","0","0" 
"11","Frederick County","Board of Education","","Tyler Walker","NON","Y","0","0","0","0","0","12697","0","0" 
"11","Frederick County","Board of Education","","Chad King Wilson, Sr.","NON","Y","0","0","0","0","0","17766","0","0" 
"22","Washington County","Board of Education","","Pieter Bickford","NON","Y","0","0","0","0","0","10883","0","0" 
"22","Washington County","Board of Education","","Alina Chester","NON","Y","0","0","0","0","0","4952","0","0" 
"22","Washington County","Board of Education","","Darrell E. Evans","NON","Y","0","0","0","0","0","5676","0","0" 
"22","Washington County","Board of Education","","Mike Guessford","NON","Y","0","0","0","0","0","8511","0","0" 
"22","Washington County","Board of Education","","Ethan Loewen","NON","","0","0","0","0","0","3709","0","0" 
"22","Washington County","Board of Education","","Robin A. Merchant-Spickler","NON","Y","0","0","0","0","0","9052","0","0" 
"22","Washington County","Board of Education","","Linda Murray","NON","Y","0","0","0","0","0","9815","0","0" 
"03","Baltimore City","Board of Ed at Large","","Jamar Day","NON","Y","0","825","0","0","0","0","12922","0" 
"03","Baltimore City","Board of Ed at Large","","Ashley Ash Esposito","NON","Y","0","3005","0","0","0","0","27409","0" 
"03","Baltimore City","Board of Ed at Large","","Domonique A. Flowers","NON","Y","0","1415","0","0","0","0","20269","0" 
"03","Baltimore City","Board of Ed at Large","","Kwame Jamal Kenyatta-Bey","NON","Y","0","908","0","0","0","0","19719","0" 
"03","Baltimore City","Board of Ed at Large","","Kevin W. Parson","NON","","0","831","0","0","0","0","12119","0" 
"03","Baltimore City","Board of Ed at Large","","Brian Michael Robertson","NON","","0","689","0","0","0","0","8056","0" 
"03","Baltimore City","Board of Ed at Large","","Glenn J. Schatz","NON","","0","1337","0","0","0","0","9112","0" 
"16","Montgomery County","Board of Ed at Large","","Wylea Chase","NON","","0","0","0","711","0","4358","0","20134" 
"16","Montgomery County","Board of Ed at Large","","Brenda M. Diaz","NON","Y","0","0","0","1087","0","8497","0","29510" 
"16","Montgomery County","Board of Ed at Large","","Omar Lazo","NON","Y","0","0","0","903","0","7482","0","37863" 
"16","Montgomery County","Board of Ed at Large","","Tiffany E. Wicks","NON","","0","0","0","909","0","5012","0","16080" 
"18","Queen Anne's County","Board of Ed at Large","","Shelly Frank","NON","","1688","0","0","0","0","0","0","0" 
"18","Queen Anne's County","Board of Ed at Large","","Linda Kohler","NON","Y","2205","0","0","0","0","0","0","0" 
"18","Queen Anne's County","Board of Ed at Large","","John C. Lasken","NON","","698","0","0","0","0","0","0","0" 
"18","Queen Anne's County","Board of Ed at Large","","Mark Wade, Jr.","NON","Y","1855","0","0","0","0","0","0","0" 
"16","Montgomery County","Board of Education","003","Sharon Creed","NON","","0","0","0","790","0","4003","0","11753" 
"16","Montgomery County","Board of Education","003","Brett DiResta","NON","","0","0","0","235","0","2377","0","11896" 
"16","Montgomery County","Board of Education","003","Andrew Frykman","NON","","0","0","0","399","0","3120","0","11091" 
"16","Montgomery County","Board of Education","003","Sally A. McCarthy","NON","Y","0","0","0","1323","0","10219","0","49758" 
"16","Montgomery County","Board of Education","003","Cassandra ""Cassi"" Sung","NON","Y","0","0","0","770","0","5018","0","16787" 
"17","Prince George's County","Board of Education","002","Alvaro E. Ceron-Ruiz","NON","","0","0","0","1774","0","0","0","0" 
"17","Prince George's County","Board of Education","002","Terence J. Clegg","NON","Y","0","0","0","3240","0","0","0","0" 
"17","Prince George's County","Board of Education","002","Caroline Decaire-Goldin","NON","Y","0","0","0","1963","0","0","0","0" 
"17","Prince George's County","Board of Education","009","Erica K. Bennett","NON","Y","0","0","0","1597","4461","0","0","0" 
