provider,path,sha256,bytes,artifact_type
western_primaries,data/raw/western_primaries/az/2024/az-2024-primary-official-canvass.pdf,cd1965a958a81709e37b4d47aca3662ba1cab58066eec5bee08eaefbd763b172,424021,official_statewide_canvass_pdf
western_primaries,data/raw/western_primaries/az/2026/az-2026-primary-official-canvass.pdf,85fe65b18970c71466282cabe145dab03ad8ccacc703417203a7ea8a3946c743,19111993,official_statewide_canvass_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-churchill-final-summary.pdf,5a526730e942c765a9d8cff5084297fb51380c2100f63497031ed600e214f9aa,198600,official_county_final_summary_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-churchill-sov.pdf,79db8b7d8b6d4c953aacc8fae69049ccd567819015e284596ce03cd117c7c425,969000,official_county_canvass_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-eureka-final-summary.pdf,0c3ead99167b986b67750ced6c5b7f12f774786af27bd5b60ba8b9dd60e8a267,190643,official_county_final_summary_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-humboldt-final-summary.pdf,de483723abd26254489ee37468d4f29f854450247d7e7c7550793faceb66266f,205155,official_county_final_summary_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-lyon-final-results.pdf,48a496419d8b0a967b04402d004fc2a12ccab812fa46e2fcac6f3f67dcbdbdb8,9238300,official_county_final_summary_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-nye-final-results.pdf,dc694e4e47cbe5dd6b5127a2aa66cdf6fb6b1d065cd4457ae1099a27ac138970,591996,official_county_final_summary_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-primary-contests-candidates.pdf,26ee5358987e70bbe5c9f1ad445204f83578cf139aeba1c569590e1fe9236473,294965,official_candidate_roster_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-primary-contests-not-on-ballot.pdf,070d17c167b498691e86ab311bae0921c2a9c877281a05b1c9b0dfa365a46f10,29941,official_candidate_roster_pdf
western_primaries,data/raw/western_primaries/nv/2024/nv-2024-white-pine-canvass.pdf,cf7a9beda69636b0e2b67666b6413d95410e16b3ec1ebaef989156c70402f983,3204967,official_county_canvass_pdf
western_primaries,data/raw/western_primaries/nv/2026/nv-2026-churchill-final-summary.pdf,56dfb95cc73e294e4e9c2696d39d467a8212203427fea34ad3e442eecaa1b625,236785,official_county_final_summary_pdf
western_primaries,data/raw/western_primaries/nv/2026/nv-2026-churchill-sov.pdf,21b97fd8b06e220ac54952f3967cca2159b2571baf064e05e6eb511e06cdefcf,578641,official_county_canvass_pdf
western_primaries,data/raw/western_primaries/nv/2026/nv-2026-clark-final-cvr.zip,1868c11f847043647315216b494bb628c01f280004abf661e3b48fb5cf6e17eb,14666668,official_cast_vote_record_zip
