cycle,source_url,status,error,checked_at,sha256
2016,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,downloaded,,2026-09-22T17:11:50.205252+00:00,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6
2018,https://www.fec.gov/resources/cms-content/documents/federalelections2018.xlsx,downloaded,,2026-09-22T17:11:50.718568+00:00,f2c42311862b4927df2ca5908c5f9c8f8da6221a8db88fd00434a22ec1e0e303
2020,https://www.fec.gov/resources/cms-content/documents/federalelections2020.xlsx,downloaded,,2026-09-22T17:11:51.350137+00:00,5073b6d2c76c86c941508dfb1a11cc497e8529b0068c5132aceb0f385c19352e
2022,https://www.fec.gov/resources/cms-content/documents/federalelections2022.xlsx,downloaded,,2026-09-22T17:11:51.916407+00:00,cdb258ea23803e50d752bcea19faa39b3c201eb960094bcb556c3a38c2350897
2024,https://www.fec.gov/resources/cms-content/documents/federalelections2024.xlsx,unavailable,HTTPError: HTTP Error 403: Forbidden,2026-09-22T17:11:52.306466+00:00,
2026,https://www.fec.gov/resources/cms-content/documents/federalelections2026.xlsx,unavailable,HTTPError: HTTP Error 403: Forbidden,2026-09-22T17:11:52.383127+00:00,
