source_id,state_code,election_date,source_url,publication_url,sha256,candidate_rows,contests,coverage
hi-2024-primary,HI,2024-08-10,https://files.hawaii.gov/elections/files/results/2024/Primary/summary.txt,https://elections.hawaii.gov/election-result/primary-election-5/,e5a0f37a2f5a3c6d29b48d76375f901b8926a8c907ad3d3d1ffb4c893a943915,20,12,reported_primary_returns_only; uncontested nominations separate
hi-2026-primary,HI,2026-08-08,https://elections.hawaii.gov/wp-content/results/2026%20Primary/summary.txt,https://elections.hawaii.gov/election-result/primary-election-6/,68098ad3b57dfddfd9e07f724045d50f3ac30eaa27e238724ece2ee8661fc277,15,7,reported_primary_returns_only; uncontested nominations separate
nd-2024-primary,ND,2024-06-11,https://results.sos.nd.gov/ResultsExport.aspx?eid=OhimOTJtayc.,https://www.sos.nd.gov/elections/election-results,b582189470099f087f5b4b31d91d28b6ac59f75977f5b73f5b101bd3664e26e5,13,4,reported_primary_returns_only; uncontested nominations separate
mt-2024-primary,MT,2024-06-04,https://sosmt.gov/docs/32/results/64925/2024-primary-precinct-by-precinct,https://sosmt.gov/elections/results/,5ee70c219db72045ef513d66642888aa2f74fe9b9b13e3185c495d2643baaeec,25,8,reported_primary_returns_only; uncontested nominations separate
mt-2026-primary,MT,2026-06-02,https://sosmt.gov/docs/31/post-election/76697/2026-primary-election-precinct-by-precinct-report,https://sosmt.gov/elections/results/,cf5dadf7ba3b510c6f84cd6e718d751403fbdde40a6ca5e1dcc1192be7f8f1c1,24,9,reported_primary_returns_only; uncontested nominations separate
nd-2026-primary,ND,2026-06-09,https://resultsnd.sos.nd.gov/results/north-dakota/346/FullDataFile.json,https://www.sos.nd.gov/elections/election-results,f543e329f01b5b5ea394e1da7b5d50c5907f301f6e868aee17e04516853ac652,5,2,reported_primary_returns_only; uncontested nominations separate
ar-2024-primary,AR,2024-03-05,https://results.tally-enr.com/results/arkansas/1845/FullDataFile.json,https://www.sos.arkansas.gov/elections/research/election-results,a6c5ffc4c82fa7b7e0497cb12045235eb1a9adb300af64ed582f545ffa00779c,2,1,reported_primary_returns_only; uncontested nominations separate
ar-2026-primary,AR,2026-03-03,https://results.tally-enr.com/results/arkansas/7f77a178-af02-40ec-92db-c5cc50882c68/FullDataFile.json,https://www.sos.arkansas.gov/elections/research/election-results,469b1584aea61adb92cfe7f4a78f45cb11d53c91405b320e37fffe2afd9c5369,11,5,reported_primary_returns_only; uncontested nominations separate
wa-2024-primary,WA,2024-08-06,https://results.vote.wa.gov/results/20240806/export/20240806_Congressional.csv,https://results.vote.wa.gov/results/20240806/export.html,244c1ebb89a9211e254e1115aacfe814f502b96a97552dff7791942c2eff8135,84,11,reported_primary_returns_only; uncontested nominations separate
wa-2026-primary,WA,2026-08-04,https://www.sos.wa.gov/sites/default/files/2026-08/Official%20Canvass%20of%20Returns%20of%20the%20Primary%202026.pdf,https://www.sos.wa.gov/elections/data-research/election-data-and-maps/election-results-and-voters-pamphlets/2026-primary-election,2a4b9075a399a68000dae9536829d9e0c0f538d1a54916afea3cb26557b53eb0,79,10,reported_primary_returns_only; uncontested nominations separate
