race_id,election_year,election_date,state_code,office,jurisdiction,candidate_name,role,entity_kind,policy_evidence_required,reviewed_statements,reviewed_policy_positions,reviewed_campaign_frames,screened_sources,timing_qualified_sources,sources_needing_recovery_or_scope_review,coverage_status,full_platform_completeness,source_urls
us-president-dem-primary-2020-ak,2020,2020-04-10,AK,President,Alaska,Undeclared,opponent,non_person_ballot_option,False,0,0,0,0,0,1,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
us-president-dem-primary-2020-al,2020,2020-03-03,AL,President,Alabama,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-ct,2020,2020-08-11,CT,President,Connecticut,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,1,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
us-president-dem-primary-2020-ks,2020,2020-05-02,KS,President,Kansas,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,1,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
us-president-dem-primary-2020-ma,2020,2020-03-03,MA,President,Massachusetts,No Preference,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-md,2020,2020-06-02,MD,President,Maryland,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-mo,2020,2020-03-10,MO,President,Missouri,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-mt,2020,2020-06-02,MT,President,Montana,No Preference,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-nc,2020,2020-03-03,NC,President,North Carolina,No Preference,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-nm,2020,2020-06-02,NM,President,New Mexico,Uncommitted Delegate,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-ri,2020,2020-06-02,RI,President,Rhode Island,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-tn,2020,2020-03-03,TN,President,Tennessee,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,0,not_an_individual_platform_gap,not_established,
us-president-dem-primary-2020-wi,2020,2020-04-07,WI,President,Wisconsin,Uninstructed Delegate,opponent,non_person_ballot_option,False,0,0,0,0,0,1,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
