document_id,source_url,final_url,retrieved_at,publication_date,content_type,encoding,sha256,bytes,raw_path
co01-degette-interview-2026,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-09-23T00:20:26.306130+00:00,2026-05-18,text/html,utf-8,3b3b807ff5b2c053e58c0df2e86b87c5036ec4dd2d5a39d41e5d98797f4b5237,489976,data/raw/policy_evidence/co01-degette-interview-2026/e9efac96c62b91d1698dd280ecb11c70028a3a56819f4c953bfbefea5f15241a.html
co01-james-interview-2026,https://www.cpr.org/2026/05/18/cd-1-race-wanda-james-democrat-interview/,https://www.cpr.org/2026/05/18/cd-1-race-wanda-james-democrat-interview/,2026-09-23T00:20:28.057610+00:00,2026-05-18,text/html,utf-8,337f8bb0c7fa330e3fd25d8a3cf483041a651741db8fd7209ca6af6aa4f566ec,518825,data/raw/policy_evidence/co01-james-interview-2026/1273854797b6af9a515b70b638ee7e31acd4941b60cc8b670a992aada979fcf3.html
co01-kiros-interview-2026,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-09-23T00:20:28.230371+00:00,2026-05-18,text/html,utf-8,b29c9287957583f0a4fceb51f624b6ee36ff3fc20ffac139b1790aa8a7582127,496831,data/raw/policy_evidence/co01-kiros-interview-2026/8b007dd95d0e3ae4297e6b22cf96cf028f4211aa0b8940f78f546d7436e84179.html
