source_id,state_code,election_date,source_url,raw_filename,sha256,candidate_rows,contests,status,notes
wv-2024-primary-clarity,WV,2024-05-14,https://results.enr.clarityelections.com/WV/120641/web.317647/#/summary,,,0,0,empty_clarity_payload_unresolved,No empty response was interpreted as data.
wv-2026-primary-clarity,WV,2026-05-12,https://results.enr.clarityelections.com/WV/126209/web.345435/#/summary,,,0,0,empty_clarity_payload_unresolved,No empty response was interpreted as data.
wv-2026-primary-report,WV,2026-05-12,https://sos.wv.gov/article/2026-primary-election-report-secretary-state-kris-warner-reports-252008-ballots-were-cast,wv-2026-primary-report-page.html,c5a9db2860eee601b68af381b62b67517ac03993f360a1a5b3633a999d2f304e,0,0,certification_context_only,Report confirms certification but does not provide candidate totals.
