year,discovery_only,registry_races,strict_primary_races,gap_records
2015,true,0,0,249
2016,false,38,38,252
2017,false,8,2,264
2018,false,52,39,343
2019,false,22,6,290
2020,false,125,103,411
2021,false,51,31,351
2022,false,66,54,379
2023,false,38,17,347
2024,false,64,49,373
2025,false,27,15,305
2026,false,87,66,496
