comparison_id,cycle,exclusion_reasons
platform-health-2020,2020,dsa_source_date_unknown
platform-immigration-2020,2020,
platform-policing-2024,2024,dsa_source_date_unknown
platform-capitalism-2024,2024,dsa_source_date_unknown
