candidate_name,votes,write_in,source_locator
Effie Guadalupe Phillips-Staley,228,false,dutchess-2026-primary-detailed.pdf:page-5
Cait Conley,747,false,dutchess-2026-primary-detailed.pdf:page-5
Beth Davidson,363,false,dutchess-2026-primary-detailed.pdf:page-5
John Cappello,33,false,dutchess-2026-primary-detailed.pdf:page-5
Michael Sacks,38,false,dutchess-2026-primary-detailed.pdf:page-5
Write-in,0,true,dutchess-2026-primary-detailed.pdf:page-5
