source_id,state_code,election_date,source_url,raw_filename,sha256,candidate_rows,contests,coverage,notes
ma-2024-primary,MA,2024-09-03,https://electionstats.state.ma.us/elections/search/date:2024-09-03,massachusetts/ma-2024-primary.html,47f5f8369eda1088eefb1c1f8ed1c2ee44c980c97b09dc7d2a2a7ebd80195ddb,30,13,official_statewide_certified_results,Named write-ins have blank party; primary_party is the ballot category.
ma-2026-primary,MA,2026-09-01,https://electionstats.state.ma.us/elections/search/date:2026-09-01,massachusetts/ma-2026-primary.html,74973576fccf9f58c368225f7f166b28270d20f7b9d50683f788026140225da2,46,17,official_statewide_certified_results,Named write-ins have blank party; primary_party is the ballot category.
ct-2024-primary,CT,2024-08-13,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,connecticut/ct-2024-all.csv.gz,1fed4ff60ab231a0adfbc05e13f02535fccb0b4374ebb23d1d2fbaf5b30ad133,4,2,complete_year_export; City/Town hierarchy only,Named write-ins have blank party; primary_party is the ballot category.
ct-2026-primary,CT,2026-08-11,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2026%2C%22to%22%3A2026%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,connecticut/ct-2026-all.csv.gz,e68fd6736088897c6e100041e8156e3434452e089c30dabf9763248b921e3a7b,0,0,complete_year_export; City/Town hierarchy only,Named write-ins have blank party; primary_party is the ballot category.
md-2024-primary-democratic,MD,2024-05-14,https://elections.maryland.gov/elections/archive/2024/election_data/PP24_CongressionalBreakDownDemocratic.csv,maryland/md-2024-Democratic.csv,6000bfe1ee1f11b34dc64fbe136745cdad88a04132a8a2bed2aab5a3113213d3,68,9,official_statewide_certified_results,Named write-ins have blank party; primary_party is the ballot category.
md-2024-primary-republican,MD,2024-05-14,https://elections.maryland.gov/elections/archive/2024/election_data/PP24_CongressionalBreakDownRepublican.csv,maryland/md-2024-Republican.csv,20733c10fa97d970138299ee1d101ea3202b8b9a5618677872dcfb77f490942d,36,9,official_statewide_certified_results,Named write-ins have blank party; primary_party is the ballot category.
md-2026-primary-democratic,MD,2026-06-23,https://elections.maryland.gov/elections/2026/election_data/GP26_CongressionalBreakDownDemocratic.csv,maryland/md-2026-Democratic.csv,a4479f9e0179663537573f6f84aaa1ecbd8ef2d14878864cdc4797f7a5acbe36,56,8,official_statewide_certified_results,Named write-ins have blank party; primary_party is the ballot category.
md-2026-primary-republican,MD,2026-06-23,https://elections.maryland.gov/elections/2026/election_data/GP26_CongressionalBreakDownRepublican.csv,maryland/md-2026-Republican.csv,d9b287f111ff27e1282e72d7681940cdd613d970e3a7d0af7d23b725067fe672,20,8,official_statewide_certified_results,Named write-ins have blank party; primary_party is the ballot category.
