attempt_id,attempted_on,state_code,cycle,source_url,method,outcome,raw_evidence,notes
ma-certified-pages,2026-09-22,MA,2024-2026,https://electionstats.state.ma.us/elections/search/,direct_certified_html,success,massachusetts/,
ct-civera,2026-09-22,CT,2024-2026,https://ct.elstats.civera.com/api/download_search.csv,public_csv_export_gzip,success,connecticut/,Polling Place rows excluded.
md-statewide-csv,2026-09-22,MD,2024-2026,https://elections.maryland.gov/elections/,state_congressional_breakdown_csv,success,maryland/,
