TOTAL VOTER TURNOUT: 12,240,190
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2026-08-04	4	0	0	1	ALCONA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			1054			
2026-08-04	4	0	0	1	ALCONA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		284			
2026-08-04	4	0	0	1	ALCONA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			309			
2026-08-04	4	0	0	1	ALCONA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1011			
2026-08-04	4	0	0	1	ALCONA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	1	ALCONA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			40			
2026-08-04	4	0	0	1	ALCONA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			936			
2026-08-04	4	0	0	2	ALGER	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			1079			
2026-08-04	4	0	0	2	ALGER	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		153			
2026-08-04	4	0	0	2	ALGER	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			173			
2026-08-04	4	0	0	2	ALGER	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			642			
