,,Anthony Frascone,Mondaire L. Jones,Scattering,Blank,Void,Total Votes
,,Working Families,Working Families,,,,
Congressional District,17,287,197,6,6,2,498
County,Dutchess,4,1,0,0,0,5
County,Putnam,2,21,3,0,0,26
County,Rockland,275,100,3,6,2,386
County,Westchester,6,75,0,0,0,81
