,,George S. Latimer,Jamaal A. Bowman,Scattering,Blank,Void,Total Votes
,,Democratic,Democratic,,,,
Congressional District,16,45909,32440,38,418,0,78805
County,Bronx,1355,6839,9,85,0,8288
County,Westchester,44554,25601,29,333,0,70517
