,,John W. Mannion,Sarah Klee Hood,Scattering,Blank,Void,Total Votes
,,Democratic,Democratic,,,,
Congressional District,22,16624,10373,47,90,61,27195
County,Cayuga,1093,468,1,6,1,1569
County,Cortland,529,558,1,0,0,1088
County,Madison,794,1236,3,0,2,2035
County,Oneida,875,2343,7,7,6,3238
County,Onondaga,13333,5768,35,77,52,19265
