source_id,state_code,election_date,source_url,raw_filename,sha256,candidate_rows,contests,coverage,status
in-2024-primary,IN,2024-05-07,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV,indiana/in-2024-primary.csv,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,66,20,all_9_House_districts_and_US_Senate,complete_official_statewide_export
mn-senate-certified-summaries,MN,2024-08-13 | 2026-08-11,https://www.sos.mn.gov/elections-voting/election-results/,minnesota/mn-senate-certified-summary.csv,81617b14ea252cd4064a133d5a1078bf7fef1c4b0c2dae051a84c8dc081c393a,28,4,scheduled_US_Senate_primaries_only,official_summary_recovered
mn-house-blocker,MN,2024-08-13 | 2026-08-11,https://electionresults.sos.mn.gov/,,,0,0,House_results_not_emitted,radware_captcha_or_uncertified_only
oh-2026-official-index,OH,2026-05-05,https://publicfiles.ohiosos.gov/election-results/files-index.json,ohio/ohio-files-index.json,738eb258e436459b7bb3e5ad6091e9753f60d0a9b3adeb68f7d0fc76be5da056,0,0,certified_routes_verified_results_blocked,blocked
mo-2026-official-index,MO,2026-08-04,https://www.sos.mo.gov/elections/s_default.asp?id=results,missouri/mo-results-index.html,17d65994faa2eb5b97c72d93eace606d80cafbcd0860d7187749f1b925b57d64,0,0,live_ENR_unofficial_certified_archive_missing,blocked
