source_pdf,page,total_page,chamber,district,primary_party,candidate_name,candidate_source_id,write_in,votes
2024-official-primary-results-us-senate.pdf,1,1,Senate,S,Democratic,ANDY KIM,nj-2024-senate-s-democratic-1,False,392602
2024-official-primary-results-us-senate.pdf,2,2,Senate,S,Republican,CURTIS BASHAW,nj-2024-senate-s-republican-1,False,144869
2024-official-primary-results-us-senate.pdf,3,3,Senate,S,Republican,CHRISTINE SERRANO GLASSNER,nj-2024-senate-s-republican-2,False,121986
2024-official-primary-results-us-senate.pdf,4,4,Senate,S,Democratic,PATRICIA CAMPOS-MEDINA,nj-2024-senate-s-democratic-2,False,84286
2024-official-primary-results-us-senate.pdf,5,5,Senate,S,Democratic,LAWRENCE HAMM,nj-2024-senate-s-democratic-3,False,47796
2024-official-primary-results-us-senate.pdf,6,6,Senate,S,Republican,JUSTIN MURPHY,nj-2024-senate-s-republican-3,False,35954
2024-official-primary-results-us-senate.pdf,7,7,Senate,S,Republican,ALBERT HARSHAW,nj-2024-senate-s-republican-4,False,15064
2024-official-primary-results-us-house.pdf,1,1,House,01,Democratic,DONALD NORCROSS,nj-2024-house-01-democratic-1,False,61308
2024-official-primary-results-us-house.pdf,1,1,House,01,Republican,"THEODORE ""TEDDY"" LIDDELL",nj-2024-house-01-republican-1,False,10843
2024-official-primary-results-us-house.pdf,1,1,House,01,Republican,CLAIRE H. GUSTAFSON,nj-2024-house-01-republican-2,False,8687
2024-official-primary-results-us-house.pdf,1,1,House,01,Republican,DAMON M. GALDO,nj-2024-house-01-republican-3,False,3410
2024-official-primary-results-us-house.pdf,2,2,House,02,Republican,JEFF VAN DREW,nj-2024-house-02-republican-1,False,41749
2024-official-primary-results-us-house.pdf,2,2,House,02,Democratic,JOSEPH F. SALERNO,nj-2024-house-02-democratic-1,False,14060
2024-official-primary-results-us-house.pdf,2,2,House,02,Democratic,TIM ALEXANDER,nj-2024-house-02-democratic-2,False,13621
2024-official-primary-results-us-house.pdf,3,3,House,02,Democratic,CAROLYN RUSH,nj-2024-house-02-democratic-3,False,7836
2024-official-primary-results-us-house.pdf,3,3,House,02,Democratic,RODNEY A. DEAN SR.,nj-2024-house-02-democratic-4,False,1235
2024-official-primary-results-us-house.pdf,4,4,House,03,Democratic,HERB CONAWAY,nj-2024-house-03-democratic-1,False,27528
2024-official-primary-results-us-house.pdf,4,4,House,03,Republican,RAJESH MOHAN,nj-2024-house-03-republican-1,False,13011
2024-official-primary-results-us-house.pdf,4,4,House,03,Democratic,CAROL MURPHY,nj-2024-house-03-democratic-2,False,14049
2024-official-primary-results-us-house.pdf,4,4,House,03,Republican,SHIRLEY MAIA-CUSICK,nj-2024-house-03-republican-2,False,10507
2024-official-primary-results-us-house.pdf,5,5,House,03,Democratic,JOE COHN,nj-2024-house-03-democratic-3,False,6517
2024-official-primary-results-us-house.pdf,5,5,House,03,Republican,MICHAEL FRANCIS FACCONE,nj-2024-house-03-republican-3,False,5812
2024-official-primary-results-us-house.pdf,5,5,House,03,Democratic,SARAH SCHOENGOOD,nj-2024-house-03-democratic-4,False,5524
2024-official-primary-results-us-house.pdf,5,5,House,03,Republican,GREGORY M. SOBOCINSKI,nj-2024-house-03-republican-4,False,4947
2024-official-primary-results-us-house.pdf,6,6,House,03,Democratic,BRIAN SCHKEEPER,nj-2024-house-03-democratic-5,False,1862
2024-official-primary-results-us-house.pdf,7,7,House,04,Republican,CHRISTOPHER H. SMITH,nj-2024-house-04-republican-1,False,36897
2024-official-primary-results-us-house.pdf,7,7,House,04,Democratic,MATTHEW JENKINS,nj-2024-house-04-democratic-1,False,25389
2024-official-primary-results-us-house.pdf,7,7,House,04,Republican,DAVID SCHMIDT,nj-2024-house-04-republican-2,False,6538
2024-official-primary-results-us-house.pdf,8,8,House,05,Democratic,JOSH GOTTHEIMER,nj-2024-house-05-democratic-1,False,42819
2024-official-primary-results-us-house.pdf,8,8,House,05,Republican,MARY JO GUINCHARD,nj-2024-house-05-republican-1,False,21321
2024-official-primary-results-us-house.pdf,8,8,House,05,Republican,GEORGE J. SONG,nj-2024-house-05-republican-2,False,9238
2024-official-primary-results-us-house.pdf,9,9,House,06,Democratic,FRANK PALLONE JR.,nj-2024-house-06-democratic-1,False,36649
2024-official-primary-results-us-house.pdf,9,9,House,06,Republican,SCOTT FEGLER,nj-2024-house-06-republican-1,False,15215
2024-official-primary-results-us-house.pdf,9,9,House,06,Democratic,JOHN HSU,nj-2024-house-06-democratic-2,False,6992
2024-official-primary-results-us-house.pdf,9,9,House,06,Republican,GREGG MELE,nj-2024-house-06-republican-2,False,3440
2024-official-primary-results-us-house.pdf,10,10,House,07,Republican,THOMAS H. KEAN JR.,nj-2024-house-07-republican-1,False,37623
2024-official-primary-results-us-house.pdf,10,10,House,07,Democratic,SUE ALTMAN,nj-2024-house-07-democratic-1,False,38030
2024-official-primary-results-us-house.pdf,10,10,House,07,Republican,ROGER BACON,nj-2024-house-07-republican-2,False,10460
2024-official-primary-results-us-house.pdf,12,12,House,08,Democratic,ROB MENENDEZ,nj-2024-house-08-democratic-1,False,22465
2024-official-primary-results-us-house.pdf,12,12,House,08,Republican,ANTHONY VALDES,nj-2024-house-08-republican-1,False,4905
2024-official-primary-results-us-house.pdf,12,12,House,08,Democratic,RAVINDER S. BHALLA,nj-2024-house-08-democratic-2,False,16218
2024-official-primary-results-us-house.pdf,12,12,House,08,Democratic,KYLE FORT JASEY,nj-2024-house-08-democratic-3,False,4528
2024-official-primary-results-us-house.pdf,13,13,House,09,Democratic,BILL PASCRELL JR.,nj-2024-house-09-democratic-1,False,26514
2024-official-primary-results-us-house.pdf,13,13,House,09,Republican,BILLY PREMPEH,nj-2024-house-09-republican-1,False,11504
2024-official-primary-results-us-house.pdf,13,13,House,09,Democratic,MOHAMED T. KHAIRULLAH,nj-2024-house-09-democratic-2,False,8328
2024-official-primary-results-us-house.pdf,13,13,House,09,Republican,HECTOR L. CASTILLO,nj-2024-house-09-republican-2,False,4352
2024-official-primary-results-us-house.pdf,14,14,House,10,Democratic,DONALD M. PAYNE JR.,nj-2024-house-10-democratic-1,False,30180
2024-official-primary-results-us-house.pdf,14,14,House,10,Republican,CARMEN BUCCO,nj-2024-house-10-republican-1,False,5264
