candidate_name,votes,write_in,source_locator
Janelle K. Sarauw,5167,false,territorial-summary-page-1-delegate-row-1
Delia Smith,3202,false,territorial-summary-page-1-delegate-row-2
Teri Helenese,848,false,territorial-summary-page-1-delegate-row-3
Emmett Hansen,522,false,territorial-summary-page-1-delegate-row-4
Write-In Totals,24,true,territorial-summary-page-1-delegate-row-5
