contest_id,state_code,cycle,election_date,stage,chamber,district,term,primary_party,candidate_count,unopposed,actual_zero_rows,has_write_in,result_status,certification_status,source_id
tn-2024-08-01-house-06-regular-republican,TN,2024,2024-08-01,primary,House,06,regular,Republican,1,True,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-house-07-regular-democratic,TN,2024,2024-08-01,primary,House,07,regular,Democratic,1,True,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-house-07-regular-republican,TN,2024,2024-08-01,primary,House,07,regular,Republican,1,True,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-house-08-regular-democratic,TN,2024,2024-08-01,primary,House,08,regular,Democratic,5,False,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-house-08-regular-republican,TN,2024,2024-08-01,primary,House,08,regular,Republican,1,True,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-house-09-regular-democratic,TN,2024,2024-08-01,primary,House,09,regular,Democratic,4,False,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-house-09-regular-republican,TN,2024,2024-08-01,primary,House,09,regular,Republican,1,True,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-senate-s-regular-democratic,TN,2024,2024-08-01,primary,Senate,S,regular,Democratic,4,False,0,False,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2024-08-01-senate-s-regular-republican,TN,2024,2024-08-01,primary,Senate,S,regular,Republican,3,False,0,True,actual_numeric,official,tn-2024-statewide-primary-precinct-workbook
tn-2026-08-06-house-01-regular-democratic,TN,2026,2026-08-06,primary,House,01,regular,Democratic,3,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-01-regular-republican,TN,2026,2026-08-06,primary,House,01,regular,Republican,1,True,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-02-regular-democratic,TN,2026,2026-08-06,primary,House,02,regular,Democratic,1,True,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-02-regular-republican,TN,2026,2026-08-06,primary,House,02,regular,Republican,1,True,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-03-regular-democratic,TN,2026,2026-08-06,primary,House,03,regular,Democratic,2,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-03-regular-republican,TN,2026,2026-08-06,primary,House,03,regular,Republican,2,False,0,True,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-04-regular-democratic,TN,2026,2026-08-06,primary,House,04,regular,Democratic,5,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-04-regular-republican,TN,2026,2026-08-06,primary,House,04,regular,Republican,4,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-05-regular-democratic,TN,2026,2026-08-06,primary,House,05,regular,Democratic,5,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-05-regular-republican,TN,2026,2026-08-06,primary,House,05,regular,Republican,2,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-06-regular-democratic,TN,2026,2026-08-06,primary,House,06,regular,Democratic,5,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-06-regular-republican,TN,2026,2026-08-06,primary,House,06,regular,Republican,4,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-07-regular-democratic,TN,2026,2026-08-06,primary,House,07,regular,Democratic,5,False,0,True,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-07-regular-republican,TN,2026,2026-08-06,primary,House,07,regular,Republican,1,True,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-08-regular-democratic,TN,2026,2026-08-06,primary,House,08,regular,Democratic,4,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-08-regular-republican,TN,2026,2026-08-06,primary,House,08,regular,Republican,1,True,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-09-regular-democratic,TN,2026,2026-08-06,primary,House,09,regular,Democratic,4,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-house-09-regular-republican,TN,2026,2026-08-06,primary,House,09,regular,Republican,4,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-senate-s-regular-democratic,TN,2026,2026-08-06,primary,Senate,S,regular,Democratic,5,False,0,False,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
tn-2026-08-06-senate-s-regular-republican,TN,2026,2026-08-06,primary,Senate,S,regular,Republican,2,False,0,True,actual_numeric,official,tn-2026-statewide-primary-precinct-workbook
