source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,raw_filename,source_date,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
sc-2026-statewide-primary-runoff-enr-config,SC,2026-06-23,primary_runoff,official_enr_publication_metadata,South Carolina State Election Commission linked ENR,https://scvotes.gov/elections-statistics/election-results/,https://www.enr-scvotes.org/SC/126718/376464/json/config.json,sc/2026/sc-126718-config.json,2026-09-22,78292ed41040455b998725bdda012ab0b0bd438c27d902795578de956bd7603d,captured,verified_official,isPublished=true,metadata_only,0,0,publication status and language metadata,$.isPublished,The parser requires isPublished=true.
sc-2026-statewide-primary-runoff-enr-certification,SC,2026-06-23,primary_runoff,signed_state_canvass_pdf,South Carolina Board of State Canvassers,https://scvotes.gov/about-the-sec/public-notices/,https://scvotes.gov/elections-statistics/election-results/,sc/2026/sc-2026-runoff-signed-certification.pdf,2026-06-26,a6d05397ebe2375ec58a800e01146044ae342a78105f6e14905f3b455f7c09ba,captured,verified_official,signed_certification,certification_only,0,3,certification date and election identity,signed canvass pages,"Vote totals come from the linked ENR JSON, not OCR."
sc-2026-special-senate-primary-enr,SC,2026-08-11,special_primary,official_enr_summary_json,South Carolina State Election Commission linked ENR,https://scvotes.gov/elections-statistics/election-results/,https://www.enr-scvotes.org/SC/127017/378537/json/en/summary.json,sc/2026/sc-127017-en-summary.json,2026-09-22,931d9ca1cb19173bb6f0180cdeff0b55addbae0834ce6cd25b14cd140c5b4bf3,captured,verified_official,certified,final_official_totals,10,1,all federal contests published for this election event,JSON array indexes recorded per result row,Captured through the public browser application after its WAF challenge.
sc-2026-special-senate-primary-enr-config,SC,2026-08-11,special_primary,official_enr_publication_metadata,South Carolina State Election Commission linked ENR,https://scvotes.gov/elections-statistics/election-results/,https://www.enr-scvotes.org/SC/127017/378537/json/config.json,sc/2026/sc-127017-config.json,2026-09-22,78292ed41040455b998725bdda012ab0b0bd438c27d902795578de956bd7603d,captured,verified_official,isPublished=true,metadata_only,0,0,publication status and language metadata,$.isPublished,The parser requires isPublished=true.
sc-2026-special-senate-primary-enr-certification,SC,2026-08-11,special_primary,signed_state_canvass_pdf,South Carolina Board of State Canvassers,https://scvotes.gov/about-the-sec/public-notices/,https://scvotes.gov/elections-statistics/election-results/,sc/2026/sc-2026-special-senate-primary-signed-certification.pdf,2026-08-14,ba6aab89d0c2e1cafcb569c615406f54f148ce479a35732b30ac4f135d81b4f8,captured,verified_official,signed_certification,certification_only,0,1,certification date and election identity,signed canvass pages,"Vote totals come from the linked ENR JSON, not OCR."
sc-2026-special-senate-primary-runoff-enr,SC,2026-08-25,special_primary_runoff,official_enr_summary_json,South Carolina State Election Commission linked ENR,https://scvotes.gov/elections-statistics/election-results/,https://www.enr-scvotes.org/SC/127179/379277/json/en/summary.json,sc/2026/sc-127179-en-summary.json,2026-09-22,3eb91ac4f52a1956633cf8f97dfccbae149df201f8064bf268feec5995ef2f04,captured,verified_official,certified,final_official_totals,2,1,all federal contests published for this election event,JSON array indexes recorded per result row,Captured through the public browser application after its WAF challenge.
sc-2026-special-senate-primary-runoff-enr-config,SC,2026-08-25,special_primary_runoff,official_enr_publication_metadata,South Carolina State Election Commission linked ENR,https://scvotes.gov/elections-statistics/election-results/,https://www.enr-scvotes.org/SC/127179/379277/json/config.json,sc/2026/sc-127179-config.json,2026-09-22,78292ed41040455b998725bdda012ab0b0bd438c27d902795578de956bd7603d,captured,verified_official,isPublished=true,metadata_only,0,0,publication status and language metadata,$.isPublished,The parser requires isPublished=true.
sc-2026-special-senate-primary-runoff-enr-certification,SC,2026-08-25,special_primary_runoff,signed_state_canvass_pdf,South Carolina Board of State Canvassers,https://scvotes.gov/about-the-sec/public-notices/,https://scvotes.gov/elections-statistics/election-results/,sc/2026/sc-2026-special-senate-runoff-signed-certification.pdf,2026-08-28,726788efcee70e3a5aa7779ba22e6d3c8110dbd19c50b4c7296b7be83c907efb,captured,verified_official,signed_certification,certification_only,0,1,certification date and election identity,signed canvass pages,"Vote totals come from the linked ENR JSON, not OCR."
sc-2026-primary-results-verification-audit,SC,2026-06-09,primary,official_results_verification_audit_pdf,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-audits/,https://scvotes.gov/wp-content/uploads/2026/06/2.Contest-Results-Comparison.pdf,sc/2026/sc-2026-primary-contest-results-comparison.pdf,2026-06-26,2f7368b5948188e621be8cce6d495c603fbd7522fc20da0dbb7cd4aa25b5c3cf,captured,verified_official,post_election_audit,supporting_artifact,0,11,all contested June federal primary offices,contest comparison tables,Independent supporting check; ENR totals remain the result source.
tn-2024-statewide-primary-precinct-workbook,TN,2024-08-01,primary,official_statewide_precinct_workbook,"Tennessee Secretary of State, Division of Elections",https://sos.tn.gov/elections/results,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20240801AllbyPrecinct.xlsx,tn/2024/20240801AllbyPrecinct.xlsx,2026-09-22,3e3589f37aa7680894e711151905dcdbb121b16d32c37414f6e28ddd42090e65,captured,verified_official,official,final_precinct_totals,39,20,all Senate and House district-party primary units,workbook sheet and row ranges recorded per result,Named write-ins are retained with party blank. The 2026 workbook uses the revised May 2026 congressional map.
tn-2026-statewide-primary-precinct-workbook,TN,2026-08-06,primary,official_statewide_precinct_workbook,"Tennessee Secretary of State, Division of Elections",https://sos.tn.gov/elections/results,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20260806AllbyPrecinct.xlsx,tn/2026/20260806AllbyPrecinct.xlsx,2026-09-22,a80e94e456f49877ce817e568bb31dca3d854f15dfdd67401f27d8aebdb80ae0,captured,verified_official,official,final_precinct_totals,61,20,all Senate and House district-party primary units,workbook sheet and row ranges recorded per result,Named write-ins are retained with party blank. The 2026 workbook uses the revised May 2026 congressional map.
tn-2026-congressional-redistricting,TN,2026-08-06,primary,official_redistricting_notice,Tennessee Secretary of State,https://sos.tn.gov/elections/results,https://sos.tn.gov/announcements/2026-congressional-redistricting,tn/2026/tn-2026-congressional-redistricting.html,2026-05-01,346b8a2c3d0fa92dab3aadefd48a3e1bc922ba2cc7d9299040f2721d3d7ce9fd,captured,verified_official,map_inventory,not_vote_results,0,9,revised congressional districts adopted in May 2026,page title and redistricting notice body,Prevents superseded district geography from being used for 2026.
