primary_party,candidate_name,votes,write_in,source_locator
Democratic,Ginger Cruz,5163,false,official-summary-congressional-delegate-democratic-row-1
Democratic,Amanda L. Shelton,4301,false,official-summary-congressional-delegate-democratic-row-2
Democratic,Michael Franklin San Nicolas,3189,false,official-summary-congressional-delegate-democratic-row-3
Democratic,Write-In Totals,35,true,official-summary-congressional-delegate-democratic-row-4
Republican,James C. Moylan,3987,false,official-summary-congressional-delegate-republican-row-1
Republican,Write-In Totals,39,true,official-summary-congressional-delegate-republican-row-2
