page	x	y	w	h	text
1	0.8759398480237578	0.7470930241007645	0.015037596997597324	0.03633720821804465	Apache
1	0.8402255608451766	0.9200581409474454	0.013157900803380751	0.058139533996582005	Registration
1	0.8157894712665491	0.9287790717158828	0.013157899431187392	0.049418601989746014	Republican
1	0.7913533810174891	0.9273255834260689	0.013157899431187503	0.05087209065755216	Democratic
1	0.7631578917643463	0.9302325578985328	0.01503759974198382	0.0479651175604926	Libertarian
1	0.7368421036816525	0.947674418983812	0.015037596997597324	0.030523255666096927	Green
1	0.7124060134184946	0.9491279074892266	0.015037596997597213	0.029069766998291002	Other
1	0.6898496214642341	0.9331395351019492	0.011278201864777682	0.04505814022488064	No Labels
1	0.6635338280287287	0.8677325607227508	0.013157908350443726	0.11046511332194009	Total Eligible Registration
1	0.8157894720839081	0.7470930233126145	0.015037596997597213	0.033430233001709	12,149
1	0.7913533818583443	0.7470930233126145	0.015037596997597213	0.033430233001709	26,554
1	0.7650375930707567	0.7470930234746731	0.015037595625403966	0.02034883711073132	238
1	0.7387218036104988	0.7470930234705269	0.015037595625404077	0.014534883499145557	53
1	0.7121619836239992	0.7468165056400062	0.016474180427386576	0.03386251237657345	13,986
1	0.6879699238978244	0.74709302355946	0.015037595625403966	0.02034883711073132	431
1	0.6635338329861638	0.7485465118204516	0.015037596997597324	0.03197674433390307	53,411
1	0.6203007485663581	0.9200581409474454	0.011278201864777682	0.058139533996582005	Ballots Cast
1	0.5939849599805214	0.9273255810186026	0.013157899431187503	0.049418606228298634	Republican
1	0.5695488692226895	0.9273255830869216	0.011278201178681058	0.05087209065755216	Democratic
1	0.5432330802656092	0.9316860464838892	0.013157899431187503	0.046511628892686674	Libertarian
1	0.5939849608057127	0.7470930238555908	0.015037596997597213	0.027616278330484967	4,600
1	0.5676691713508254	0.7470930233683315	0.015037596997597213	0.033430233001709	11,977
1	0.5432330817925611	0.7470930234878304	0.015037595625403966	0.014534883499145446	40
1	0.5169172914780217	0.9491279076225482	0.013157898058994255	0.027616278330485078	Green
1	0.49248120041160254	0.9331395351019492	0.01127820152172937	0.04505814022488064	No Labels
1	0.5169172921797826	0.7470930234878304	0.013157896686800896	0.014534883499145446	11
1	0.49436090137496436	0.7485465115884351	0.011278197062101314	0.017441860834757517	440
1	0.468045108489594	0.9011627899894584	0.011278203923067609	0.07703488667805991	Total Ballots Cast
1	0.4661654119523292	0.7470930233683315	0.015037596997597269	0.033430233001709	17,068
1	0.42293232701371675	0.9011627947415768	0.013157902861670623	0.07703487820095489	Percent Turnout
1	0.39849623527999795	0.8822674415383446	0.011278207353550784	0.0959302351209852	Voter Turnout Percent
1	0.40037593793980436	0.7485465127539503	0.011278199120391186	0.034883719550238834	31.96%
1	0.35714285454694084	0.9331395350499511	0.011278200492584434	0.0436046515570746	Precincts
1	0.3327067631039423	0.9127906980327753	0.013157902175573999	0.06540697733561207	Total Precincts
1	0.29020188618734283	0.7630140924188338	0.01624194632331244	0.21379143608940976	U.S. Representative in Congress - District No. 1
1	0.2667637559714077	0.8821245162857008	0.015344670522127235	0.09621608310275609	(REP) Joseph Chaplik
1	0.24261569912877204	0.8443410138826003	0.01687231063842773	0.132523659600152	(REP) Thomas "Jay" Feely IV *
1	0.21992480684453103	0.8822674415383446	0.01315790835044367	0.0959302351209852	(REP) John Trobough
1	0.1973684137853013	0.8502906989775428	0.013157909036540322	0.12790697733561196	(DEM) Marlene Galan-Woods
1	0.17293232495542687	0.877906978141377	0.01315790835044367	0.10029069688585068	(DEM) Rick McCartney
1	0.14835832114499303	0.8864420454042337	0.017228573860882	0.09191507975260416	(DEM) Amish Shah *
1	0.1258037966060315	0.8763266819921278	0.01725648838839086	0.10205159505208339	(DEM) Jonathan Treble
1	0.10175908184262532	0.8762639715490491	0.01678939105795442	0.10065010918511286	(LBT) Monica Alponte *
1	0.0434143639420161	0.9384623093044036	0.01547876536417351	0.04041700151231553	*Winner
1	0.8796992462104811	0.7005813963451928	0.011278199120391186	0.03633720821804465	Cochise
1	0.8157894722386667	0.6991279070892618	0.016917295936200283	0.033430233001709	33,023
1	0.7913533818583441	0.6991279071026706	0.015037596997597213	0.03197674433390296	18,372
1	0.7406015027139304	0.6991279072803901	0.013157896686800896	0.02034883711073132	102
1	0.714285712685412	0.6991279071728373	0.015037596997597213	0.033430233001709	29,286
1	0.6879699238978244	0.6991279072919822	0.015037595625403966	0.018895348442925397	946
1	0.6635338329861638	0.6991279070335448	0.015037596997597324	0.03343023300170889	82,413
1	0.5939849608191391	0.6991279071312213	0.015037596997597213	0.03197674433390296	14,112
1	0.5676691713508254	0.6991279076225482	0.015037596997597213	0.027616278330485078	8,846
1	0.5451127808859229	0.7005813952085809	0.013157896686801007	0.013081395890977676	81
1	0.516917292337674	0.6991279072329853	0.015037595625403966	0.014534883499145557	26
1	0.4924812019385543	0.699127907308853	0.013157896686800952	0.018895348442925286	309
1	0.4661654119648605	0.6991279070335448	0.015037596997597269	0.03343023300170889	23,374
1	0.332706765863993	0.6991279072087606	0.013157896686800952	0.014534883499145446	55
1	0.8796992458674326	0.6526162795074857	0.01127819980648781	0.040697674221462754	Coconino
1	0.8159149264850069	0.6508791201226428	0.01611544245438612	0.0325190268622505	22,901
1	0.7913533818583441	0.6497093023127356	0.015037596997597213	0.033430233001709	33,061
1	0.7650375930841832	0.6511627910297832	0.015037595625403966	0.018895348442925286	134
1	0.7406015028317663	0.6511627910297832	0.015037595625403966	0.018895348442925286	227
1	0.714285712685412	0.6511627908236008	0.015037596997597213	0.03197674433390296	28,483
1	0.6879699232117277	0.6497093028678242	0.015037596997597324	0.027616278330485078	1,015
1	0.6635338329995902	0.649709302342584	0.015037596997597324	0.03343023300170911	86,421
1	0.5939849608057127	0.6511627903190513	0.015037596997597213	0.026162791781955352	9,095
1	0.5676691715024512	0.6482558138745449	0.016917295936200283	0.03488372166951503	15,343
1	0.5469924806465841	0.6526162789295111	0.01127819637600469	0.013081395890977676	88
1	0.5187969914122387	0.649709302448501	0.013157896686801007	0.01598837216695148	41
1	0.49248120209331303	0.6511627910522777	0.015037595625403966	0.018895348442925286	516
1	0.4661654121000389	0.6497093023127356	0.016917295936200227	0.033430233001709	25,083
1	0.3364661647211488	0.6526162790628327	0.009398497437401676	0.011627907223171752	56
1	0.21992481111586942	0.6511627909296909	0.015037595625403993	0.014534883499145446	-
