page	x	y	w	h	text
1	0.9214493051431575	0.1461639054132725	0.05535720401340061	0.014063166885924905	Registration
1	0.9287790695966065	0.1710526265578769	0.049418606228298634	0.013157904919960495	Republican
1	0.9273255822900107	0.19548871649365396	0.049418601989746014	0.013157904919960495	Democratic
1	0.9316860466001683	0.22368420519572807	0.046511628892686674	0.009398507042754467	Libentarlan
1	0.949127906886114	0.24812029750119502	0.027616278330485078	0.011278201864777682	Green
1	0.9520348834538265	0.27443608786461005	0.024709303114149317	0.011278200492584434	Other
1	0.9330939979662107	0.29860626990672723	0.045149214002821236	0.013689716256779727	No Labels
1	0.8677325577770145	0.3233082586301813	0.11046511332194009	0.013157918641893085	Total Eligible Registration
1	0.9200581407051974	0.36842104610705273	0.058139533996582005	0.011278208725744032	Ballots Cast
1	0.9287790695966065	0.39285713783607246	0.049418606228298634	0.013157904919960495	Republican
1	0.9273255801125949	0.4191729266662729	0.049418606228298634	0.01127820666745416	Democratic
1	0.9316652566940942	0.4453435070085463	0.046553209092881964	0.011568625196278548	Libertarian
1	0.949127907001182	0.4718045082079685	0.027616278330484967	0.009398502240077988	Green
1	0.9331395351019491	0.49624059669447484	0.04505814022488064	0.011278205295260801	No Labels
1	0.9011627899894584	0.5206766831277103	0.07703488667805991	0.011278212842323776	Total Ballots Cast
1	0.9026162808031027	0.5657894654444429	0.07558139377170137	0.011278212156227152	Percent Turnout
1	0.8822674417781701	0.5902255532686685	0.0959302351209852	0.01127821695890352	Voter Turnout Percent
1	0.9330530580356137	0.6309692527215429	0.045231094360351554	0.012497584939860529	Precincts
1	0.9127906965611186	0.6560150301953922	0.06540697733561196	0.011278210097937391	Total Precincts
1	0.7630813935587251	0.6936089981582582	0.21366278754340273	0.015037642279974839	U.S. Representative in Congress - District No. 1
1	0.8822674428251378	0.719924801467056	0.09447674221462676	0.013157915897506589	(REP) Joseph Chaplik
1	0.8444767449704191	0.7406014886721259	0.133720932006836	0.015037624441462394	(REP) Thomas "Jay" Feely IV*
1	0.8822674434610056	0.7650375831239187	0.09593022664388018	0.015037615522206282	(REP) John Trobough
1	0.8502906957798685	0.7894736693961331	0.12790697733561196	0.013157924130666188	(DEM) Marlene Galan-Woods
1	0.8779069786161832	0.8139097633889596	0.10029069688585068	0.013157917269699837	(DEM) Rick McCartney
1	0.8866279094027891	0.8345864558808174	0.09156976487901469	0.015037614836109658	(DEM) Amish Shah *
1	0.876453488015408	0.8590225449052503	0.10029069688585068	0.013157917269699837	(DEM) Jonathan Treble
1	0.8764534879088187	0.8815789361063748	0.1002906968858508	0.015037616208302906	(LBT) Monica Alponte*
1	0.9385349754574366	0.9411440823043284	0.040183012220594616	0.014555110519738457	*Winner
1	0.6511627942821255	0.10902254178805038	0.13226743910047745	0.013157924130666188	Apache Cochise Coconino
1	0.7483688066647096	0.16841041440167182	0.03233215332031247	0.014682930322002186	12,149
1	0.7484652695802536	0.19327096027302515	0.032139229244656065	0.013834018844494644	26,554
1	0.7470930232178901	0.21804511073991673	0.02034883711073132	0.015037598369790572	238
1	0.7485465106962038	0.24624059995578507	0.013081396950615831	0.011278198434294562	53
1	0.7485266447980629	0.27246144240356196	0.03201647864447699	0.011468092829203469	13,986
1	0.7485465115888572	0.29887217841004576	0.018895348442925286	0.009398500181788116	431
1	0.7470930226161514	0.3195488685218588	0.033430233001709	0.015037601114177068	53,411
1	0.7470930226929973	0.3890977416703616	0.027616280449761277	0.01503759974198371	4,600
1	0.7485465119536882	0.41729322964561544	0.03197674433390296	0.011278202550874417	11,977
1	0.7485465106574439	0.44172932255258945	0.013081396950615831	0.013157896686801007	40
1	0.7470930221617192	0.46804511128535253	0.014534885618421756	0.013157898058994144	11
1	0.7485465106710192	0.49436090062777427	0.01744186189439556	0.011278199120391186	440
1	0.7485465119536882	0.5187969890441118	0.03197674433390296	0.011278202550874195	17,068
1	0.7485213601661633	0.5882143140413252	0.03493402269151469	0.011541296595292128	31.96%
1	0.7470930224281922	0.6503759384372916	0.014534885618421867	0.015037596997597324	44
1	0.7005813958078546	0.16917292926811234	0.03197674433390296	0.011278201864777793	33,023
1	0.6990789343999477	0.19155336056637218	0.03207468880547415	0.015389519286670317	18,372
1	0.7005813944597789	0.21992481013905263	0.01744186189439556	0.011278199120391186	684
1	0.7005813945681298	0.24624059973918921	0.01744186189439567	0.011278199120391186	102
1	0.7005813958078546	0.27255638785207226	0.03197674433390296	0.011278201864777682	29,200
1	0.7005813944597789	0.2969924793119848	0.01744186189439556	0.011278199120391186	946
1	0.7005631280160693	0.3213453202859792	0.03055978986952046	0.011444697620199729	82,413
1	0.700581395350091	0.39097744010479907	0.030523255666097038	0.011278202550874417	14,112
1	0.6991279061232297	0.4135338315199856	0.027616280449761388	0.01503759974198371	8,846
1	0.7005813947175216	0.4417293219905627	0.01308139695061572	0.011278197748197938	81
1	0.7005813945721727	0.46804511202627364	0.01308139695061572	0.013157896686801007	26
1	0.7005813947795463	0.49436090062777427	0.01744186189439567	0.011278199120391186	309
1	0.7005813950412249	0.5187969891991902	0.030523255666097038	0.011278201864777682	23,374
1	0.700569527613408	0.5882841461172813	0.03490745756361213	0.011401632706895981	28.36%
1	0.6991279060279983	0.652255637601142	0.014534885618421756	0.013157898058994255	55
1	0.6511627906528159	0.16729322966847537	0.03197674433390296	0.015037601114176957	22,901
1	0.6510507672699484	0.1931384510574885	0.032200789981418176	0.0140990373899611	33,061
1	0.6511627904078127	0.2199248097458788	0.02034883711073132	0.01127819980648781	734
1	0.6526162792109368	0.2462405990644847	0.02325581444634328	0.011278200492584434	227
1	0.6510524251495051	0.26844183341867645	0.03219747543334961	0.017627611777765284	28,483
1	0.6526162786073512	0.29699247839327225	0.024709303114149317	0.011278201178681058	1,015
1	0.6511627903039786	0.31954886850306186	0.03197674433390307	0.015037601114177068	86,421
1	0.6511627906070443	0.39097744029568127	0.027616278330484967	0.011278201864777682	9,095
1	0.6509757602805406	0.41292401288141334	0.03235080507066512	0.018136936983616292	15,343
1	0.6526162784323957	0.4417293222725175	0.013081396950615831	0.011278197748197938	88
1	0.6511627900364996	0.46804511118385517	0.0145348845587836	0.011278198434294562	41
1	0.6526162790004365	0.49436090062777427	0.018895348442925397	0.011278199120391186	516
1	0.651128590035327	0.5167769324509853	0.03204514609442821	0.013438615867559789	25,083
1	0.6526162787786117	0.5883458608131618	0.033430233001709	0.01127820323697093	29.02%
1	0.6497093016644067	0.6522556374996447	0.0145348845587836	0.011278198434294673	56
