election_year,compilation,source_url,source_raw_path,source_sha256,source_bytes,extracted_paragraphs,candidate_sections
2024,assembly,https://drive.google.com/file/d/1sW1XWjjvfK1AptC5JWB9Y60_NgtoTpwp/view?usp=drive_link,data/raw/policy_ny_assembly_2024/ny24-stonewall-assembly/5b16fed8fdf559e96aee818dba11b88f30846763ff43de773d4baa362a460058.bin,5b16fed8fdf559e96aee818dba11b88f30846763ff43de773d4baa362a460058,1475923,227,40
2024,senate,https://drive.google.com/file/d/1nq9c5pQCLzYRWtvbRzGUO8w16jh7NqRU/view?usp=drive_link,data/raw/policy_ny_assembly_2024/ny24-stonewall-senate/82f01c4cdde7d29dcb75c6cf2052af10e67641fd5ad5c3de79fffa7a607e05ac.bin,82f01c4cdde7d29dcb75c6cf2052af10e67641fd5ad5c3de79fffa7a607e05ac,473281,54,12
2024,congress,https://drive.google.com/file/d/1DKMmdwJfuaucEYppNPfTAw6YQtLYEkwY/view?usp=drive_link,data/raw/policy_ny_assembly_2024/ny24-stonewall-congress/a863aa3cf4f7fba42e460312c84bfa0557b2dababfc9ecc3de8a6ed13e3f349b.bin,a863aa3cf4f7fba42e460312c84bfa0557b2dababfc9ecc3de8a6ed13e3f349b,537379,65,11
2020,compilation-1,https://drive.google.com/open?id=1mIjSkAFETXyDmiYLeoL2lSPidkJUiRNb,data/raw/policy_stonewall_2020/ny20-stonewall-1/d3c497ed13a8994601d789408881e1e3df2a6b278932fc0f9aaa9535007e13e9.bin,d3c497ed13a8994601d789408881e1e3df2a6b278932fc0f9aaa9535007e13e9,398318,93,14
2020,compilation-2,https://drive.google.com/open?id=1Pu0nLOgXeD9__HI7oo8hZrxHrhsi84bU,data/raw/policy_stonewall_2020/ny20-stonewall-2/48c1eb9e63bfdbacb7b8a11f4336a70e0e26047fb9495e40820f79facaa57078.bin,48c1eb9e63bfdbacb7b8a11f4336a70e0e26047fb9495e40820f79facaa57078,887168,156,29
2020,compilation-3,https://drive.google.com/open?id=1SXbGInH6i-_CuErZ1vRhPEJccRQhncAY,data/raw/policy_stonewall_2020/ny20-stonewall-3/845df8e841d1280805b395bbd4cdabd6a6793bb735d21bb79ed45f3a9439f3cf.bin,845df8e841d1280805b395bbd4cdabd6a6793bb735d21bb79ed45f3a9439f3cf,325181,45,8
