topic,explicit_conflict,coded_divergence,total
housing,66,193,259
healthcare,75,125,200
climate_energy,73,106,179
public_safety,67,75,142
political_strategy,48,52,100
labor,30,43,73
tax_budget,33,38,71
education,31,37,68
immigration,25,24,49
economic_ownership,20,28,48
democracy,16,8,24
civil_rights,21,2,23
foreign_policy,9,6,15
