cycle,endorsed_segments,opponent_segments,total
2016,37,65,102
2017,28,47,75
2018,207,190,397
2019,64,17,81
2020,236,828,1064
2021,11,166,177
2022,229,199,428
2023,31,31,62
2024,130,140,270
2026,43,167,210
