term,endorsed_score,opponent_score,difference
housing,0.01208551,0.00969001,0.00239551
noncommitted,0.00239220,0.00000000,0.00239220
every,0.00771051,0.00533202,0.00237850
item,0.00000000,0.00236974,-0.00236974
look,0.00247148,0.00483522,-0.00236373
crisis,0.00564833,0.00329137,0.00235696
addiction,0.00330189,0.00095385,0.00234804
get,0.00347324,0.00580035,-0.00232710
point,0.00055268,0.00287254,-0.00231987
absolutely,0.00027349,0.00259111,-0.00231762
permanent,0.00259874,0.00028311,0.00231563
today,0.00066952,0.00298399,-0.00231447
organizer,0.00242624,0.00011829,0.00230795
problem,0.00197654,0.00427941,-0.00230287
together,0.00440849,0.00210738,0.00230111
certainly,0.00003524,0.00233211,-0.00229687
dental,0.00237193,0.00007552,0.00229642
ferrell,0.00228831,0.00000000,0.00228831
workplace,0.00271469,0.00044390,0.00227078
neighbor,0.00341757,0.00119077,0.00222681
common,0.00058096,0.00280382,-0.00222286
imara,0.00220298,0.00000000,0.00220298
badgercare,0.00024578,0.00244137,-0.00219559
hiral,0.00000000,0.00219194,-0.00219194
toward,0.00333014,0.00114403,0.00218612
business,0.00437320,0.00218745,0.00218575
challenge,0.00041567,0.00259453,-0.00217886
expand,0.00271281,0.00487813,-0.00216532
worked,0.00063307,0.00279635,-0.00216328
stakeholder,0.00241445,0.00025945,0.00215500
safety,0.00436253,0.00220831,0.00215422
affordable_housing,0.00273118,0.00487814,-0.00214697
within,0.00052128,0.00264144,-0.00212016
pay,0.00519081,0.00308364,0.00210717
happened,0.00000000,0.00210635,-0.00210635
proposing,0.00208544,0.00000000,0.00208544
flag,0.00212511,0.00004300,0.00208211
street,0.00136602,0.00343516,-0.00206914
trying,0.00020312,0.00226829,-0.00206516
worried,0.00000000,0.00205665,-0.00205665
medicare-for-all,0.00211079,0.00005814,0.00205265
raise,0.00351380,0.00147352,0.00204028
care,0.00790181,0.00586570,0.00203611
freedom,0.00048729,0.00252316,-0.00203586
veteran,0.00078723,0.00281481,-0.00202758
representative,0.00332923,0.00131454,0.00201470
insurance,0.00234105,0.00434012,-0.00199907
sustainable,0.00250543,0.00050866,0.00199677
demanding,0.00226900,0.00027358,0.00199541
affordability,0.00134403,0.00333902,-0.00199499
clark,0.00198943,0.00000000,0.00198943
first,0.00318203,0.00517025,-0.00198822
increasing,0.00298574,0.00100890,0.00197683
buy,0.00015046,0.00212075,-0.00197029
kareem,0.00197020,0.00000000,0.00197020
shaun,0.00196933,0.00000000,0.00196933
delivered,0.00226900,0.00030512,0.00196388
spent,0.00027636,0.00223841,-0.00196205
man,0.00216095,0.00020350,0.00195745
movement,0.00290828,0.00095465,0.00195363
hawaii,0.00074955,0.00270086,-0.00195132
don't,0.00222513,0.00415722,-0.00193208
background,0.00268257,0.00075324,0.00192933
fighting,0.00382625,0.00189737,0.00192888
storage,0.00209446,0.00017498,0.00191948
organized,0.00210426,0.00018627,0.00191798
rule,0.00024955,0.00216538,-0.00191583
publicly,0.00197840,0.00006480,0.00191360
law,0.00398857,0.00207703,0.00191154
gun,0.00476685,0.00285813,0.00190872
stood,0.00249860,0.00059331,0.00190528
border,0.00013501,0.00203891,-0.00190390
sullivan,0.00000000,0.00189934,-0.00189934
zoe,0.00000000,0.00189934,-0.00189934
seeing,0.00225512,0.00035767,0.00189746
educational,0.00286524,0.00096839,0.00189686
renewable,0.00440221,0.00250549,0.00189672
minimum_wage,0.00244316,0.00054830,0.00189486
everyone,0.00476080,0.00287086,0.00188994
rate,0.00143141,0.00332048,-0.00188907
human,0.00116371,0.00305131,-0.00188759
service,0.00562607,0.00373905,0.00188702
todd,0.00000000,0.00187248,-0.00187248
atlantic,0.00187062,0.00000000,0.00187062
mountain,0.00187062,0.00000000,0.00187062
socialist,0.00195720,0.00010367,0.00185353
really,0.00257738,0.00442575,-0.00184837
folk,0.00455134,0.00270503,0.00184631
nonprofit,0.00025523,0.00209522,-0.00183999
place,0.00147916,0.00331406,-0.00183490
built,0.00094854,0.00277335,-0.00182480
transgender,0.00213184,0.00030835,0.00182350
professional,0.00003060,0.00185210,-0.00182150
utility,0.00041815,0.00223906,-0.00182091
red,0.00200811,0.00018878,0.00181933
make,0.00926583,0.01108415,-0.00181833
providing,0.00293853,0.00112724,0.00181129
administration,0.00112668,0.00293617,-0.00180949
ensuring,0.00249437,0.00429740,-0.00180303
bipartisan,0.00035254,0.00214782,-0.00179527
nine,0.00039307,0.00217735,-0.00178428
penalty,0.00185822,0.00007572,0.00178250
faced,0.00192445,0.00014566,0.00177879
country,0.00341822,0.00519643,-0.00177820
speaking,0.00182909,0.00005703,0.00177206
establishment,0.00185075,0.00008041,0.00177034
got,0.00086800,0.00263833,-0.00177033
matter,0.00115968,0.00292305,-0.00176337
lowest,0.00182214,0.00006078,0.00176136
day,0.00077860,0.00253888,-0.00176028
covid,0.00322619,0.00146820,0.00175799
lake,0.00175643,0.00000000,0.00175643
andrew,0.00362616,0.00187337,0.00175279
good,0.00223311,0.00397622,-0.00174311
