cycle,explicit_conflict,coded_divergence,total
2017,34,33,67
2018,21,88,109
2019,57,73,130
2020,202,251,453
2021,18,24,42
2022,11,41,52
2023,78,60,138
2024,12,42,54
2025,38,43,81
2026,43,82,125
