feature,dsa_count,democratic_count,z_score,favored_group
endless,4,1,3.663038,dsa
government economy,4,1,3.663038,dsa
horizon,4,1,3.663038,dsa
immigrant detention,4,1,3.663038,dsa
liberal,4,1,3.663038,dsa
living standard,4,1,3.663038,dsa
night,4,1,3.663038,dsa
racial inequality,4,1,3.663038,dsa
racialized,4,1,3.663038,dsa
short term,4,1,3.663038,dsa
terrain,4,1,3.663038,dsa
children,2,370,-3.659436,democratic
white,14,73,3.651742,dsa
based,22,145,3.648118,dsa
disabled,8,28,3.639606,dsa
effort,7,435,-3.634535,democratic
counsel,6,16,3.610275,dsa
overturn,6,16,3.610275,dsa
historical,7,22,3.607731,dsa
protect,12,532,-3.573967,democratic
defeat,4,6,3.562411,dsa
environmental racism,4,6,3.562411,dsa
form union,4,6,3.562411,dsa
fuel industry,4,6,3.562411,dsa
grassroot,4,6,3.562411,dsa
organized labor,4,6,3.562411,dsa
primarily,4,6,3.562411,dsa
larger,5,11,3.557982,dsa
political party,5,11,3.557982,dsa
racially,5,11,3.557982,dsa
education,28,860,-3.535614,democratic
dsa,64,0,3.514355,dsa
major,11,52,3.501739,dsa
around,14,78,3.445610,dsa
rooted,5,12,3.443066,dsa
thriving,5,12,3.443066,dsa
trend,5,12,3.443066,dsa
affordable,4,344,-3.425794,democratic
immigration status,8,31,3.425567,dsa
powerful,8,31,3.425567,dsa
page preamble,4,7,3.424238,dsa
short,4,7,3.424238,dsa
security,8,422,-3.412720,democratic
neighborhood,10,46,3.407885,dsa
institution,25,184,3.406410,dsa
access jobs,3,2,3.405083,dsa
all free,3,2,3.405083,dsa
away fossil,3,2,3.405083,dsa
counsel all,3,2,3.405083,dsa
detention deportation,3,2,3.405083,dsa
edit,3,2,3.405083,dsa
end military,3,2,3.405083,dsa
exploiting,3,2,3.405083,dsa
fascism,3,2,3.405083,dsa
free point,3,2,3.405083,dsa
hell,3,2,3.405083,dsa
immigrant regardless,3,2,3.405083,dsa
international court,3,2,3.405083,dsa
major party,3,2,3.405083,dsa
make all,3,2,3.405083,dsa
massive investment,3,2,3.405083,dsa
migrate,3,2,3.405083,dsa
municipal employee,3,2,3.405083,dsa
point service,3,2,3.405083,dsa
relation board,3,2,3.405083,dsa
rent_control,3,2,3.405083,dsa
school other,3,2,3.405083,dsa
serve interest,3,2,3.405083,dsa
troop home,3,2,3.405083,dsa
worker fossil,3,2,3.405083,dsa
worker strike,3,2,3.405083,dsa
guarantee,13,71,3.380232,dsa
veteran,1,327,-3.365501,democratic
reality,7,25,3.365323,dsa
shall,0,406,-3.339338,democratic
oppose,3,314,-3.334195,democratic
energy,11,474,-3.327131,democratic
palestinian,6,19,3.327120,dsa
board,12,64,3.315986,dsa
build future,3,3,3.310938,dsa
colonialism,3,3,3.310938,dsa
colony,3,3,3.310938,dsa
comprehensive coverage,3,3,3.310938,dsa
criminal court,3,3,3.310938,dsa
decriminalize,3,3,3.310938,dsa
free universal,3,3,3.310938,dsa
inheritance,3,3,3.310938,dsa
international criminal,3,3,3.310938,dsa
likewise,3,3,3.310938,dsa
statehood washington,3,3,3.310938,dsa
worker lose,3,3,3.310938,dsa
student,14,535,-3.306099,democratic
aid,11,56,3.302015,dsa
abortion access,3,1,3.294744,dsa
apartheid,3,1,3.294744,dsa
cancel,3,1,3.294744,dsa
cops,3,1,3.294744,dsa
democracy working,3,1,3.294744,dsa
economic sanction,3,1,3.294744,dsa
economy worker,3,1,3.294744,dsa
enforcement access,3,1,3.294744,dsa
expansive,3,1,3.294744,dsa
exploited,3,1,3.294744,dsa
few good,3,1,3.294744,dsa
fight democracy,3,1,3.294744,dsa
fight worker,3,1,3.294744,dsa
filibuster,3,1,3.294744,dsa
gender affirming,3,1,3.294744,dsa
genocide gaza,3,1,3.294744,dsa
global south,3,1,3.294744,dsa
government act,3,1,3.294744,dsa
health criminal,3,1,3.294744,dsa
israeli government,3,1,3.294744,dsa
jobs labor,3,1,3.294744,dsa
judicial review,3,1,3.294744,dsa
legal union,3,1,3.294744,dsa
leisure,3,1,3.294744,dsa
massively,3,1,3.294744,dsa
nationalization,3,1,3.294744,dsa
noncitizen,3,1,3.294744,dsa
page program,3,1,3.294744,dsa
racist immigration,3,1,3.294744,dsa
raise taxe,3,1,3.294744,dsa
reduce power,3,1,3.294744,dsa
reproductive gender-affirming,3,1,3.294744,dsa
suffrage,3,1,3.294744,dsa
tax wealthiest,3,1,3.294744,dsa
toward green,3,1,3.294744,dsa
wealth tax,3,1,3.294744,dsa
administration,3,307,-3.291416,democratic
restriction,8,33,3.290265,dsa
analysis,4,8,3.288207,dsa
bargaining,4,8,3.288207,dsa
seat,4,8,3.288207,dsa
transformative,4,8,3.288207,dsa
version,4,8,3.288207,dsa
representative,8,34,3.224688,dsa
cease,5,14,3.224462,dsa
estate,5,14,3.224462,dsa
protest,5,14,3.224462,dsa
transition,13,75,3.214391,dsa
week,7,27,3.213497,dsa
war,16,103,3.192056,dsa
fair,4,308,-3.191889,democratic
michigan,0,367,-3.174802,democratic
all gender,3,4,3.164205,dsa
bipoc,3,4,3.164205,dsa
brutally,3,4,3.164205,dsa
care facility,3,4,3.164205,dsa
criminal conviction,3,4,3.164205,dsa
divestment,3,4,3.164205,dsa
establish universal,3,4,3.164205,dsa
establishe,3,4,3.164205,dsa
farm worker,3,4,3.164205,dsa
full voting,3,4,3.164205,dsa
greatly,3,4,3.164205,dsa
heavily,3,4,3.164205,dsa
military economic,3,4,3.164205,dsa
reproductive justice,3,4,3.164205,dsa
sustainable economy,3,4,3.164205,dsa
transition away,3,4,3.164205,dsa
transportation energy,3,4,3.164205,dsa
tuition-free,3,4,3.164205,dsa
cuba,4,9,3.156297,dsa
freely,4,9,3.156297,dsa
housing healthcare,4,9,3.156297,dsa
housing market,4,9,3.156297,dsa
nationally,4,9,3.156297,dsa
neither,4,9,3.156297,dsa
tied,4,9,3.156297,dsa
venezuela,4,9,3.156297,dsa
connected,5,15,3.120786,dsa
size,5,15,3.120786,dsa
district,4,294,-3.094395,democratic
promote,3,274,-3.077961,democratic
citizen,2,261,-3.071240,democratic
law,10,417,-3.068343,democratic
donor,6,22,3.067992,dsa
democrat believe,0,341,-3.060213,democratic
biden,4,289,-3.058578,democratic
short-term,4,10,3.029365,dsa
necessary,16,108,3.027752,dsa
coalition,5,16,3.020741,dsa
realize,5,16,3.020741,dsa
acquire,3,5,3.005236,dsa
all higher,3,5,3.005236,dsa
ballot initiative,3,5,3.005236,dsa
battle,3,5,3.005236,dsa
construct,3,5,3.005236,dsa
deepening,3,5,3.005236,dsa
elected office,3,5,3.005236,dsa
extension,3,5,3.005236,dsa
indigenous other,3,5,3.005236,dsa
legislative process,3,5,3.005236,dsa
police force,3,5,3.005236,dsa
political power,3,5,3.005236,dsa
quo,3,5,3.005236,dsa
status quo,3,5,3.005236,dsa
warfare,3,5,3.005236,dsa
along,7,30,2.999051,dsa
rent,7,30,2.999051,dsa
follow,6,23,2.986506,dsa
practice,4,279,-2.985256,democratic
clean,5,299,-2.983010,democratic
israel,8,38,2.975151,dsa
women,11,426,-2.973892,democratic
even,12,72,2.973036,dsa
including,39,983,-2.964512,democratic
own,17,120,2.959897,dsa
corporation,21,161,2.955993,dsa
tribal,2,242,-2.949914,democratic
crisis,23,183,2.935210,dsa
trump,7,335,-2.931837,democratic
government,27,746,-2.931558,democratic
like,22,173,2.919754,dsa
working,33,295,2.914509,dsa
business,5,290,-2.913125,democratic
begin,4,11,2.907691,dsa
course,4,11,2.907691,dsa
criminalization,4,11,2.907691,dsa
labor union,4,11,2.907691,dsa
regardless immigration,4,11,2.907691,dsa
immediate,10,56,2.898207,dsa
cannot,11,65,2.889417,dsa
every,10,393,-2.881477,democratic
use,14,476,-2.872764,democratic
force,22,175,2.871645,dsa
federal,22,638,-2.868068,democratic
wars,7,32,2.864188,dsa
accelerating,3,6,2.847620,dsa
court justice,3,6,2.847620,dsa
leave all,3,6,2.847620,dsa
live all,3,6,2.847620,dsa
opposition,3,6,2.847620,dsa
other color,3,6,2.847620,dsa
pension fund,3,6,2.847620,dsa
placing,3,6,2.847620,dsa
real estate,3,6,2.847620,dsa
redlining,3,6,2.847620,dsa
strong,3,241,-2.841257,democratic
nationwide,6,25,2.830262,dsa
social service,6,25,2.830262,dsa
machine,4,12,2.791259,dsa
ultimately,4,12,2.791259,dsa
rural,3,234,-2.787446,democratic
adapted,2,1,2.773297,dsa
affirming healthcare,2,1,2.773297,dsa
all police,2,1,2.773297,dsa
all top,2,1,2.773297,dsa
american choice,2,1,2.773297,dsa
apparatus,2,1,2.773297,dsa
attack all,2,1,2.773297,dsa
attempt overturn,2,1,2.773297,dsa
bay democratic,2,1,2.773297,dsa
bluesky,2,1,2.773297,dsa
circle,2,1,2.773297,dsa
conservative,2,1,2.773297,dsa
convert,2,1,2.773297,dsa
crisis pose,2,1,2.773297,dsa
