feature,endorsed_count,opponent_count,z_score,favored_group
accountability,10,44,-1.962710,opponent
deeply,8,6,1.961801,endorsed
displacement,8,6,1.961801,endorsed
establishing,8,6,1.961801,endorsed
incarceration,8,6,1.961801,endorsed
tenant protection,8,6,1.961801,endorsed
freedom,2,19,-1.961748,opponent
propose,2,19,-1.961748,opponent
today,2,19,-1.961748,opponent
administration,3,22,-1.944000,opponent
ever,3,22,-1.944000,opponent
higher,3,22,-1.944000,opponent
building affordable_housing,4,1,1.932993,endorsed
ceasefire,4,1,1.932993,endorsed
civilian police,4,1,1.932993,endorsed
cooperative,4,1,1.932993,endorsed
dignified,4,1,1.932993,endorsed
fund school,4,1,1.932993,endorsed
home ordinance,4,1,1.932993,endorsed
known,4,1,1.932993,endorsed
lawyer,4,1,1.932993,endorsed
medicare-for-all,4,1,1.932993,endorsed
michigan,4,1,1.932993,endorsed
name,4,1,1.932993,endorsed
polluter,4,1,1.932993,endorsed
reject,4,1,1.932993,endorsed
tenant union,4,1,1.932993,endorsed
trauma ordinance,4,1,1.932993,endorsed
unionize,4,1,1.932993,endorsed
unjust,4,1,1.932993,endorsed
wealthiest,4,1,1.932993,endorsed
worker union,4,1,1.932993,endorsed
housing,132,234,1.932743,endorsed
street,14,55,-1.922548,opponent
strong,21,26,1.921640,endorsed
deliver,10,9,1.912856,endorsed
leadership,6,31,-1.898594,opponent
eliminate,12,12,1.897609,endorsed
hold,12,12,1.897609,endorsed
rich,12,12,1.897609,endorsed
technology,0,23,-1.896345,opponent
look,7,34,-1.892490,opponent
off,7,34,-1.892490,opponent
actively,7,5,1.892056,endorsed
doctor,7,5,1.892056,endorsed
social worker,7,5,1.892056,endorsed
small,2,18,-1.882731,opponent
access,35,111,-1.879258,opponent
talk,1,15,-1.871629,opponent
transportation,15,57,-1.869905,opponent
middle,3,21,-1.862768,opponent
professional,3,21,-1.862768,opponent
regulation,3,21,-1.862768,opponent
guarantee healthcare,11,0,1.852033,endorsed
housing human_right,11,0,1.852033,endorsed
burden,9,8,1.834018,endorsed
crise,9,8,1.834018,endorsed
legislature,9,8,1.834018,endorsed
mean,27,37,1.831876,endorsed
immigration,11,45,-1.829914,opponent
less,5,27,-1.829382,opponent
space,5,27,-1.829382,opponent
home,53,84,1.826420,endorsed
benefit,10,42,-1.823168,opponent
counsel,6,4,1.822392,endorsed
municipal,6,4,1.822392,endorsed
only way,6,4,1.822392,endorsed
racism,6,4,1.822392,endorsed
repair,6,4,1.822392,endorsed
parent,6,30,-1.820644,opponent
ban,11,11,1.816777,endorsed
waste,2,17,-1.799644,opponent
anything,1,14,-1.796837,opponent
barrier,1,14,-1.796837,opponent
supply,1,14,-1.796837,opponent
invest,29,41,1.784131,endorsed
coverage,16,19,1.782815,endorsed
cost,21,72,-1.778534,opponent
available,3,20,-1.777982,opponent
senator,3,20,-1.777982,opponent
clean,12,47,-1.769925,opponent
every american,0,20,-1.768327,opponent
climate_change,11,44,-1.759874,opponent
broken,5,3,1.754163,endorsed
cta,5,3,1.754163,endorsed
highest,5,3,1.754163,endorsed
paycheck,5,3,1.754163,endorsed
representing,5,3,1.754163,endorsed
universal childcare,5,3,1.754163,endorsed
harm,8,7,1.751993,endorsed
prevention,5,26,-1.747059,opponent
affordability,9,38,-1.744488,opponent
best,7,32,-1.738360,opponent
number,7,32,-1.738360,opponent
form,12,13,1.737520,endorsed
funded,10,10,1.732185,endorsed
family,54,156,-1.724959,opponent
bigger,1,13,-1.717186,opponent
credit,1,13,-1.717186,opponent
heard,1,13,-1.717186,opponent
idea,1,13,-1.717186,opponent
return,1,13,-1.717186,opponent
rural,1,13,-1.717186,opponent
set,1,13,-1.717186,opponent
encourage,2,16,-1.712019,opponent
receive,2,16,-1.712019,opponent
free,39,60,1.699691,endorsed
gun,3,19,-1.689309,opponent
possible,3,19,-1.689309,opponent
anthony,4,2,1.688986,endorsed
bottom line,4,2,1.688986,endorsed
carbon emission,4,2,1.688986,endorsed
caring,4,2,1.688986,endorsed
cover all,4,2,1.688986,endorsed
defunding,4,2,1.688986,endorsed
elimination,4,2,1.688986,endorsed
fully funded,4,2,1.688986,endorsed
hearing,4,2,1.688986,endorsed
heat,4,2,1.688986,endorsed
investment school,4,2,1.688986,endorsed
labor movement,4,2,1.688986,endorsed
likely,4,2,1.688986,endorsed
lower prescription,4,2,1.688986,endorsed
multiple,4,2,1.688986,endorsed
municipality,4,2,1.688986,endorsed
pennsylvania,4,2,1.688986,endorsed
publicly owned,4,2,1.688986,endorsed
minimum_wage living_wage,9,0,1.675204,endorsed
owner,4,22,-1.672069,opponent
expansion,13,15,1.671211,endorsed
i'm running,13,15,1.671211,endorsed
aren't,7,6,1.666469,endorsed
cover,7,6,1.666469,endorsed
enact,7,6,1.666469,endorsed
latino,7,6,1.666469,endorsed
thousand,7,6,1.666469,endorsed
food,8,34,-1.662185,opponent
low,5,25,-1.661917,opponent
first,29,91,-1.658781,opponent
living,19,25,1.654897,endorsed
really,19,25,1.654897,endorsed
basic,11,12,1.649786,endorsed
bold,11,12,1.649786,endorsed
point,11,12,1.649786,endorsed
step,11,12,1.649786,endorsed
public_safety,13,48,-1.644443,opponent
cash,9,9,1.643254,endorsed
racial,9,9,1.643254,endorsed
money,32,48,1.641047,endorsed
access quality,1,12,-1.631904,opponent
add,1,12,-1.631904,opponent
his,1,12,-1.631904,opponent
preserve,1,12,-1.631904,opponent
provided,1,12,-1.631904,opponent
red tape,1,12,-1.631904,opponent
solve,1,12,-1.631904,opponent
success,1,12,-1.631904,opponent
tape,1,12,-1.631904,opponent
three,1,12,-1.631904,opponent
come,12,45,-1.629622,opponent
age,2,15,-1.619302,opponent
all american,2,15,-1.619302,opponent
become,2,15,-1.619302,opponent
composting,2,15,-1.619302,opponent
incentive,2,15,-1.619302,opponent
let,2,15,-1.619302,opponent
treatment,14,17,1.615012,endorsed
ice,17,22,1.610428,endorsed
last,3,18,-1.596366,opponent
prevent,3,18,-1.596366,opponent
special,3,18,-1.596366,opponent
affordable healthcare,0,16,-1.581612,opponent
insurance program,8,0,1.579387,endorsed
point service,8,0,1.579387,endorsed
finance reform,6,5,1.577159,endorsed
funding school,6,5,1.577159,endorsed
real estate,6,5,1.577159,endorsed
simple,6,5,1.577159,endorsed
going,31,47,1.572984,endorsed
billion,6,27,-1.572451,opponent
afford,15,19,1.566837,endorsed
making,22,71,-1.562808,opponent
only,32,49,1.558259,endorsed
model,10,11,1.557317,endorsed
universal healthcare,10,11,1.557317,endorsed
defense,1,11,-1.540026,opponent
economic development,1,11,-1.540026,opponent
governor,1,11,-1.540026,opponent
implementing,1,11,-1.540026,opponent
maintain,1,11,-1.540026,opponent
may,1,11,-1.540026,opponent
number one,1,11,-1.540026,opponent
pedestrian,1,11,-1.540026,opponent
reduction,1,11,-1.540026,opponent
trillion,1,11,-1.540026,opponent
care,26,81,-1.537465,opponent
mental,50,83,1.534280,endorsed
progress,0,15,-1.531383,opponent
affordable_housing,64,110,1.529439,endorsed
ask,2,14,-1.520837,opponent
deal,2,14,-1.520837,opponent
great,2,14,-1.520837,opponent
proven,2,14,-1.520837,opponent
red,2,14,-1.520837,opponent
enforcement,9,35,-1.512625,opponent
development,27,83,-1.504766,opponent
restore,3,17,-1.498714,opponent
approach,7,29,-1.490919,opponent
abortion,11,13,1.487972,endorsed
meet,4,20,-1.486378,opponent
promote,6,26,-1.484437,opponent
affordable home,5,4,1.483915,endorsed
all worker,5,4,1.483915,endorsed
ballot,5,4,1.483915,endorsed
connected,5,4,1.483915,endorsed
five,5,4,1.483915,endorsed
healthcare including,5,4,1.483915,endorsed
historic,5,4,1.483915,endorsed
mental healthcare,5,4,1.483915,endorsed
opponent,5,4,1.483915,endorsed
powerful,5,4,1.483915,endorsed
quality education,5,4,1.483915,endorsed
