feature,endorsed_documents,opponent_documents,endorsed_share,opponent_share,difference
toward,114,150,0.233129,0.177936,0.055193
genocide,31,7,0.063395,0.008304,0.055091
news,175,348,0.357873,0.412811,-0.054938
take,175,348,0.357873,0.412811,-0.054938
congressman,15,72,0.030675,0.085409,-0.054734
problem,98,215,0.200409,0.255042,-0.054633
democracy,87,104,0.177914,0.123369,0.054545
invest,116,154,0.237219,0.182681,0.054538
college,83,189,0.169734,0.224199,-0.054465
fully,102,130,0.208589,0.154211,0.054378
maintain,32,101,0.065440,0.119810,-0.054371
maryland,21,82,0.042945,0.097272,-0.054327
web,66,68,0.134969,0.080664,0.054305
communication,20,80,0.040900,0.094899,-0.053999
solidarity,35,15,0.071575,0.017794,0.053781
elected,142,290,0.290389,0.344009,-0.053621
additional,58,145,0.118609,0.172005,-0.053395
dollar,116,155,0.237219,0.183867,0.053352
citizen,54,138,0.110429,0.163701,-0.053272
understanding,27,91,0.055215,0.107948,-0.052733
provide,150,303,0.306748,0.359431,-0.052682
within,73,170,0.149284,0.201661,-0.052376
basic,80,94,0.163599,0.111507,0.052093
learn,83,187,0.169734,0.221827,-0.052093
healthcare human_right,33,13,0.067485,0.015421,0.052064
children,108,230,0.220859,0.272835,-0.051976
transition,60,60,0.122699,0.071174,0.051525
public_safety,88,195,0.179959,0.231317,-0.051358
management,26,88,0.053170,0.104389,-0.051219
park,87,193,0.177914,0.228944,-0.051030
market,54,136,0.110429,0.161329,-0.050899
push,91,114,0.186094,0.135231,0.050863
succeed,14,67,0.028630,0.079478,-0.050848
administration,86,191,0.175869,0.226572,-0.050703
brown,59,59,0.120654,0.069988,0.050666
struggle,59,59,0.120654,0.069988,0.050666
massive,45,35,0.092025,0.041518,0.050506
statement,49,127,0.100204,0.150652,-0.050448
environmental justice,38,23,0.077710,0.027284,0.050426
passing,67,73,0.137014,0.086595,0.050419
positive,23,82,0.047035,0.097272,-0.050237
skip content,46,37,0.094070,0.043891,0.050179
share,135,275,0.276074,0.326216,-0.050142
smart,19,75,0.038855,0.088968,-0.050113
incumbent,68,75,0.139059,0.088968,0.050091
crime,84,187,0.171779,0.221827,-0.050048
donation,61,63,0.124744,0.074733,0.050011
bill,148,213,0.302658,0.252669,0.049989
consumer,17,71,0.034765,0.084223,-0.049458
color,81,98,0.165644,0.116251,0.049393
volunteer endorsement,27,5,0.055215,0.005931,0.049284
senator,86,107,0.175869,0.126928,0.048941
said,95,205,0.194274,0.243179,-0.048905
rent_control,36,21,0.073620,0.024911,0.048709
reparation,29,9,0.059305,0.010676,0.048629
integrity,7,53,0.014315,0.062871,-0.048556
experience,141,284,0.288344,0.336892,-0.048548
rule,54,134,0.110429,0.158956,-0.048527
renter,55,54,0.112474,0.064057,0.048417
entrepreneur,10,58,0.020450,0.068802,-0.048352
strategy,42,113,0.085890,0.134045,-0.048156
request,31,94,0.063395,0.111507,-0.048112
release,78,175,0.159509,0.207592,-0.048083
second,56,137,0.114519,0.162515,-0.047995
event,132,268,0.269939,0.317912,-0.047974
left,97,127,0.198364,0.150652,0.047712
running,195,296,0.398773,0.351127,0.047646
establishment,43,34,0.087935,0.040332,0.047602
regarding,22,78,0.044990,0.092527,-0.047537
mass,69,79,0.141104,0.093713,0.047391
bridge,32,95,0.065440,0.112693,-0.047253
behind,84,105,0.171779,0.124555,0.047224
zone,10,57,0.020450,0.067616,-0.047166
benefit,104,219,0.212679,0.259786,-0.047108
reserve,6,50,0.012270,0.059312,-0.047042
understand,82,181,0.167689,0.214709,-0.047020
legislature,74,88,0.151329,0.104389,0.046940
instead,107,145,0.218814,0.172005,0.046809
yorker,53,52,0.108384,0.061684,0.046700
best,117,241,0.239264,0.285884,-0.046620
making,149,296,0.304703,0.351127,-0.046423
minimum_wage,54,54,0.110429,0.064057,0.046373
disproportionately,47,42,0.096115,0.049822,0.046292
innovation,18,70,0.036810,0.083037,-0.046227
donor,51,49,0.104294,0.058126,0.046169
without,160,237,0.327198,0.281139,0.046060
even,142,206,0.290389,0.244365,0.046023
renewable,56,58,0.114519,0.068802,0.045718
energy,125,177,0.255624,0.209964,0.045659
funding,187,284,0.382413,0.336892,0.045521
impact,99,209,0.202454,0.247924,-0.045470
serving,48,121,0.098160,0.143535,-0.045375
incarceration,50,48,0.102249,0.056940,0.045310
fossil fuel,54,55,0.110429,0.065243,0.045186
given,51,126,0.104294,0.149466,-0.045172
committed,58,138,0.118609,0.163701,-0.045092
thousand,87,112,0.177914,0.132859,0.045055
planning,43,112,0.087935,0.132859,-0.044924
fossil,55,57,0.112474,0.067616,0.044859
focused,50,124,0.102249,0.147094,-0.044844
social_housing,30,14,0.061350,0.016607,0.044742
publicly,52,52,0.106339,0.061684,0.044655
performance,13,60,0.026585,0.071174,-0.044590
away,96,128,0.196319,0.151839,0.044480
hard,67,153,0.137014,0.181495,-0.044480
commerce,5,46,0.010225,0.054567,-0.044342
gas,53,54,0.108384,0.064057,0.044328
tran,35,23,0.071575,0.027284,0.044291
downtown,19,70,0.038855,0.083037,-0.044182
university,73,163,0.149284,0.193357,-0.044073
street,109,225,0.222904,0.266904,-0.044000
alway,87,187,0.177914,0.221827,-0.043913
leave,91,120,0.186094,0.142349,0.043745
single_payer healthcare,26,8,0.053170,0.009490,0.043680
balance,28,85,0.057260,0.100830,-0.043571
louis,34,22,0.069530,0.026097,0.043432
reducing,42,109,0.085890,0.129300,-0.043411
common,49,121,0.100204,0.143535,-0.043330
universal healthcare,38,29,0.077710,0.034401,0.043309
introduced,53,55,0.108384,0.065243,0.043141
strong,99,207,0.202454,0.245552,-0.043098
free,144,212,0.294479,0.251483,0.042996
demand,79,100,0.161554,0.118624,0.042930
role,84,181,0.171779,0.214709,-0.042930
prison,61,69,0.124744,0.081851,0.042894
nurse,43,38,0.087935,0.045077,0.042857
position,91,193,0.186094,0.228944,-0.042850
play,51,124,0.104294,0.147094,-0.042799
bernie,36,26,0.073620,0.030842,0.042777
appropriate,18,67,0.036810,0.079478,-0.042668
better,148,291,0.302658,0.345196,-0.042537
criminalization,26,9,0.053170,0.010676,0.042494
landlord,48,47,0.098160,0.055753,0.042406
yet,77,97,0.157464,0.115065,0.042399
economic justice,30,16,0.061350,0.018980,0.042370
residential,17,65,0.034765,0.077106,-0.042341
facebook twitter,41,35,0.083845,0.041518,0.042326
think,82,177,0.167689,0.209964,-0.042275
unique,24,77,0.049080,0.091340,-0.042261
general,89,189,0.182004,0.224199,-0.042195
leadership,114,232,0.233129,0.275208,-0.042079
make,292,468,0.597137,0.555160,0.041977
mayor,81,175,0.165644,0.207592,-0.041948
fuel,61,70,0.124744,0.083037,0.041708
increasing,62,142,0.126789,0.168446,-0.041657
result,98,204,0.200409,0.241993,-0.041584
stop,123,177,0.251534,0.209964,0.041569
donate volunteer,22,3,0.044990,0.003559,0.041431
childcare,51,53,0.104294,0.062871,0.041424
partner,57,133,0.116564,0.157770,-0.041205
undocumented,41,36,0.083845,0.042705,0.041140
seat,99,136,0.202454,0.161329,0.041125
practical,6,45,0.012270,0.053381,-0.041111
moratorium,34,24,0.069530,0.028470,0.041060
montgomery,13,57,0.026585,0.067616,-0.041031
largest,67,81,0.137014,0.096085,0.040929
fix,38,100,0.077710,0.118624,-0.040914
peace,42,38,0.085890,0.045077,0.040812
paid,75,95,0.153374,0.112693,0.040681
might,30,86,0.061350,0.102017,-0.040667
workforce,48,117,0.098160,0.138790,-0.040631
politician,68,83,0.139059,0.098458,0.040601
full,126,183,0.257669,0.217082,0.040587
gender,43,40,0.087935,0.047450,0.040485
enterprise,4,41,0.008180,0.048636,-0.040456
dream,22,72,0.044990,0.085409,-0.040419
properly,7,46,0.014315,0.054567,-0.040252
view,72,158,0.147239,0.187426,-0.040187
individual,90,189,0.184049,0.224199,-0.040150
set,61,139,0.124744,0.164887,-0.040143
strike,37,30,0.075665,0.035587,0.040077
director,46,113,0.094070,0.134045,-0.039976
farmer,17,63,0.034765,0.074733,-0.039968
quality life,24,75,0.049080,0.088968,-0.039888
special,71,156,0.145194,0.185053,-0.039859
lower cost,13,56,0.026585,0.066429,-0.039845
endorsed,74,94,0.151329,0.111507,0.039823
idea,60,137,0.122699,0.162515,-0.039815
protest,42,39,0.085890,0.046263,0.039626
believe,160,309,0.327198,0.366548,-0.039350
promote,44,109,0.089980,0.129300,-0.039321
done,109,221,0.222904,0.262159,-0.039255
region,40,102,0.081800,0.120996,-0.039197
guns,11,52,0.022495,0.061684,-0.039190
bernie sander,33,24,0.067485,0.028470,0.039015
establish,62,74,0.126789,0.087782,0.039008
training,72,157,0.147239,0.186240,-0.039000
sign,120,174,0.245399,0.206406,0.038993
councilmember,32,88,0.065440,0.104389,-0.038949
security,79,169,0.161554,0.200474,-0.038920
attorney general,21,69,0.042945,0.081851,-0.038906
served,68,150,0.139059,0.177936,-0.038877
primary election,39,100,0.079755,0.118624,-0.038869
abolish,27,14,0.055215,0.016607,0.038607
tackle,20,67,0.040900,0.079478,-0.038578
home,259,414,0.529652,0.491103,0.038549
important,132,260,0.269939,0.308422,-0.038484
manage,16,60,0.032720,0.071174,-0.038455
brooklyn,42,40,0.085890,0.047450,0.038440
affair,12,53,0.024540,0.062871,-0.038331
ahead,30,84,0.061350,0.099644,-0.038294
strengthening,26,77,0.053170,0.091340,-0.038171
may,131,258,0.267894,0.306050,-0.038156
instagram,72,92,0.147239,0.109134,0.038105
once,51,120,0.104294,0.142349,-0.038054
neighborhood,134,263,0.274029,0.311981,-0.037952
november,47,113,0.096115,0.134045,-0.037931
master,18,63,0.036810,0.074733,-0.037923
son,18,63,0.036810,0.074733,-0.037923
all american,7,44,0.014315,0.052195,-0.037880
economic opportunity,7,44,0.014315,0.052195,-0.037880
rural,32,87,0.065440,0.103203,-0.037763
slate,26,13,0.053170,0.015421,0.037749
small,57,130,0.116564,0.154211,-0.037647
high,122,242,0.249489,0.287070,-0.037581
force,64,142,0.130879,0.168446,-0.037567
