,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","Public Counter","5,774","Total Ballots","6,572","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","6,572",,,"Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","Manually Counted Emergency",0,"Total Ballots","6,572","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","6,572",,,"Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","Absentee / Military",749,"Total Ballots","6,572","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","6,572",,,"Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","Federal",21,"Total Ballots","6,572","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","6,572",,,"Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","Affidavit",28,"Total Ballots","6,572","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","6,572",,,"Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","Allison Ziogas","2,248",,,,,,,"Total Votes","6,244","Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","Mike DeCillis","3,916",,,,,,,"Total Votes","6,244","Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","ADRIANO ESPAILLAT (Write-In)",4,,,,,,,"Total Votes","6,244","Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","ALAN P GALLO (Write-In)",1,,,,,,,"Total Votes","6,244","Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","ANDREW CUOMO (Write-In)",1,,,,,,,"Total Votes","6,244","Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","BRAD LANDER (Write-In)",3,,,,,,,"Total Votes","6,244","Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


11th Congressional District


Vote for 1","Kings County","CARLES MENCHACA (Write-In)",1,,,,,,,"Total Votes","6,244","Unrecorded",328,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
