,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","ANTHONY WEINER (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","BELLE FLANEGAR (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","BENJAMIN NETENYAHU (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","BRIAN IAN SMITH (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","CLAIRE VALDEZ (Write-In)",3,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","DARIALIZA AVILA CHEVALIER (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","DONALD J. TRUMP (Write-In)",2,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","HARRISON HANES (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","HIND RAJAB (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","New York County","JENNIFER GEIGER (Write-In)",1,,,,,,,"Total Votes","34,926","Unrecorded",540,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
