state_code,cycle,target_units,resolved_units,unresolved_units,status_counts,notes
AR,2024,7,6,1,unopposed_nomination_verified=6; unresolved=1,House 03 Democratic remains unresolved because official evidence indicates a numeric primary requiring the separate results pipeline.
AR,2026,5,5,0,unopposed_nomination_verified=5,
KY,2024,6,6,0,no_candidate_verified=2; unopposed_nomination_verified=4,
KY,2026,3,3,0,unopposed_nomination_verified=3,
SD,2024,2,2,0,unopposed_nomination_verified=2,
SD,2026,2,2,0,unopposed_nomination_verified=2,
