race_id,scope_kind,election_date,election_year,primary_party,endorsed_candidate,endorsed_candidates,unopposed_candidates,opponent_candidates,all_candidates,candidate_count,role_set,party_set,evidence_statuses,office,office_status,office_source,office_confidence,jurisdiction,jurisdiction_status,jurisdiction_source,jurisdiction_confidence,state,state_code,state_status,state_source,state_confidence,official_election_source,official_election_source_status,official_election_source_source,official_election_source_confidence,supporting_source,supporting_source_status,supporting_source_type,supporting_source_source,supporting_source_confidence,certified_opponents,certified_opponents_status,endorsing_bodies,metadata_source,source_reference,canonical_candidate_aliases,source_race_ids,merged_race_id_count,unresolved_fields
race-a04f856ead4ec956148b,other_corpus_race,2026-06-09,2026,Democratic,,,,Venise L. Karris,Venise L. Karris,1,opponent,Democratic,source_unavailable,,unresolved,,,,unresolved,,,,,unresolved,,,,unresolved,,,,unresolved,,,,Venise L. Karris,corpus_candidate_set,,corpus_only,,v karris | v l | ven karris | ven l | venise karris | venise l | venise l karris,race-a04f856ead4ec956148b,1,office | jurisdiction | state | official_election_source
race-a0ccc13a066fcae2bee5,tracked_dsa_endorsed_democratic_primary,2026-08-04,2026,Democratic,Dylan Wegela,Dylan Wegela,Dylan Wegela,,Dylan Wegela,1,unopposed,Democratic,verified,State Representative,resolution_verified,race_registry_resolutions_2025_2026.csv:53,verified,District 26,resolution_verified,race_registry_resolutions_2025_2026.csv:53,verified,Michigan,MI,resolution_verified,race_registry_resolutions_2025_2026.csv:53,verified,,unresolved,,,https://housedems.com/dylan-wegela/about/,resolution_supporting,party_or_caucus,race_registry_resolutions_2025_2026.csv:53,high,,unresolved,,resolution_verified,race_registry_resolutions_2025_2026.csv:53,d wegela | dyl wegela | dylan wegela,race-a0ccc13a066fcae2bee5,1,official_election_source | certified_opponents
race-a0d0079bd79eae1cceb4,tracked_dsa_endorsed_democratic_primary,2026-08-11,2026,Democratic,Emily Berge,Emily Berge,,Rebecca Cooke,Emily Berge | Rebecca Cooke,2,endorsed | opponent,Democratic,verified,US House,resolution_verified,race_registry_resolutions_2025_2026.csv:54,verified,District 3,resolution_verified,race_registry_resolutions_2025_2026.csv:54,verified,Wisconsin,WI,resolution_verified,race_registry_resolutions_2025_2026.csv:54,verified,,unresolved,,,https://bergeforcongress.com/,resolution_supporting,candidate_controlled,race_registry_resolutions_2025_2026.csv:54,high,Rebecca Cooke,corpus_candidate_set,,resolution_verified,race_registry_resolutions_2025_2026.csv:54,e berge | emi berge | emily berge | r cooke | reb cooke | rebecca cooke,race-a0d0079bd79eae1cceb4,1,official_election_source
race-a0d62e41239ac39f095c,tracked_dsa_endorsed_democratic_primary,2018-08-07,2018,Democratic,Rashida Tlaib,Rashida Tlaib,,Bill Wild | Brenda Jones | Coleman A. Young II | Ian Conyers | Shanelle Jackson,Bill Wild | Brenda Jones | Coleman A. Young II | Ian Conyers | Rashida Tlaib | Shanelle Jackson,6,endorsed | opponent,Democratic,source_unavailable,US House,resolution_verified,race_registry_resolutions_2017_2019.csv:27,verified,District 13,resolution_verified,race_registry_resolutions_2017_2019.csv:27,verified,Michigan,MI,resolution_verified,race_registry_resolutions_2017_2019.csv:27,verified,https://www.michigan.gov/sos/elections/election-results-and-data,resolution_verified,race_registry_resolutions_2017_2019.csv:27,verified,,unresolved,,,,Bill Wild | Brenda Jones | Coleman A. Young II | Ian Conyers | Shanelle Jackson,corpus_candidate_set,,resolution_verified,race_registry_resolutions_2017_2019.csv:27,b jones | b wild | bil wild | bill wild | bre jones | brenda jones | c a | c young | col a | col young | coleman a | coleman a young | coleman young | i conyers | ian conyers | r tlaib | ras tlaib | rashida tlaib | s jackson | sha jackson | shanelle jackson,race-a0d62e41239ac39f095c,1,
race-a1279704863b895c5ee9,other_corpus_race,2026-06-02,2026,Nonpartisan,Eunisses Hernandez,Eunisses Hernandez,,Maria Lou Calanche | Nelson Grande | Raul Claros | Sylvia Robledo,Eunisses Hernandez | Maria Lou Calanche | Nelson Grande | Raul Claros | Sylvia Robledo,5,endorsed | opponent,Nonpartisan,source_unavailable | verified,City Council,metadata_inferred,title_url_text:33d18f4f02d5cb3d0051445f,high,District 1,metadata_inferred,title_url_text:33d18f4f02d5cb3d0051445f,high,California,CA,metadata_inferred,title_url_text:33d18f4f02d5cb3d0051445f,high,,unresolved,,,,unresolved,,,,Maria Lou Calanche | Nelson Grande | Raul Claros | Sylvia Robledo,corpus_candidate_set,,metadata_inferred,title_url_text:33d18f4f02d5cb3d0051445f,e hernandez | eun hernandez | eunisses hernandez | m calanche | m lou | mar calanche | mar lou | maria calanche | maria lou | maria lou calanche | n grande | nel grande | nelson grande | r claros | rau claros | raul claros | s robledo | syl robledo | sylvia robledo,race-a1279704863b895c5ee9,1,official_election_source
race-a15fa79529a2d8246fd8,tracked_dsa_endorsed_democratic_primary,2020-06-23,2020,Democratic,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,,Badrun N. Khan | Michelle Caruso-Cabrera | Samuel H. Sloan,Alexandria Ocasio-Cortez | Badrun N. Khan | Michelle Caruso-Cabrera | Samuel H. Sloan,4,endorsed | opponent,Democratic,source_unavailable | verified,US House,resolution_verified,race_registry_resolutions_2020.csv:46,verified,District 14,resolution_verified,race_registry_resolutions_2020.csv:46,verified,New York,NY,resolution_verified,race_registry_resolutions_2020.csv:46,verified,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,resolution_verified,race_registry_resolutions_2020.csv:46,verified,,unresolved,,,,Badrun N. Khan | Michelle Caruso-Cabrera | Samuel H. Sloan,corpus_candidate_set,,resolution_verified,race_registry_resolutions_2020.csv:46,a cortez | a ocasio | ale cortez | ale ocasio | alexandria cortez | alexandria ocasio | alexandria ocasio cortez | b khan | b n | bad khan | bad n | badrun khan | badrun n | badrun n khan | m cabrera | m caruso | mic cabrera | mic caruso | michelle cabrera | michelle caruso | michelle caruso cabrera | s h | s sloan | sam h | sam sloan | samuel h | samuel h sloan | samuel sloan,race-a15fa79529a2d8246fd8,1,
race-a225fd571279e925a8f0,tracked_dsa_endorsed_democratic_primary,2022-03-01,2022,Democratic,Bob Libal,Bob Libal,,Brigid Shea,Bob Libal | Brigid Shea,2,endorsed | opponent,Democratic,source_unavailable,County Commissioner,resolution_verified,race_registry_resolutions_2021_2022.csv:80,verified,Travis County Precinct 2,resolution_verified,race_registry_resolutions_2021_2022.csv:80,verified,Texas,TX,resolution_verified,race_registry_resolutions_2021_2022.csv:80,verified,https://elections.sos.state.tx.us/index.htm,resolution_verified,race_registry_resolutions_2021_2022.csv:80,verified,,unresolved,,,,Brigid Shea,corpus_candidate_set,,resolution_verified,race_registry_resolutions_2021_2022.csv:80,b libal | b shea | bob libal | bri shea | brigid shea,race-a225fd571279e925a8f0,1,
race-a23ad92e100d09e11ea8,other_corpus_race,2018-06-05,2018,,Geneviéve L. Jones-Wright,Geneviéve L. Jones-Wright,,Summer Stephan,Geneviéve L. Jones-Wright | Summer Stephan,2,endorsed | opponent,,source_unavailable,,unresolved,,,,unresolved,,,,,unresolved,,,,unresolved,,,,unresolved,,,,Summer Stephan,corpus_candidate_set,,corpus_only,,g jones | g wright | gen jones | gen wright | genevieve jones | genevieve l jones wright | genevieve wright | s stephan | sum stephan | summer stephan,race-a23ad92e100d09e11ea8,1,office | jurisdiction | state | official_election_source
race-a241869bcd246e43da06,other_corpus_race,2019-08-06,2019,Nonpartisan,Shaun Scott,Shaun Scott,,Alex Pedersen | Beth Mountsier | Cathy Tuttle | Emily Myers | Ethan Hunter | Frank A. Krueger | Heidi Stuber | Joshua Newman | Sasha Anderson,Alex Pedersen | Beth Mountsier | Cathy Tuttle | Emily Myers | Ethan Hunter | Frank A. Krueger | Heidi Stuber | Joshua Newman | Sasha Anderson | Shaun Scott,10,endorsed | opponent,Nonpartisan,verified,,unresolved,,,,unresolved,,,,,unresolved,,,,unresolved,,,,unresolved,,,,Alex Pedersen | Beth Mountsier | Cathy Tuttle | Emily Myers | Ethan Hunter | Frank A. Krueger | Heidi Stuber | Joshua Newman | Sasha Anderson,corpus_candidate_set,,corpus_only,,a pedersen | ale pedersen | alex pedersen | b mountsier | bet mountsier | beth mountsier | c tuttle | cat tuttle | cathy tuttle | e hunter | e myers | emi myers | emily myers | eth hunter | ethan hunter | f a | f krueger | fra a | fra krueger | frank a | frank a krueger | frank krueger | h stuber | hei stuber | heidi stuber | j newman | jos newman | joshua newman | s anderson | s scott | sas anderson | sasha anderson | sha scott | shaun scott,race-a241869bcd246e43da06,1,office | jurisdiction | state | official_election_source
race-a2c5fa7107339af30327,other_corpus_race,2023-02-28,2023,Nonpartisan,Oscar Sanchez,Oscar Sanchez,,Ana Guajardo | Jessica A. Venegas | Peter Chico | Yessenia Carreón,Ana Guajardo | Jessica A. Venegas | Oscar Sanchez | Peter Chico | Yessenia Carreón,5,endorsed | opponent,Nonpartisan,verified,City Council,metadata_inferred,title_url_text:74117033a5c8f458c6413e30,high,,unresolved,,,Texas,TX,metadata_inferred,title_url_text:5f98497875cb570a0f8f9eba | title_url_text:960dd3d2273f9f754eef1702,high,,unresolved,,,,unresolved,,,,Ana Guajardo | Jessica A. Venegas | Peter Chico | Yessenia Carreón,corpus_candidate_set,,metadata_inferred,title_url_text:5f98497875cb570a0f8f9eba | title_url_text:960dd3d2273f9f754eef1702 | title_url_text:74117033a5c8f458c6413e30,a guajardo | ana guajardo | j a | j venegas | jes a | jes venegas | jessica a | jessica a venegas | jessica venegas | o sanchez | osc sanchez | oscar sanchez | p chico | pet chico | peter chico | y carreon | yes carreon | yessenia carreon,race-a2c5fa7107339af30327,1,jurisdiction | official_election_source
